Bots,Items,Lines,Orders,Pile-on,Trips,Trips/order,m/line,EOR (kJ/order),Turnover (s),Station idle (%)
6,< .001,< .001,< .001,.009,.011,.010,.927,.127,< .001,< .001
10,.373,.768,.004,.007,.002,.006,< .001,< .001,< .001,.404
