Bots,Bound,Items,Lines,Orders,Pile-on,Trips,Trips/order,m/line,EOR (kJ/order),Turnover (s),Station idle (%)
6,CI low,−10.42,−10.41,−12.47,−9.21,−6.32,+1.82,−3.75,−1.01,+27.07,+30.58
6,CI high,−4.88,−4.16,−5.52,−1.71,−1.06,+10.14,+3.44,+6.89,+41.32,+65.13
10,CI low,−1.06,−0.77,−2.02,+2.25,−10.58,−9.39,−13.04,−11.39,+8.96,−25.93
10,CI high,+0.44,+1.01,−0.53,+10.36,−3.40,−2.18,−7.38,−6.47,+20.57,+58.67
