Policy,Bots,Items,Lines,Orders,Pile-on,Trips,Trips/order,m/line,EOR (kJ/order),Turnover (s),Station idle (%)
M1G,6,1242.3,806.9,574.9,3.261,176.3,0.3068,14.86,1.696,324.5,13.78
M4G-NS,6,1147.3,748.1,523.2,3.083,169.8,0.3252,14.84,1.746,435.5,20.37
M1G,10,1415.6,917.9,642.7,3.018,213.1,0.3317,16.77,1.980,373.6,1.76
M4G-NS,10,1411.2,919.0,634.5,3.208,198.2,0.3125,15.06,1.804,428.8,2.05
