Policy,Bots,Time per decision (s),Total time (s),Decisions
M1G,6,0.1882,168.7,895
M4G-NS,6,0.1668,150.1,904
M1G,10,0.2237,181.9,813
M4G-NS,10,0.2202,189.8,859
