Bots,Items,Lines,Orders,Pile-on,Trips,Trips/order,m/line,EOR (kJ/order),Turnover (s),Station idle (%)
6,−7.65***,−7.29***,−8.99***,−5.46**,−3.69*,+5.98**,−0.15,+2.94,+34.20***,+47.85***
10,−0.31,+0.12,−1.28**,+6.31**,−6.99**,−5.78**,−10.21***,−8.93***,+14.76***,+16.37
