Policy,Bots,Seed,Items,Lines,Orders,Pile-on,Trips,Trips/order,m/line,EOR (kJ/order),Turnover (s),Station idle (%)
HGS-M5,45,0,8328.0,5381.0,3409.0,7.476,456.0,0.1338,20.78,3.623,381.9,3.69
HGS-M5,45,1,8316.0,5405.0,3324.0,7.606,437.0,0.1315,20.25,3.647,412.0,3.83
HGS-M5,45,2,8324.0,5371.0,3380.0,7.717,438.0,0.1296,20.71,3.646,402.1,3.70
HGS-M5,45,3,8332.0,5397.0,3441.0,7.664,449.0,0.1305,20.26,3.492,376.9,3.61
HGS-M5,45,4,8298.0,5357.0,3340.0,7.523,444.0,0.1329,20.39,3.578,415.0,4.02
HGS-M5,45,5,8329.0,5479.0,3451.0,7.635,452.0,0.1310,20.33,3.553,386.3,3.67
HGS-M5,45,6,8289.0,5420.0,3405.0,7.686,443.0,0.1301,20.34,3.573,403.6,4.14
HGS-M5,45,7,8325.0,5409.0,3369.0,7.437,453.0,0.1345,20.99,3.727,395.9,3.69
HGS-M5,45,8,8298.0,5357.0,3344.0,7.887,424.0,0.1268,20.03,3.549,406.2,4.04
HGS-M5,45,9,8343.0,5393.0,3390.0,7.618,445.0,0.1313,20.41,3.621,372.0,3.50
HGS-M5 3 packing stations,45,0,8328.0,5381.0,3409.0,7.476,456.0,0.1338,20.78,3.623,381.9,3.69
HGS-M5 3 packing stations,45,1,8316.0,5405.0,3324.0,7.606,437.0,0.1315,20.25,3.647,412.0,3.83
HGS-M5 3 packing stations,45,2,8324.0,5371.0,3380.0,7.717,438.0,0.1296,20.71,3.646,402.1,3.70
HGS-M5 3 packing stations,45,3,8332.0,5397.0,3441.0,7.664,449.0,0.1305,20.26,3.492,376.9,3.61
HGS-M5 3 packing stations,45,4,8298.0,5357.0,3340.0,7.523,444.0,0.1329,20.39,3.578,415.0,4.02
HGS-M5 3 packing stations,45,5,8329.0,5479.0,3451.0,7.635,452.0,0.1310,20.33,3.553,386.3,3.67
HGS-M5 3 packing stations,45,6,8289.0,5420.0,3405.0,7.686,443.0,0.1301,20.34,3.573,403.6,4.14
HGS-M5 3 packing stations,45,7,8325.0,5409.0,3369.0,7.437,453.0,0.1345,20.99,3.727,395.9,3.69
HGS-M5 3 packing stations,45,8,8250.0,5336.0,3326.0,7.919,420.0,0.1263,20.16,3.552,407.9,4.58
HGS-M5 3 packing stations,45,9,8343.0,5393.0,3390.0,7.618,445.0,0.1313,20.41,3.621,372.0,3.50
HGS-M5 2 packing stations,45,0,6628.0,4298.0,2744.0,7.259,378.0,0.1378,22.44,3.861,443.7,23.34
HGS-M5 2 packing stations,45,1,5756.0,3750.0,2342.0,6.991,335.0,0.1430,23.83,4.260,519.8,33.43
HGS-M5 2 packing stations,45,2,4016.0,2617.0,1621.0,7.079,229.0,0.1413,29.06,5.145,506.4,53.53
HGS-M5 2 packing stations,45,3,5562.0,3643.0,2323.0,7.061,329.0,0.1416,24.32,4.231,498.6,35.64
HGS-M5 2 packing stations,45,4,5927.0,3827.0,2400.0,7.317,328.0,0.1367,22.88,4.073,516.2,31.46
HGS-M5 2 packing stations,45,5,4920.0,3247.0,2055.0,6.966,295.0,0.1436,26.46,4.634,491.8,43.09
HGS-M5 2 packing stations,45,6,5182.0,3341.0,2087.0,6.689,312.0,0.1495,25.67,4.552,570.2,40.07
HGS-M5 2 packing stations,45,7,5122.0,3311.0,2070.0,6.993,296.0,0.1430,25.86,4.616,480.9,40.73
HGS-M5 2 packing stations,45,8,4601.0,2977.0,1856.0,6.652,279.0,0.1503,27.03,4.816,503.8,46.76
HGS-M5 2 packing stations,45,9,5999.0,3935.0,2490.0,7.054,353.0,0.1418,23.99,4.182,444.9,30.57
HGS-M5 1 packing station,45,0,1985.0,1287.0,848.0,5.078,167.0,0.1969,48.43,8.161,635.8,77.03
HGS-M5 1 packing station,45,1,1943.0,1262.0,824.0,4.934,167.0,0.2027,50.11,8.431,700.0,77.52
HGS-M5 1 packing station,45,2,2184.0,1443.0,946.0,5.198,182.0,0.1924,44.08,7.505,601.1,74.73
HGS-M5 1 packing station,45,3,1882.0,1214.0,796.0,4.975,160.0,0.2010,51.67,8.694,585.8,78.22
HGS-M5 1 packing station,45,4,2031.0,1315.0,841.0,4.833,174.0,0.2069,47.71,8.321,624.3,76.50
HGS-M5 1 packing station,45,5,2104.0,1385.0,893.0,5.132,174.0,0.1948,45.22,7.840,785.9,75.65
HGS-M5 1 packing station,45,6,2248.0,1467.0,972.0,4.521,215.0,0.2212,45.13,7.695,574.3,74.04
HGS-M5 1 packing station,45,7,2224.0,1457.0,946.0,5.169,183.0,0.1934,45.18,7.731,721.8,74.26
HGS-M5 1 packing station,45,8,2158.0,1412.0,913.0,4.831,189.0,0.2070,44.96,7.840,643.2,75.03
HGS-M5 1 packing station,45,9,2033.0,1338.0,872.0,5.350,163.0,0.1869,45.94,7.917,645.5,76.47
