Policy,Bots,Items,Lines,Orders,Pile-on,Trips,Trips/order,m/line,EOR (kJ/order),Turnover (s),Station idle (%)
HGS-M5,45,17.5,35.9,42.4,0.129,9.4,0.0022,0.29,0.066,15.1,0.21
HGS-M5 3 packing stations,45,27.5,39.0,44.7,0.137,10.4,0.0023,0.27,0.066,15.2,0.32
HGS-M5 2 packing stations,45,760.0,493.7,326.5,0.211,41.7,0.0043,2.04,0.385,36.9,8.79
HGS-M5 1 packing station,45,123.8,88.1,58.7,0.237,16.2,0.0098,2.53,0.375,66.1,1.43
