idx;queue_wait_sec;picking_time_sec
0;4.0941759206417;123.555555555571
1;4.0941759206417;173.600000000021
2;30.3687950974813;156.577777777759
3;108.011111111129;126.577777777749
4;79.5687950974435;106.533333333282
5;57.2083333333034;116.66666666661
6;81.4799062085461;106.266666666668
7;44.5465728752306;76.0000000000605
8;177.96084258728;186.266666666733
9;81.1558752418499;15.6444444444569
10;140.324350653124;25.9111111111317
11;128.583064809635;116.000000000092
12;125.111430797445;36.0000000000286
13;162.178097464134;196.133333333489
14;120.133653019664;146.177777777894
15;160.991017319829;86.0000000000684
16;146.133653019679;65.8666666667191
17;164.933653019692;86.0000000000684
18;194.452777777936;65.9111111111636
19;126.533653019661;116.088888888981
20;174.844764130816;116.133333333426
21;221.908333333512;55.9111111111556
22;254.311430797546;86.0888888889574
23;224.089208575298;45.9555555555921
24;52.6750000000457;75.7333333333936
25;43.7336530195973;45.8666666667032
26;143.027509254091;76.0888888889494
27;87.9114307974071;116.133333333426
28;145.86698635301;45.6000000000363
29;220.983064809708;126.088888888989
30;174.80031968637;116.044444444537
31;245.466986353095;136.133333333442
32;104.666986352982;96.0444444445209
33;264.005287031965;65.955555555608
34;175.466986353033;86.0444444445129
35;92.9336530196338;55.2888888889329
36;198.449731476357;105.866666666751
37;145.733653019682;75.6444444445046
38;192.008333333493;75.9111111111715
39;207.830555555726;55.9555555556001
40;264.808333333548;36.0444444442887
41;262.000319686417;146.577777777541
42;138.089208575002;15.9555555554866
43;276.405287031599;96.488888888472
44;290.316398142618;116.53333333283
45;60.9021284305313;76.3111111107814
46;109.197222221739;66.2222222219361
47;77.0669863525377;56.1333333330908
48;159.733653018841;116.355555555053
49;209.644764129725;65.9111111108264
50;110.622541907957;136.666666666076
51;92.044764130228;116.133333332832
52;272.84973147501;35.9999999998445
53;147.066986352244;96.4444444440278
54;182.366666665846;73.6444444441263
55;138.894175920033;126.755555555008
56;187.560842586489;46.0444444442455
57;25.2576839862409;56.1333333330908
58;207.289208574175;146.755555554922
59;209.333653018627;106.39999999954
60;107.746572874773;36.0444444442887
61;246.219444443369;86.444444444071
62;267.252519828857;86.266666666294
63;185.644444443642;5.82222222219707
64;220.360842586348;116.444444443941
65;120.444764130125;46.0444444442455
66;193.95587524091;15.9555555554866
67;160.138620364386;85.4666666662974
68;141.555875241148;76.2222222218929
69;208.311430796404;86.3111111107382
70;198.311430796444;136.711111110521
71;269.42254190726;86.3999999996267
72;199.333653018662;76.3111111107814
73;199.555875240875;76.3111111107814
74;199.51143079645;106.488888888429
75;218.000319685271;146.666666666033
76;236.933653018496;136.711111110521
77;356.889208573528;56.1333333330908
78;227.689208574098;86.3999999996267
79;293.955875240487;106.444444443985
80;250.578097462874;25.9999999998877
81;295.200319684931;56.2222222219793
82;220.711430796344;5.82222222219707
83;140.311430796683;56.1333333330908
84;176.711430796557;76.1777777774487
85;166.622541907706;146.755555554922
86;143.422541907784;106.488888888429
87;103.657683985902;106.444444444021
88;229.822541907433;25.0222222223638
89;189.333653018785;75.9111111115599
90;224.800319685502;56.0000000003311
91;217.866986352828;35.8666666668787
92;276.844444444158;146.000000000863
93;250.089208575327;116.177777778465
94;125.613239542684;95.5111111116757
95;243.738620366539;106.000000000627
96;334.133333335332;15.6888888889816
97;234.489208576546;65.8222222226113
98;170.978097465083;116.088888889575
99;230.441666668044;35.8666666668787
100;208.760842588555;4.88888888891779
101;235.079906209998;35.9555555557681
102;147.697222223163;65.9111111115008
103;208.044764131949;76.044444444894
104;163.733653020548;65.9555555559455
105;182.400319687356;55.8666666669969
106;200.719444445703;76.044444444894
107;105.738620365723;106.088888889516
108;212.768795098755;56.0000000003311
109;189.422541909613;5.86666666670135
110;146.400319687133;176.266666667709
111;118.00031968698;75.9111111115599
112;139.641666667508;95.9555555561228
113;192.902128431971;126.133333334079
114;238.363888890334;45.9111111113825
115;78.1465728757366;25.4666666668172
116;201.155875242992;85.9555555560637
117;158.444764131633;55.8666666669969
118;91.2892085757339;85.911111111619
119;210.360842588564;35.9111111113234
120;128.178097464775;116.04444444513
121;162.319444445444;45.8666666669378
122;317.908333335228;65.9555555559455
123;171.555875242829;176.08888888993
124;201.91143079856;95.9555555561228
125;188.538620366213;15.2888888889793
126;198.00031968741;55.8666666669969
127;141.694175921491;66.0000000003902
128;254.941666668198;35.9111111113234
129;88.0497314767299;45.8666666669378
130;223.960842588644;86.1333333338425
131;210.089208576378;46.0000000002719
132;25.4354617643139;35.8666666668787
133;227.657683987732;25.0222222223701
134;48.8052870320535;35.9555555557681
135;75.0750000004718;35.7777777779893
136;152.089208576043;86.0888888893978
137;58.8447641310549;55.2000000003263
138;123.160842588049;65.0666666670513
139;104.178097464676;136.133333334138
140;165.244764131684;55.8666666669969
141;81.879906209092;55.4222222225499
142;188.889208576284;86.1333333338425
143;243.163888890366;166.088888889871
144;260.844764132261;36.0000000002128
145;134.991017320517;106.000000000627
146;260.897222223844;86.0000000005084
147;217.822541909793;15.8222222223158
148;84.6275092544874;85.8666666671743
149;236.130555556967;103.466666667278
150;151.386111112042;85.9555555560637
151;326.808333335325;63.1111111114842
152;215.111430798645;85.2888888893931
153;192.933653020729;85.9555555560637
154;187.333653020693;76.0000000004493
155;168.800319687269;55.9111111114416
156;218.266986354212;146.133333334197
157;263.786111112742;55.3777777781052
158;260.538620366638;95.9555555561228
159;272.266986354547;75.9111111115599
160;184.178097465137;15.9111111112052
161;253.919444445974;105.200000000622
162;195.733653020753;55.9111111114416
