decision,time,solved,pendingOrders,stationsWithCap,podsPa,podsPb,botsRa,lambda,mu,delta,epsilon,valuedLines,boundLines,valuedOrders,boundOrders,newTrips,boundUnits,objective,solveSec,qmax,rho,unitsFromSunk,unitsFromNew,inboundCoverUnits,splitsDeferred,splitsCommitted
19,159.15555555557,1,80,1,93,2,6,10,13.3333333333333,0.05,0.01,9,2,0,0,0,2,-23.52,0.0629987,0,15,2,0,12,0,1
20,168.355555555572,1,81,1,93,2,6,10,13.75,0.05,0.01,5,1,0,0,0,2,-12.02,0.0815239,0,15,2,0,7,0,1
21,169.200000000016,1,81,1,93,1,6,10,14.1666666666667,0.05,0.01,7,1,1,0,0,3,-58.7175,0.0765284,0,15,3,0,10,0,1
22,179.244444444462,1,82,1,94,1,7,10,14.5833333333333,0.05,0.01,6,1,1,0,0,2,-43.2283333333333,0.1225198,0,15,2,0,7,0,1
23,188.400000000019,1,83,1,94,2,7,10,15,0.05,0.01,4,1,0,0,0,2,-11.52,0.0725117,0,15,2,0,5,0,1
24,199.28888888891,1,84,1,94,1,7,10,15.4166666666667,0.05,0.01,4,1,1,0,0,2,-42.27,0.1155465,0,15,2,0,5,0,1
25,208.444444444467,1,85,1,94,1,7,10,15.8333333333333,0.05,0.01,3,1,0,0,0,1,-26.01,0.0815129,0,15,1,0,3,0,1
26,209.333333333356,1,85,1,92,1,7,10,15.6,0.05,0.01,2,1,1,1,0,1,-41.3433333333333,0.045513,0,15,1,0,2,0,1
27,218.488888888913,1,84,1,93,1,8,10,16,0.05,0.01,2,1,0,0,0,1,-25.51,0.1215202,0,15,1,0,2,0,1
28,219.377777777802,1,85,1,93,1,8,10,16.1538461538462,0.05,0.01,11,2,7,1,1,2,-27.32,0.0609991,0,15,1,1,1,0,0
29,238.53333333336,1,85,1,89,1,7,10,16.5384615384615,0.05,0.01,1,1,0,0,0,1,-25.01,0.0466123,0,15,1,0,1,0,1
30,239.422222222249,1,85,1,89,2,7,10,16.2962962962963,0.05,0.01,9,1,6,1,0,2,-34.6930769230769,0.0280262,0,15,2,0,11,0,0
31,258.622222222251,1,86,1,90,1,7,10,16.0714285714286,0.05,0.01,8,1,5,1,1,1,-3.06555555555555,0.0935257,0,15,0,1,0,0,0
32,269.555555555579,1,86,1,89,2,6,10,15.8620689655172,0.05,0.01,8,1,5,1,0,1,-32.7957142857143,0.0399995,0,15,1,0,9,0,0
