stage,label,config,seed,items,lines,orders,pile_on,distance_m,station_starvation_pct,pod_visits,orders_placed,energy_mech_per_order_kJ
S0,M1G,m1g.xconf,0,1224,788,578,3.26553672316384,11581,14.7049382716787,129,582,1.642429
S0,M1G,m1g.xconf,1,1263,813,564,3.27906976744186,11781,12.0592592594068,140,572,1.707018
S0,M1G,m1g.xconf,2,1244,833,587,3.24309392265193,12568,13.2706790124192,150,596,1.743923
S0,M1G,m1g.xconf,3,1239,808,576,3.27272727272727,11869.2664775954,13.632407407481,145,582,1.693373
S0,M1G,m1g.xconf,4,1222,787,569,3.21468926553672,11775.4355555457,14.8274691358761,145,575,1.693561
S1,port,m4g_legacy_ns.xconf,0,1311,842,617,3.60818713450292,11904.8830518131,8.62283950624635,146,622,1.555192
S1,port,m4g_legacy_ns.xconf,1,1263,801,553,3.29166666666667,11473.8875038341,11.9731481482952,144,558,1.665713
S1,port,m4g_legacy_ns.xconf,2,1304,877,622,3.45555555555556,12872.1653124939,9.09475308649319,168,628,1.674139
S1,port,m4g_legacy_ns.xconf,3,1313,853,604,3.55294117647059,11967.3183680364,8.52037037051751,160,612,1.589178
S1,port,m4g_legacy_ns.xconf,4,1283,843,603,3.50581395348837,11749.0073838884,10.6151234569373,146,611,1.584352
S2,split,m4g_legacy.xconf,0,1417,941,607,4.7421875,10360.9933217423,1.18024691372746,187,676,1.372427
S2,split,m4g_legacy.xconf,1,1425,931,568,4.50793650793651,10209.1935802403,0.634876543357154,170,663,1.435089
S2,split,m4g_legacy.xconf,2,1419,972,605,4.68992248062016,10347.4836457912,1.01111111125815,181,679,1.366565
S2,split,m4g_legacy.xconf,3,1427,943,602,4.74015748031496,10295.4559529032,0.461111111258176,168,674,1.352297
S2,split,m4g_legacy.xconf,4,1423,944,590,4.609375,10304.0041666508,0.746913580394026,184,666,1.395138
S3,objective,m4g_m1gfix_B.xconf,0,1390,925,587,4.13380281690141,9574.53333331748,3.28765432113504,159,666,1.331888
S3,objective,m4g_m1gfix_B.xconf,1,1404,930,559,4.43650793650794,8792.48388884151,2.26111111125818,167,639,1.263776
S3,objective,m4g_m1gfix_B.xconf,2,1394,965,589,4.2992700729927,9079.29170136407,2.9993827161967,179,669,1.266577
S3,objective,m4g_m1gfix_B.xconf,3,1412,948,574,4.484375,9007.64110724411,1.68580246928275,177,656,1.272091
S3,objective,m4g_m1gfix_B.xconf,4,1403,942,579,4.48837209302326,8962.94531248544,2.35216049397435,178,652,1.259737
S4,pricing,m4g.xconf,0,1430,951,613,5.89423076923077,8460.35490353016,0.435493827307442,191,687,1.101065
S4,pricing,m4g.xconf,1,1426,938,579,5.90816326530612,8002.06222607652,0.72870370385074,165,659,1.102743
S4,pricing,m4g.xconf,2,1431,982,616,5.92307692307692,8203.67777391124,0.435493827307854,171,681,1.057442
S4,pricing,m4g.xconf,3,1430,962,598,5.86274509803922,8009.00000000001,0.473148148295314,167,670,1.062069
S4,pricing,m4g.xconf,4,1428,961,573,5.61764705882353,7926,0.628086419900347,166,669,1.115055
