Policy,Bots,Seed,Order batching time per decision (s),Order batching time total (s),Decisions
M4G (dynamic),6,0,0.1675,161.6,965
M4G (dynamic),6,1,0.1561,148.1,949
M4G (dynamic),6,2,0.3073,302.7,985
M4G (dynamic),6,3,0.2591,245.1,946
M4G (dynamic),6,4,0.2949,282.8,959
M4G (dynamic),6,5,0.2166,211.7,977
M4G (dynamic),6,6,0.1709,164.7,964
M4G (dynamic),6,7,0.1515,145.1,958
M4G (dynamic),6,8,0.1821,176.4,969
M4G (dynamic),6,9,0.2780,264.1,950
M4G fixed λ=4.5,6,0,0.4250,383.8,903
M4G fixed λ=4.5,6,1,0.4713,388.3,824
M4G fixed λ=4.5,6,2,0.4242,292.7,690
M4G fixed λ=4.5,6,3,0.4510,340.1,754
M4G fixed λ=4.5,6,4,0.3631,125.3,345
M4G fixed λ=4.5,6,5,0.4378,396.6,906
M4G fixed λ=4.5,6,6,0.4668,123.7,265
M4G fixed λ=4.5,6,7,0.4763,362.5,761
M4G fixed λ=4.5,6,8,0.4512,163.3,362
M4G fixed λ=4.5,6,9,0.4669,339.9,728
M4G fixed λ=6,6,0,0.4143,285.5,689
M4G fixed λ=6,6,1,0.4350,362.8,834
M4G fixed λ=6,6,2,0.3921,348.2,888
M4G fixed λ=6,6,3,0.3986,274.6,689
M4G fixed λ=6,6,4,0.3321,274.3,826
M4G fixed λ=6,6,5,0.3538,244.8,692
M4G fixed λ=6,6,6,0.3816,322.1,844
M4G fixed λ=6,6,7,0.3559,328.5,923
M4G fixed λ=6,6,8,0.3800,310.1,816
M4G fixed λ=6,6,9,0.3586,275.4,768
M4G fixed λ=8,6,0,0.3660,299.0,817
M4G fixed λ=8,6,1,0.3285,275.9,840
M4G fixed λ=8,6,2,0.3191,278.3,872
M4G fixed λ=8,6,3,0.3003,264.3,880
M4G fixed λ=8,6,4,0.3382,287.1,849
M4G fixed λ=8,6,5,0.3182,277.5,872
M4G fixed λ=8,6,6,0.2569,58.6,228
M4G fixed λ=8,6,7,0.3001,261.7,872
M4G fixed λ=8,6,8,0.3239,280.1,865
M4G fixed λ=8,6,9,0.3586,307.3,857
