Policy,Bots,Seed,Items,Lines,Orders,Pile-on,Trips,Trips/order,m/line,EOR (kJ/order),Turnover (s),Station idle (%)
M4G (dynamic),6,0,1426.0,945.0,616.0,5.500,112.0,0.1818,9.87,1.197,804.0,1.03
M4G (dynamic),6,1,1412.0,925.0,580.0,5.179,112.0,0.1931,9.56,1.211,908.8,2.00
M4G (dynamic),6,2,1425.0,976.0,613.0,5.425,113.0,0.1843,9.02,1.169,809.9,1.11
M4G (dynamic),6,3,1410.0,940.0,599.0,5.546,108.0,0.1803,8.94,1.128,901.3,2.16
M4G (dynamic),6,4,1417.0,940.0,583.0,5.159,113.0,0.1938,9.25,1.208,783.2,1.66
M4G (dynamic),6,5,1418.0,929.0,587.0,5.017,117.0,0.1993,9.93,1.255,763.4,1.60
M4G (dynamic),6,6,1429.0,964.0,603.0,5.532,109.0,0.1808,9.09,1.163,844.8,0.83
M4G (dynamic),6,7,1414.0,937.0,603.0,5.384,112.0,0.1857,9.34,1.173,822.5,1.82
M4G (dynamic),6,8,1420.0,954.0,603.0,5.289,114.0,0.1891,9.49,1.212,797.6,1.43
M4G (dynamic),6,9,1428.0,951.0,604.0,5.345,113.0,0.1871,9.24,1.179,872.5,0.90
M4G fixed λ=4.5,6,0,1334.0,887.0,581.0,4.685,124.0,0.2134,10.15,1.246,666.4,7.39
M4G fixed λ=4.5,6,1,1309.0,854.0,544.0,4.185,130.0,0.2390,10.65,1.357,674.2,9.15
M4G fixed λ=4.5,6,2,957.0,652.0,425.0,4.293,99.0,0.2329,12.00,1.468,628.7,33.54
M4G fixed λ=4.5,6,3,1132.0,744.0,489.0,4.445,110.0,0.2249,11.05,1.364,642.7,21.39
M4G fixed λ=4.5,6,4,440.0,310.0,200.0,5.128,39.0,0.1950,12.83,1.616,496.2,69.44
M4G fixed λ=4.5,6,5,1324.0,884.0,565.0,4.556,124.0,0.2195,10.37,1.302,630.5,8.11
M4G fixed λ=4.5,6,6,398.0,271.0,166.0,5.030,33.0,0.1988,8.13,1.057,441.0,72.36
M4G fixed λ=4.5,6,7,1065.0,720.0,463.0,4.724,98.0,0.2117,10.40,1.304,594.0,26.04
M4G fixed λ=4.5,6,8,443.0,313.0,191.0,4.775,40.0,0.2094,12.27,1.652,535.7,69.24
M4G fixed λ=4.5,6,9,1061.0,708.0,461.0,4.520,102.0,0.2213,11.19,1.376,566.9,26.32
M4G fixed λ=6,6,0,1066.0,721.0,485.0,4.663,104.0,0.2144,10.87,1.287,577.6,25.97
M4G fixed λ=6,6,1,1348.0,879.0,559.0,4.172,134.0,0.2397,10.81,1.388,645.5,6.43
M4G fixed λ=6,6,2,1373.0,933.0,603.0,4.401,137.0,0.2272,10.60,1.338,588.5,4.66
M4G fixed λ=6,6,3,1071.0,701.0,447.0,4.382,102.0,0.2282,11.19,1.438,525.0,25.63
M4G fixed λ=6,6,4,1313.0,870.0,563.0,4.109,137.0,0.2433,11.40,1.420,593.3,8.88
M4G fixed λ=6,6,5,1112.0,736.0,471.0,4.205,112.0,0.2378,11.55,1.470,576.0,22.78
M4G fixed λ=6,6,6,1359.0,891.0,567.0,4.079,139.0,0.2451,11.23,1.422,643.3,5.70
M4G fixed λ=6,6,7,1400.0,936.0,603.0,4.500,134.0,0.2222,10.20,1.279,670.6,2.88
M4G fixed λ=6,6,8,1323.0,874.0,561.0,4.125,136.0,0.2424,10.41,1.330,676.2,8.18
M4G fixed λ=6,6,9,1278.0,831.0,541.0,3.978,136.0,0.2514,11.39,1.405,606.2,11.38
M4G fixed λ=8,6,0,1299.0,859.0,568.0,4.000,142.0,0.2500,11.23,1.394,575.1,9.86
M4G fixed λ=8,6,1,1375.0,902.0,571.0,4.168,137.0,0.2399,11.16,1.427,625.0,4.60
M4G fixed λ=8,6,2,1361.0,933.0,594.0,4.400,135.0,0.2273,10.69,1.361,610.2,5.56
M4G fixed λ=8,6,3,1388.0,923.0,591.0,4.133,143.0,0.2420,10.99,1.394,590.1,3.72
M4G fixed λ=8,6,4,1316.0,886.0,573.0,3.898,147.0,0.2565,11.27,1.406,604.5,8.69
M4G fixed λ=8,6,5,1395.0,917.0,593.0,4.266,139.0,0.2344,11.27,1.414,634.0,3.20
M4G fixed λ=8,6,6,382.0,259.0,163.0,4.939,33.0,0.2025,8.83,1.146,444.2,73.47
M4G fixed λ=8,6,7,1390.0,928.0,601.0,4.387,137.0,0.2280,10.77,1.343,605.0,3.57
M4G fixed λ=8,6,8,1357.0,903.0,574.0,4.042,142.0,0.2474,11.19,1.411,622.0,5.87
M4G fixed λ=8,6,9,1378.0,909.0,584.0,4.232,138.0,0.2363,11.08,1.397,651.9,4.40
M4G fixed λ=11,6,0,1398.0,930.0,618.0,4.718,131.0,0.2120,10.68,1.304,621.6,2.93
M4G fixed λ=11,6,1,1387.0,909.0,569.0,4.215,135.0,0.2373,11.23,1.446,666.8,3.78
M4G fixed λ=11,6,2,1399.0,961.0,607.0,4.367,139.0,0.2290,10.70,1.372,614.6,2.98
M4G fixed λ=11,6,3,1390.0,908.0,580.0,4.462,130.0,0.2241,10.84,1.388,739.9,3.56
M4G fixed λ=11,6,4,1403.0,933.0,586.0,4.373,134.0,0.2287,11.05,1.424,640.9,2.65
M4G fixed λ=11,6,5,1382.0,907.0,583.0,4.351,134.0,0.2298,10.97,1.400,704.4,4.09
M4G fixed λ=11,6,6,1394.0,919.0,585.0,4.398,133.0,0.2274,10.99,1.387,615.0,3.22
M4G fixed λ=11,6,7,1399.0,931.0,613.0,4.541,135.0,0.2202,10.43,1.295,581.2,2.97
M4G fixed λ=11,6,8,1402.0,940.0,596.0,4.288,139.0,0.2332,10.74,1.379,617.7,2.66
M4G fixed λ=11,6,9,1364.0,892.0,571.0,4.326,132.0,0.2312,10.84,1.383,642.2,5.38
M4G fixed λ=15,6,0,1389.0,922.0,602.0,4.561,132.0,0.2193,11.03,1.379,698.1,3.64
M4G fixed λ=15,6,1,1381.0,901.0,559.0,4.333,129.0,0.2308,11.03,1.439,784.0,4.11
M4G fixed λ=15,6,2,1399.0,964.0,609.0,4.478,136.0,0.2233,10.60,1.374,595.6,2.91
M4G fixed λ=15,6,3,1382.0,918.0,586.0,4.651,126.0,0.2150,10.67,1.362,692.8,4.08
M4G fixed λ=15,6,4,1374.0,922.0,590.0,4.436,133.0,0.2254,10.67,1.371,676.4,4.64
M4G fixed λ=15,6,5,1400.0,928.0,592.0,4.485,132.0,0.2230,11.28,1.418,613.9,2.81
M4G fixed λ=15,6,6,1388.0,917.0,570.0,4.488,127.0,0.2228,11.01,1.425,745.6,3.67
M4G fixed λ=15,6,7,1389.0,927.0,602.0,4.667,129.0,0.2143,10.65,1.317,659.4,3.62
M4G fixed λ=15,6,8,1390.0,922.0,586.0,4.473,131.0,0.2235,10.72,1.358,755.3,3.56
M4G fixed λ=15,6,9,1412.0,927.0,592.0,4.554,130.0,0.2196,10.59,1.335,581.8,2.04
M4G fixed λ=20,6,0,1403.0,927.0,614.0,4.687,131.0,0.2134,11.11,1.350,671.4,2.64
M4G fixed λ=20,6,1,1382.0,911.0,568.0,4.438,128.0,0.2254,10.81,1.388,707.4,4.08
M4G fixed λ=20,6,2,1413.0,959.0,606.0,4.591,132.0,0.2178,10.46,1.353,609.5,1.94
M4G fixed λ=20,6,3,1392.0,930.0,588.0,4.594,128.0,0.2177,10.37,1.341,699.3,3.40
M4G fixed λ=20,6,4,1389.0,934.0,596.0,4.415,135.0,0.2265,10.93,1.378,685.3,3.59
M4G fixed λ=20,6,5,1391.0,913.0,597.0,4.523,132.0,0.2211,11.27,1.397,724.8,3.46
M4G fixed λ=20,6,6,1395.0,925.0,584.0,4.458,131.0,0.2243,10.77,1.387,702.1,3.18
M4G fixed λ=20,6,7,1391.0,930.0,596.0,4.693,127.0,0.2131,10.68,1.353,635.6,3.46
M4G fixed λ=20,6,8,1382.0,924.0,574.0,4.520,127.0,0.2213,10.73,1.405,667.2,4.10
M4G fixed λ=20,6,9,1403.0,915.0,581.0,4.611,126.0,0.2169,10.74,1.368,668.0,2.62
M4G fixed λ=28,6,0,1403.0,926.0,607.0,4.634,131.0,0.2158,11.34,1.395,631.1,2.60
M4G fixed λ=28,6,1,1399.0,915.0,575.0,4.675,123.0,0.2139,10.80,1.386,728.5,2.92
M4G fixed λ=28,6,2,1403.0,952.0,611.0,4.736,129.0,0.2111,10.63,1.373,631.6,2.58
M4G fixed λ=28,6,3,1378.0,912.0,580.0,4.567,127.0,0.2190,10.72,1.367,753.1,4.38
M4G fixed λ=28,6,4,1410.0,933.0,593.0,4.492,132.0,0.2226,11.01,1.396,653.8,2.11
M4G fixed λ=28,6,5,1392.0,916.0,591.0,4.444,133.0,0.2250,11.40,1.417,626.7,3.38
M4G fixed λ=28,6,6,1404.0,931.0,585.0,4.466,131.0,0.2239,10.63,1.376,695.1,2.60
M4G fixed λ=28,6,7,1400.0,935.0,603.0,4.748,127.0,0.2106,10.68,1.342,605.4,2.82
M4G fixed λ=28,6,8,1385.0,932.0,591.0,4.444,133.0,0.2250,11.02,1.398,657.9,3.88
M4G fixed λ=28,6,9,1388.0,937.0,595.0,4.612,129.0,0.2168,11.05,1.405,668.1,3.63
M4G (dynamic),10,0,1424.0,944.0,620.0,5.082,122.0,0.1968,10.59,1.299,795.7,1.19
M4G (dynamic),10,1,1430.0,935.0,584.0,4.908,119.0,0.2038,10.34,1.335,833.8,0.72
M4G (dynamic),10,2,1430.0,987.0,617.0,5.099,121.0,0.1961,10.14,1.310,762.4,0.73
M4G (dynamic),10,3,1428.0,940.0,607.0,5.188,117.0,0.1928,10.42,1.313,766.5,0.89
M4G (dynamic),10,4,1431.0,950.0,597.0,5.017,119.0,0.1993,10.68,1.367,772.0,0.70
M4G (dynamic),10,5,1430.0,953.0,600.0,4.878,123.0,0.2050,10.73,1.354,782.0,0.81
M4G (dynamic),10,6,1428.0,966.0,606.0,5.179,117.0,0.1931,10.00,1.292,772.0,0.94
M4G (dynamic),10,7,1431.0,958.0,611.0,5.360,114.0,0.1866,9.96,1.266,879.7,0.70
M4G (dynamic),10,8,1429.0,958.0,601.0,5.226,115.0,0.1913,10.17,1.318,741.8,0.88
M4G (dynamic),10,9,1426.0,931.0,592.0,5.239,113.0,0.1909,10.46,1.317,771.8,1.00
M4G fixed λ=4.5,10,0,1094.0,736.0,492.0,4.241,116.0,0.2358,12.30,1.480,555.7,24.03
M4G fixed λ=4.5,10,1,1003.0,665.0,429.0,4.248,101.0,0.2354,12.03,1.509,577.6,30.35
M4G fixed λ=4.5,10,2,1321.0,905.0,586.0,3.805,154.0,0.2628,11.46,1.450,621.3,8.34
M4G fixed λ=4.5,10,3,1073.0,720.0,459.0,4.636,99.0,0.2157,10.90,1.399,581.6,25.49
M4G fixed λ=4.5,10,4,385.0,275.0,169.0,5.281,32.0,0.1893,8.40,1.089,374.7,73.26
M4G fixed λ=4.5,10,5,371.0,262.0,158.0,5.267,30.0,0.1899,8.19,1.108,382.1,74.24
M4G fixed λ=4.5,10,6,373.0,257.0,153.0,5.276,29.0,0.1895,8.64,1.144,421.7,74.10
M4G fixed λ=4.5,10,7,1401.0,938.0,610.0,4.453,137.0,0.2246,10.70,1.342,611.5,2.81
M4G fixed λ=4.5,10,8,1357.0,909.0,571.0,4.108,139.0,0.2434,11.63,1.503,626.4,5.85
M4G fixed λ=4.5,10,9,993.0,668.0,428.0,4.076,105.0,0.2453,12.59,1.595,597.7,31.04
M4G fixed λ=6,10,0,1367.0,891.0,602.0,3.786,159.0,0.2641,13.12,1.597,601.6,5.12
M4G fixed λ=6,10,1,1412.0,912.0,580.0,3.515,165.0,0.2845,13.19,1.704,541.0,2.01
M4G fixed λ=6,10,2,1294.0,871.0,563.0,3.292,171.0,0.3037,13.27,1.689,623.2,10.17
M4G fixed λ=6,10,3,1067.0,692.0,447.0,3.548,126.0,0.2819,13.82,1.757,556.6,25.90
M4G fixed λ=6,10,4,1390.0,913.0,595.0,3.480,171.0,0.2874,13.78,1.745,578.6,3.56
M4G fixed λ=6,10,5,1413.0,919.0,597.0,3.640,164.0,0.2747,12.70,1.622,533.3,1.99
M4G fixed λ=6,10,6,1380.0,903.0,573.0,3.351,171.0,0.2984,13.43,1.747,562.9,4.21
M4G fixed λ=6,10,7,1371.0,912.0,599.0,3.608,166.0,0.2771,12.75,1.591,540.1,4.82
M4G fixed λ=6,10,8,1303.0,861.0,545.0,3.114,175.0,0.3211,13.82,1.788,600.1,9.59
M4G fixed λ=6,10,9,1093.0,721.0,469.0,3.580,131.0,0.2793,13.53,1.708,587.2,24.10
M4G fixed λ=8,10,0,1390.0,912.0,596.0,3.222,185.0,0.3104,14.80,1.865,542.4,3.56
M4G fixed λ=8,10,1,1389.0,903.0,566.0,3.272,173.0,0.3057,14.58,1.905,592.3,3.61
M4G fixed λ=8,10,2,1410.0,949.0,599.0,3.255,184.0,0.3072,14.04,1.861,530.3,2.11
M4G fixed λ=8,10,3,1372.0,902.0,575.0,3.075,187.0,0.3252,14.60,1.874,584.8,4.78
M4G fixed λ=8,10,4,1415.0,938.0,599.0,3.309,181.0,0.3022,13.61,1.768,551.4,1.81
M4G fixed λ=8,10,5,1420.0,926.0,594.0,3.337,178.0,0.2997,13.73,1.766,591.2,1.48
M4G fixed λ=8,10,6,1413.0,917.0,588.0,3.161,186.0,0.3163,14.46,1.833,613.5,1.94
M4G fixed λ=8,10,7,1430.0,948.0,610.0,3.466,176.0,0.2885,13.13,1.683,543.2,0.80
M4G fixed λ=8,10,8,1392.0,925.0,581.0,3.107,187.0,0.3219,14.38,1.890,595.3,3.41
M4G fixed λ=8,10,9,1398.0,912.0,587.0,3.122,188.0,0.3203,14.46,1.859,550.3,2.95
M4G fixed λ=11,10,0,1422.0,932.0,607.0,3.113,195.0,0.3213,14.52,1.858,618.7,1.34
M4G fixed λ=11,10,1,1430.0,933.0,579.0,3.000,193.0,0.3333,14.38,1.911,602.4,0.73
M4G fixed λ=11,10,2,1428.0,969.0,609.0,3.091,197.0,0.3235,14.13,1.893,568.5,0.90
M4G fixed λ=11,10,3,1425.0,936.0,593.0,3.073,193.0,0.3255,14.77,1.925,664.6,1.14
M4G fixed λ=11,10,4,1421.0,944.0,596.0,3.170,188.0,0.3154,13.88,1.829,671.1,1.39
M4G fixed λ=11,10,5,1427.0,939.0,595.0,3.148,189.0,0.3176,14.25,1.859,620.1,0.99
M4G fixed λ=11,10,6,1427.0,927.0,584.0,2.980,196.0,0.3356,14.64,1.917,682.9,0.93
M4G fixed λ=11,10,7,1422.0,945.0,606.0,3.173,191.0,0.3152,13.91,1.802,601.8,1.27
M4G fixed λ=11,10,8,1430.0,946.0,593.0,3.205,185.0,0.3120,14.06,1.854,573.9,0.75
M4G fixed λ=11,10,9,1428.0,940.0,598.0,3.067,195.0,0.3261,14.85,1.945,582.0,0.94
M4G fixed λ=15,10,0,1424.0,941.0,617.0,3.054,202.0,0.3274,14.77,1.879,581.4,1.18
M4G fixed λ=15,10,1,1430.0,932.0,579.0,3.080,188.0,0.3247,14.83,1.949,631.1,0.77
M4G fixed λ=15,10,2,1429.0,969.0,610.0,3.128,195.0,0.3197,14.28,1.887,586.7,0.80
M4G fixed λ=15,10,3,1428.0,937.0,594.0,3.062,194.0,0.3266,14.51,1.874,633.9,0.90
M4G fixed λ=15,10,4,1418.0,935.0,584.0,3.090,189.0,0.3236,14.81,1.949,624.0,1.59
M4G fixed λ=15,10,5,1418.0,926.0,592.0,3.132,189.0,0.3193,14.72,1.899,576.1,1.63
M4G fixed λ=15,10,6,1429.0,937.0,585.0,3.112,188.0,0.3214,14.44,1.905,679.8,0.83
M4G fixed λ=15,10,7,1421.0,939.0,599.0,3.088,194.0,0.3239,14.52,1.889,650.1,1.37
M4G fixed λ=15,10,8,1430.0,946.0,590.0,3.041,194.0,0.3288,14.52,1.949,568.1,0.75
M4G fixed λ=15,10,9,1425.0,934.0,600.0,3.141,191.0,0.3183,14.40,1.852,636.8,1.11
M4G fixed λ=20,10,0,1426.0,936.0,612.0,3.060,200.0,0.3268,15.22,1.926,570.4,1.02
M4G fixed λ=20,10,1,1426.0,926.0,575.0,3.125,184.0,0.3200,14.21,1.903,680.0,1.04
M4G fixed λ=20,10,2,1427.0,973.0,612.0,3.221,190.0,0.3105,14.03,1.844,591.2,1.01
M4G fixed λ=20,10,3,1430.0,934.0,591.0,3.127,189.0,0.3198,14.80,1.936,642.0,0.75
M4G fixed λ=20,10,4,1418.0,939.0,596.0,3.104,192.0,0.3221,15.11,1.971,665.9,1.54
M4G fixed λ=20,10,5,1425.0,933.0,593.0,3.188,186.0,0.3137,14.88,1.915,684.7,1.11
M4G fixed λ=20,10,6,1430.0,935.0,590.0,3.172,186.0,0.3153,14.07,1.826,665.8,0.78
M4G fixed λ=20,10,7,1426.0,945.0,600.0,3.141,191.0,0.3183,14.48,1.896,564.7,1.06
M4G fixed λ=20,10,8,1421.0,939.0,582.0,3.163,184.0,0.3162,14.48,1.940,652.3,1.39
M4G fixed λ=20,10,9,1425.0,935.0,586.0,3.151,186.0,0.3174,14.67,1.950,655.7,1.15
M4G fixed λ=28,10,0,1414.0,934.0,602.0,3.119,193.0,0.3206,15.16,1.934,618.3,1.92
M4G fixed λ=28,10,1,1430.0,927.0,575.0,3.159,182.0,0.3165,14.65,1.950,634.3,0.77
M4G fixed λ=28,10,2,1423.0,962.0,609.0,3.205,190.0,0.3120,15.31,2.008,631.0,1.27
M4G fixed λ=28,10,3,1423.0,932.0,588.0,3.031,194.0,0.3299,15.19,1.978,624.1,1.24
M4G fixed λ=28,10,4,1426.0,941.0,598.0,3.198,187.0,0.3127,14.89,1.936,546.0,1.02
M4G fixed λ=28,10,5,1428.0,931.0,586.0,3.134,187.0,0.3191,14.94,1.964,628.2,0.88
M4G fixed λ=28,10,6,1427.0,922.0,575.0,3.230,178.0,0.3096,14.61,1.936,640.4,1.01
M4G fixed λ=28,10,7,1428.0,949.0,603.0,3.190,189.0,0.3134,14.52,1.886,611.2,0.93
M4G fixed λ=28,10,8,1428.0,940.0,590.0,3.057,193.0,0.3271,15.33,2.018,627.5,0.96
M4G fixed λ=28,10,9,1419.0,937.0,595.0,3.216,185.0,0.3109,14.83,1.931,581.2,1.48
