"Method","TP","PO","OD","RD"
"M1G-RP","327.5","3.19512195121951","25.0551563746611","16411.127425403"
"M1G","322.5","3.13106796116505","25.958859207241","16743.4641886705"
"Delta_RP_minus_M1G","5","0.0640539900544601","-0.903702832579903","-332.3367632675"
