Policy,Bots,Seed,Items,Lines,Orders,Pile-on,Trips,Trips/order,m/line,EOR (kJ/order),Turnover (s),Station idle (%)
HGS-M5 (dynamic),45,0,8328.0,5381.0,3409.0,7.476,456.0,0.1338,20.78,3.623,381.9,3.69
HGS-M5 (dynamic),45,1,8316.0,5405.0,3324.0,7.606,437.0,0.1315,20.25,3.647,412.0,3.83
HGS-M5 (dynamic),45,2,8324.0,5371.0,3380.0,7.717,438.0,0.1296,20.71,3.646,402.1,3.70
HGS-M5 (dynamic),45,3,8332.0,5397.0,3441.0,7.664,449.0,0.1305,20.26,3.492,376.9,3.61
HGS-M5 (dynamic),45,4,8298.0,5357.0,3340.0,7.523,444.0,0.1329,20.39,3.578,415.0,4.02
HGS-M5 (dynamic),45,5,8329.0,5479.0,3451.0,7.635,452.0,0.1310,20.33,3.553,386.3,3.67
HGS-M5 (dynamic),45,6,8289.0,5420.0,3405.0,7.686,443.0,0.1301,20.34,3.573,403.6,4.14
HGS-M5 (dynamic),45,7,8325.0,5409.0,3369.0,7.437,453.0,0.1345,20.99,3.727,395.9,3.69
HGS-M5 (dynamic),45,8,8298.0,5357.0,3344.0,7.887,424.0,0.1268,20.03,3.549,406.2,4.04
HGS-M5 (dynamic),45,9,8343.0,5393.0,3390.0,7.618,445.0,0.1313,20.41,3.621,372.0,3.50
HGS-M5 fixed λ=4,45,0,7454.0,4854.0,3064.0,7.917,387.0,0.1263,20.12,3.511,390.7,13.76
HGS-M5 fixed λ=4,45,1,7408.0,4812.0,2971.0,8.117,366.0,0.1232,19.72,3.536,408.3,14.29
HGS-M5 fixed λ=4,45,2,7496.0,4835.0,2959.0,7.912,374.0,0.1264,19.46,3.567,421.0,13.30
HGS-M5 fixed λ=4,45,3,7315.0,4745.0,2994.0,8.114,369.0,0.1232,20.20,3.519,390.2,15.38
HGS-M5 fixed λ=4,45,4,7304.0,4702.0,2946.0,8.005,368.0,0.1249,20.27,3.557,412.7,15.55
HGS-M5 fixed λ=4,45,5,7293.0,4770.0,3027.0,7.842,386.0,0.1275,20.27,3.525,394.4,15.65
HGS-M5 fixed λ=4,45,6,7263.0,4696.0,2927.0,7.743,378.0,0.1291,20.32,3.638,397.4,15.97
HGS-M5 fixed λ=4,45,7,7507.0,4815.0,2958.0,8.171,362.0,0.1224,19.42,3.520,419.5,13.17
HGS-M5 fixed λ=4,45,8,7334.0,4709.0,2949.0,7.885,374.0,0.1268,20.08,3.615,390.4,15.18
HGS-M5 fixed λ=4,45,9,7618.0,4920.0,3115.0,8.133,383.0,0.1230,19.32,3.448,372.2,11.88
HGS-M5 fixed λ=6,45,0,7940.0,5172.0,3244.0,7.951,408.0,0.1258,20.01,3.517,371.9,8.18
HGS-M5 fixed λ=6,45,1,7956.0,5215.0,3242.0,8.146,398.0,0.1228,19.46,3.505,392.4,7.96
HGS-M5 fixed λ=6,45,2,7974.0,5168.0,3228.0,7.892,409.0,0.1267,19.94,3.509,392.4,7.78
HGS-M5 fixed λ=6,45,3,7881.0,5116.0,3236.0,8.471,382.0,0.1180,19.76,3.438,376.8,8.88
HGS-M5 fixed λ=6,45,4,7979.0,5120.0,3180.0,7.930,401.0,0.1261,19.57,3.478,392.5,7.72
HGS-M5 fixed λ=6,45,5,7892.0,5161.0,3270.0,8.258,396.0,0.1211,19.41,3.400,364.4,8.70
HGS-M5 fixed λ=6,45,6,7980.0,5157.0,3275.0,8.147,402.0,0.1227,19.14,3.356,372.1,7.71
HGS-M5 fixed λ=6,45,7,8025.0,5161.0,3210.0,8.147,394.0,0.1227,19.88,3.491,407.6,7.18
HGS-M5 fixed λ=6,45,8,7994.0,5147.0,3219.0,8.108,397.0,0.1233,20.07,3.510,385.4,7.53
HGS-M5 fixed λ=6,45,9,7994.0,5146.0,3262.0,7.860,415.0,0.1272,20.12,3.489,382.6,7.55
HGS-M5 fixed λ=8,45,0,8220.0,5347.0,3348.0,8.048,416.0,0.1243,19.56,3.467,363.9,4.93
HGS-M5 fixed λ=8,45,1,8247.0,5344.0,3345.0,8.383,399.0,0.1193,19.20,3.441,399.2,4.62
HGS-M5 fixed λ=8,45,2,8258.0,5357.0,3337.0,8.022,416.0,0.1247,19.53,3.490,387.2,4.48
HGS-M5 fixed λ=8,45,3,8248.0,5342.0,3365.0,8.584,392.0,0.1165,19.14,3.366,384.5,4.61
HGS-M5 fixed λ=8,45,4,8178.0,5256.0,3281.0,8.285,396.0,0.1207,19.63,3.483,383.8,5.42
HGS-M5 fixed λ=8,45,5,8226.0,5421.0,3421.0,8.364,409.0,0.1196,19.10,3.381,374.4,4.86
HGS-M5 fixed λ=8,45,6,8224.0,5337.0,3359.0,8.193,410.0,0.1221,19.60,3.472,380.4,4.88
HGS-M5 fixed λ=8,45,7,8237.0,5335.0,3334.0,8.294,402.0,0.1206,19.55,3.469,378.2,4.72
HGS-M5 fixed λ=8,45,8,8214.0,5297.0,3275.0,8.067,406.0,0.1240,19.78,3.543,385.8,4.99
HGS-M5 fixed λ=8,45,9,8180.0,5284.0,3329.0,7.706,432.0,0.1298,20.44,3.566,371.7,5.38
HGS-M5 fixed λ=13,45,0,8337.0,5427.0,3450.0,7.895,437.0,0.1267,20.27,3.526,374.7,3.58
HGS-M5 fixed λ=13,45,1,8369.0,5411.0,3354.0,7.967,421.0,0.1255,19.98,3.589,393.4,3.21
HGS-M5 fixed λ=13,45,2,8408.0,5435.0,3369.0,8.319,405.0,0.1202,19.56,3.572,403.5,2.74
HGS-M5 fixed λ=13,45,3,8354.0,5382.0,3417.0,7.928,431.0,0.1261,20.29,3.559,386.7,3.38
HGS-M5 fixed λ=13,45,4,8397.0,5411.0,3393.0,8.255,411.0,0.1211,20.13,3.580,382.3,2.89
HGS-M5 fixed λ=13,45,5,8360.0,5504.0,3494.0,8.088,432.0,0.1236,19.85,3.510,374.7,3.32
HGS-M5 fixed λ=13,45,6,8312.0,5374.0,3352.0,7.906,424.0,0.1265,20.33,3.645,384.2,3.87
HGS-M5 fixed λ=13,45,7,8424.0,5427.0,3387.0,8.342,406.0,0.1199,19.57,3.518,399.8,2.57
HGS-M5 fixed λ=13,45,8,8375.0,5411.0,3386.0,8.508,398.0,0.1175,19.39,3.450,401.3,3.14
HGS-M5 fixed λ=13,45,9,8366.0,5432.0,3398.0,8.149,417.0,0.1227,19.85,3.573,381.4,3.28
HGS-M5 fixed λ=20,45,0,8357.0,5443.0,3450.0,8.175,422.0,0.1223,20.14,3.563,392.1,3.35
HGS-M5 fixed λ=20,45,1,8388.0,5441.0,3402.0,8.442,403.0,0.1185,19.41,3.504,412.4,2.99
HGS-M5 fixed λ=20,45,2,8364.0,5421.0,3378.0,7.967,424.0,0.1255,20.31,3.652,396.4,3.25
HGS-M5 fixed λ=20,45,3,8380.0,5438.0,3437.0,8.087,425.0,0.1237,20.15,3.595,402.3,3.09
HGS-M5 fixed λ=20,45,4,8388.0,5418.0,3341.0,8.270,404.0,0.1209,19.98,3.665,415.5,3.01
HGS-M5 fixed λ=20,45,5,8404.0,5487.0,3506.0,8.288,423.0,0.1207,19.92,3.517,365.8,2.79
