"Method","AvgTP","AvgPO","AvgOD","AvgRD","AvgEOR","SumOrders","SumEnergyKJ","PooledEOR"
"M1G","319.6","3.05425097902986","26.6989012158137","17063.4988586581","9.69043956924695","3196","30965.5529095573","9.68884634216436"
"M1G-RP","321.7","3.08590554734917","25.9113291421688","16670.0401597339","9.65921481422247","3217","31068.0431386612","9.65745823396369"
"Delta_RP_minus_M1G","2.09999999999997","0.0316545683193139","-0.787572073644867","-393.458698924183","-0.0312247550244731","21","102.490229103882","-0.0313881082006748"
