#TimeStamp;PodsHandledAtIStations;PodsHandledAtOStations;ActiveIStations;ActiveOStations;IStationIdleTimes;OStationIdleTimes;IStationActiveTimes;OStationActiveTimes;IStationRequests;OStationRequests;IStationBundleBacklog;OStationItemBacklog;IStationAssignedBots;OStationAssignedBots;IStationPodsHandled;OStationPodsHandled;IStationBundlesStored;OStationItemsPicked
0;0;0;6;12;0/0,1/0,2/0,3/0,4/0,5/0;0/0,1/0,2/0,3/0,4/0,5/0,6/0,7/0,8/0,9/0,10/0,11/0;0/0,1/0,2/0,3/0,4/0,5/0;0/0,1/0,2/0,3/0,4/0,5/0,6/0,7/0,8/0,9/0,10/0,11/0;0/0,1/0,2/0,3/0,4/0,5/0;0/20,1/13,2/12,3/20,4/17,5/14,6/20,7/10,8/9,9/16,10/11,11/13;0/0,1/0,2/0,3/0,4/0,5/0;0/20,1/13,2/12,3/20,4/17,5/14,6/20,7/10,8/9,9/16,10/11,11/13;0/4,1/3,2/3,3/3,4/3,5/4;0/4,1/3,2/3,3/3,4/3,5/4,6/3,7/3,8/3,9/3,10/4,11/4;0/0,1/0,2/0,3/0,4/0,5/0;0/0,1/0,2/0,3/0,4/0,5/0,6/0,7/0,8/0,9/0,10/0,11/0;0/0,1/0,2/0,3/0,4/0,5/0;0/0,1/0,2/0,3/0,4/0,5/0,6/0,7/0,8/0,9/0,10/0,11/0
59.97;0;0;6;12;0/59.97,1/44.05,2/35.87,3/59.97,4/48.67,5/56.29;0/48.52,1/51.04,2/59.97,3/59.97,4/59.97,5/59.97,6/59.97,7/59.97,8/59.97,9/41,10/56.78,11/43.29;0/59.97,1/59.97,2/59.97,3/59.97,4/59.97,5/59.97;0/59.97,1/59.97,2/59.97,3/59.97,4/59.97,5/59.97,6/59.97,7/59.97,8/59.97,9/59.97,10/59.97,11/59.97;0/17,1/20,2/19,3/17,4/20,5/17;0/8,1/7,2/3,3/9,4/4,5/4,6/11,7/1,8/0,9/11,10/0,11/4;0/27,1/29,2/27,3/25,4/26,5/29;0/18,1/12,2/11,3/20,4/17,5/14,6/20,7/10,8/9,9/14,10/10,11/11;0/4,1/3,2/3,3/3,4/3,5/4;0/4,1/3,2/3,3/3,4/3,5/4,6/3,7/3,8/3,9/3,10/4,11/4;0/0,1/0,2/0,3/0,4/0,5/0;0/0,1/0,2/0,3/0,4/0,5/0,6/0,7/0,8/0,9/0,10/0,11/0;0/0,1/2,2/3,3/0,4/2,5/1;0/2,1/1,2/1,3/0,4/0,5/0,6/0,7/0,8/0,9/2,10/1,11/2
119.98;9;9;6;12;0/84.59,1/50.29,2/46.08,3/70.14,4/58.43,5/65.98;0/98.13,1/52.29,2/60.32,3/77.89,4/119.98,5/108.09,6/81.33,7/63.52,8/69.84,9/45.08,10/77.5,11/70.16;0/119.98,1/119.98,2/119.98,3/119.98,4/119.98,5/119.98;0/119.98,1/119.98,2/119.98,3/119.98,4/119.98,5/119.98,6/119.98,7/119.98,8/119.98,9/119.98,10/119.98,11/119.98;0/19,1/20,2/22,3/19,4/22,5/18;0/2,1/6,2/2,3/9,4/4,5/4,6/11,7/3,8/0,9/12,10/0,11/3;0/28,1/26,2/28,3/24,4/26,5/27;0/17,1/20,2/13,3/23,4/17,5/12,6/16,7/15,8/10,9/16,10/15,11/12;0/4,1/3,2/3,3/3,4/3,5/4;0/4,1/3,2/3,3/3,4/3,5/4,6/3,7/3,8/3,9/3,10/4,11/4;0/1,1/1,2/2,3/1,4/2,5/2;0/1,1/1,2/1,3/1,4/0,5/0,6/0,7/0,8/0,9/2,10/2,11/1;0/4,1/7,2/8,3/5,4/7,5/6;0/3,1/7,2/6,3/5,4/0,5/2,6/4,7/6,8/6,9/8,10/5,11/5
179.88;17;16;6;12;0/93.79,1/60.69,2/51.45,3/80.18,4/100.26,5/71.34;0/98.78,1/52.84,2/60.91,3/78.49,4/127.93,5/108.65,6/81.85,7/64.07,8/70.47,9/50.43,10/78.13,11/75.54;0/179.88,1/179.88,2/179.88,3/179.88,4/179.88,5/179.88;0/179.88,1/179.88,2/179.88,3/179.88,4/179.88,5/179.88,6/179.88,7/179.88,8/179.88,9/179.88,10/179.88,11/179.88;0/19,1/23,2/19,3/20,4/16,5/16;0/2,1/6,2/9,3/10,4/5,5/7,6/10,7/6,8/0,9/11,10/0,11/8;0/27,1/25,2/26,3/25,4/25,5/24;0/28,1/17,2/20,3/25,4/25,5/17,6/25,7/17,8/12,9/18,10/20,11/20;0/4,1/3,2/3,3/3,4/3,5/4;0/4,1/3,2/3,3/3,4/3,5/4,6/3,7/3,8/3,9/3,10/4,11/4;0/3,1/3,2/3,3/3,4/2,5/3;0/2,1/1,2/2,3/1,4/1,5/0,6/2,7/0,8/0,9/2,10/2,11/3;0/9,1/13,2/13,3/10,4/8,5/11;0/9,1/13,2/12,3/11,4/6,5/8,6/10,7/12,8/12,9/13,10/11,11/11
239.94;27;25;6;12;0/111.03,1/91.03,2/61.79,3/105.11,4/124.84,5/82.18;0/99.35,1/53.72,2/61.37,3/78.89,4/128.2,5/109.4,6/82.47,7/64.45,8/71.1,9/78.15,10/78.82,11/76.22;0/239.94,1/239.94,2/239.94,3/239.94,4/239.94,5/239.94;0/239.94,1/239.94,2/239.94,3/239.94,4/239.94,5/239.94,6/239.94,7/239.94,8/239.94,9/239.94,10/239.94,11/239.94;0/20,1/21,2/21,3/20,4/18,5/18;0/0,1/4,2/10,3/10,4/3,5/5,6/10,7/6,8/0,9/9,10/0,11/6;0/26,1/25,2/25,3/25,4/23,5/23;0/26,1/15,2/25,3/19,4/19,5/14,6/24,7/11,8/11,9/14,10/21,11/14;0/4,1/3,2/3,3/3,4/3,5/4;0/4,1/3,2/3,3/3,4/3,5/4,6/3,7/3,8/3,9/3,10/4,11/4;0/4,1/4,2/5,3/5,4/4,5/5;0/4,1/2,2/2,3/2,4/1,5/2,6/2,7/1,8/1,9/3,10/2,11/3;0/13,1/15,2/18,3/14,4/12,5/16;0/15,1/19,2/18,3/17,4/12,5/14,6/16,7/18,8/18,9/17,10/17,11/17
299.82;38;36;6;12;0/127.39,1/119.09,2/92.7,3/129.84,4/130.7,5/92.11;0/100.17,1/54.4,2/61.66,3/79.24,4/128.47,5/114.91,6/82.84,7/65.01,8/71.97,9/100.76,10/79.25,11/76.7;0/299.82,1/299.82,2/299.82,3/299.82,4/299.82,5/299.82;0/299.82,1/299.82,2/299.82,3/299.82,4/299.82,5/299.82,6/299.82,7/299.82,8/299.82,9/299.82,10/299.82,11/299.82;0/19,1/21,2/19,3/19,4/17,5/14;0/0,1/3,2/10,3/6,4/1,5/5,6/10,7/2,8/0,9/5,10/0,11/3;0/24,1/23,2/24,3/22,4/21,5/20;0/24,1/14,2/19,3/17,4/13,5/18,6/18,7/8,8/18,9/14,10/15,11/16;0/4,1/3,2/3,3/3,4/3,5/4;0/4,1/3,2/3,3/3,4/3,5/4,6/3,7/3,8/3,9/3,10/4,11/4;0/7,1/6,2/6,3/7,4/5,5/7;0/4,1/3,2/3,3/3,4/2,5/4,6/2,7/2,8/2,9/4,10/2,11/5;0/18,1/19,2/21,3/18,4/17,5/21;0/21,1/25,2/24,3/23,4/18,5/19,6/22,7/24,8/23,9/20,10/23,11/23
359.98;47;45;6;12;0/161.86,1/151.52,2/111.9,3/150.77,4/150.97,5/115.8;0/100.62,1/81.77,2/61.95,3/79.87,4/128.98,5/128.72,6/83.15,7/77.59,8/72.58,9/121.58,10/79.68,11/77.14;0/359.98,1/359.98,2/359.98,3/359.98,4/359.98,5/359.98;0/359.98,1/359.98,2/359.98,3/359.98,4/359.98,5/359.98,6/359.98,7/359.98,8/359.98,9/359.98,10/359.98,11/359.98;0/17,1/20,2/22,3/19,4/18,5/17;0/0,1/2,2/8,3/5,4/2,5/6,6/6,7/2,8/1,9/6,10/2,11/3;0/24,1/26,2/25,3/23,4/20,5/23;0/18,1/18,2/13,3/21,4/13,5/20,6/12,7/9,8/18,9/15,10/13,11/13;0/4,1/3,2/3,3/3,4/3,5/4;0/4,1/3,2/3,3/3,4/3,5/4,6/3,7/3,8/3,9/3,10/4,11/4;0/8,1/7,2/8,3/8,4/7,5/9;0/4,1/3,2/3,3/4,4/3,5/5,6/4,7/3,8/2,9/5,10/3,11/6;0/20,1/21,2/25,3/21,4/21,5/25;0/27,1/28,2/30,3/29,4/24,5/24,6/28,7/29,8/29,9/24,10/29,11/29
420;56;58;6;12;0/173.48,1/211.23,2/141.28,3/190.8,4/201.01,5/130.64;0/101.02,1/96.64,2/62.45,3/80.24,4/129.53,5/129.64,6/83.6,7/78.27,8/72.91,9/141.47,10/80.35,11/77.73;0/420,1/420,2/420,3/420,4/420,5/420;0/420,1/420,2/420,3/420,4/420,5/420,6/420,7/420,8/420,9/420,10/420,11/420;0/19,1/20,2/19,3/18,4/17,5/18;0/2,1/2,2/11,3/6,4/1,5/3,6/9,7/2,8/3,9/2,10/5,11/6;0/23,1/25,2/26,3/24,4/20,5/22;0/16,1/16,2/22,3/18,4/15,5/17,6/14,7/9,8/16,9/14,10/15,11/18;0/4,1/3,2/3,3/3,4/3,5/4;0/4,1/3,2/3,3/3,4/3,5/4,6/3,7/3,8/3,9/3,10/4,11/4;0/10,1/8,2/9,3/9,4/8,5/12;0/5,1/4,2/5,3/4,4/3,5/6,6/5,7/4,8/3,9/7,10/5,11/7;0/25,1/22,2/28,3/23,4/22,5/30;0/33,1/33,2/36,3/35,4/30,5/30,6/34,7/35,8/35,9/28,10/35,11/35
479.98;65;64;6;12;0/192.09,1/231.72,2/173.53,3/225.56,4/251.05,5/149.37;0/101.81,1/97.59,2/62.78,3/80.64,4/129.88,5/130.44,6/84.05,7/78.64,8/73.3,9/141.96,10/80.88,11/78.21;0/479.98,1/479.98,2/479.98,3/479.98,4/479.98,5/479.98;0/479.98,1/479.98,2/479.98,3/479.98,4/479.98,5/479.98,6/479.98,7/479.98,8/479.98,9/479.98,10/479.98,11/479.98;0/18,1/20,2/21,3/21,4/17,5/19;0/2,1/0,2/11,3/6,4/0,5/3,6/6,7/1,8/3,9/3,10/2,11/6;0/24,1/24,2/25,3/24,4/20,5/22;0/17,1/17,2/18,3/14,4/11,5/14,6/13,7/10,8/13,9/15,10/16,11/15;0/4,1/3,2/3,3/3,4/3,5/4;0/4,1/3,2/3,3/3,4/3,5/4,6/3,7/3,8/3,9/3,10/4,11/4;0/12,1/9,2/10,3/11,4/9,5/14;0/5,1/5,2/5,3/4,4/4,5/7,6/5,7/5,8/4,9/7,10/5,11/8;0/29,1/25,2/31,3/26,4/23,5/34;0/39,1/39,2/42,3/41,4/36,5/36,6/40,7/41,8/41,9/34,10/41,11/41
539.97;75;77;6;12;0/228.39,1/264,2/191.59,3/251.15,4/283.96,5/182.07;0/102.55,1/98.11,2/63.19,3/81,4/130.24,5/130.95,6/86.1,7/79.19,8/73.91,9/142.35,10/81.45,11/78.61;0/539.97,1/539.97,2/539.97,3/539.97,4/539.97,5/539.97;0/539.97,1/539.97,2/539.97,3/539.97,4/539.97,5/539.97,6/539.97,7/539.97,8/539.97,9/539.97,10/539.97,11/539.97;0/20,1/20,2/20,3/19,4/18,5/20;0/2,1/0,2/10,3/7,4/1,5/2,6/10,7/4,8/2,9/3,10/1,11/5;0/24,1/23,2/24,3/23,4/20,5/23;0/14,1/18,2/17,3/14,4/10,5/13,6/17,7/11,8/16,9/9,10/13,11/9;0/4,1/3,2/3,3/3,4/3,5/4;0/4,1/3,2/3,3/3,4/3,5/4,6/3,7/3,8/3,9/3,10/4,11/4;0/14,1/11,2/12,3/12,4/11,5/15;0/5,1/5,2/7,3/5,4/5,5/9,6/7,7/6,8/4,9/8,10/6,11/10;0/32,1/28,2/35,3/29,4/26,5/36;0/45,1/45,2/48,3/47,4/42,5/42,6/46,7/47,8/47,9/40,10/47,11/47
599.85;80;84;6;12;0/252.24,1/311.78,2/245.73,3/291.44,4/341.06,5/222;0/120.5,1/98.66,2/111.53,3/82.48,4/130.87,5/131.92,6/92.12,7/81.16,8/74.27,9/142.84,10/82.17,11/79.19;0/599.85,1/599.85,2/599.85,3/599.85,4/599.85,5/599.85;0/599.85,1/599.85,2/599.85,3/599.85,4/599.85,5/599.85,6/599.85,7/599.85,8/599.85,9/599.85,10/599.85,11/599.85;0/19,1/18,2/18,3/18,4/17,5/19;0/0,1/0,2/9,3/6,4/1,5/0,6/5,7/0,8/0,9/2,10/5,11/5;0/22,1/23,2/23,3/22,4/20,5/23;0/12,1/12,2/18,3/15,4/12,5/11,6/14,7/12,8/20,9/14,10/12,11/11;0/4,1/3,2/3,3/3,4/3,5/4;0/4,1/3,2/3,3/3,4/3,5/4,6/3,7/3,8/3,9/3,10/4,11/4;0/15,1/11,2/13,3/13,4/11,5/17;0/6,1/5,2/7,3/6,4/5,5/9,6/7,7/7,8/5,9/9,10/8,11/10;0/35,1/29,2/36,3/31,4/26,5/38;0/49,1/51,2/49,3/52,4/48,5/48,6/51,7/53,8/53,9/46,10/53,11/53
659.72;91;96;6;12;0/302.12,1/331.8,2/266.75,3/322.34,4/373.95,5/271.96;0/124.42,1/99.27,2/122.92,3/104.06,4/131.75,5/132.49,6/105.85,7/81.94,8/74.58,9/143.21,10/83.09,11/83.27;0/659.72,1/659.72,2/659.72,3/659.72,4/659.72,5/659.72;0/659.72,1/659.72,2/659.72,3/659.72,4/659.72,5/659.72,6/659.72,7/659.72,8/659.72,9/659.72,10/659.72,11/659.72;0/18,1/17,2/17,3/17,4/16,5/18;0/0,1/2,2/9,3/3,4/0,5/3,6/1,7/2,8/0,9/1,10/1,11/3;0/21,1/19,2/20,3/19,4/17,5/22;0/11,1/12,2/18,3/17,4/14,5/12,6/14,7/12,8/16,9/13,10/11,11/10;0/4,1/3,2/3,3/3,4/3,5/4;0/4,1/3,2/3,3/3,4/3,5/4,6/3,7/3,8/3,9/3,10/4,11/4;0/16,1/13,2/15,3/15,4/14,5/18;0/8,1/6,2/8,3/7,4/7,5/9,6/8,7/7,8/6,9/10,10/8,11/12;0/36,1/33,2/40,3/34,4/29,5/39;0/54,1/57,2/54,3/56,4/54,5/54,6/56,7/59,8/59,9/52,10/59,11/58
719.9;101;106;6;12;0/335.54,1/372.63,2/296.76,3/371.95,4/423.94,5/302.24;0/125.08,1/99.75,2/123.8,3/104.48,4/132.3,5/133.12,6/119.04,7/82.66,8/75.01,9/143.98,10/96.59,11/92.97;0/719.9,1/719.9,2/719.9,3/719.9,4/719.9,5/719.9;0/719.9,1/719.9,2/719.9,3/719.9,4/719.9,5/719.9,6/719.9,7/719.9,8/719.9,9/719.9,10/719.9,11/719.9;0/18,1/15,2/14,3/15,4/14,5/19;0/0,1/0,2/11,3/2,4/2,5/1,6/2,7/5,8/0,9/2,10/1,11/5;0/19,1/17,2/17,3/18,4/16,5/22;0/11,1/10,2/18,3/15,4/15,5/15,6/16,7/16,8/16,9/14,10/13,11/12;0/4,1/3,2/3,3/3,4/3,5/4;0/4,1/3,2/3,3/3,4/3,5/4,6/3,7/3,8/3,9/3,10/4,11/4;0/19,1/15,2/16,3/16,4/15,5/20;0/8,1/7,2/8,3/8,4/7,5/11,6/9,7/8,8/6,9/11,10/10,11/13;0/39,1/35,2/43,3/35,4/30,5/42;0/60,1/63,2/60,3/62,4/60,5/60,6/61,7/65,8/65,9/58,10/63,11/63
779.91;113;117;6;12;0/382.5,1/421.78,2/346.8,3/402.04,4/461.56,5/333.97;0/125.62,1/100.15,2/124.34,3/104.83,4/132.87,5/133.99,6/119.5,7/83.16,8/75.37,9/144.52,10/98.19,11/115.05;0/779.91,1/779.91,2/779.91,3/779.91,4/779.91,5/779.91;0/779.91,1/779.91,2/779.91,3/779.91,4/779.91,5/779.91,6/779.91,7/779.91,8/779.91,9/779.91,10/779.91,11/779.91;0/16,1/14,2/13,3/14,4/12,5/15;0/0,1/0,2/12,3/2,4/3,5/1,6/2,7/2,8/0,9/1,10/0,11/3;0/19,1/15,2/16,3/15,4/14,5/19;0/10,1/11,2/21,3/15,4/15,5/14,6/15,7/14,8/14,9/15,10/13,11/12;0/4,1/3,2/3,3/3,4/3,5/4;0/4,1/3,2/3,3/3,4/3,5/4,6/3,7/3,8/3,9/3,10/4,11/4;0/20,1/17,2/17,3/19,4/17,5/23;0/8,1/8,2/9,3/9,4/8,5/13,6/10,7/9,8/6,9/11,10/11,11/15;0/40,1/37,2/44,3/38,4/32,5/45;0/66,1/69,2/66,3/68,4/66,5/66,6/67,7/71,8/71,9/64,10/69,11/67
839.99;118;124;6;12;0/425.93,1/462.21,2/382.19,3/452.19,4/521.64,5/392.48;0/126.35,1/100.84,2/124.65,3/105.15,4/133.27,5/134.66,6/119.81,7/83.54,8/75.73,9/144.9,10/98.64,11/115.45;0/839.99,1/839.99,2/839.99,3/839.99,4/839.99,5/839.99;0/839.99,1/839.99,2/839.99,3/839.99,4/839.99,5/839.99,6/839.99,7/839.99,8/839.99,9/839.99,10/839.99,11/839.99;0/18,1/13,2/11,3/12,4/11,5/15;0/4,1/0,2/12,3/2,4/5,5/1,6/2,7/4,8/0,9/0,10/0,11/3;0/20,1/15,2/14,3/14,4/14,5/21;0/13,1/10,2/18,3/11,4/12,5/16,6/12,7/13,8/13,9/11,10/9,11/16;0/4,1/3,2/3,3/3,4/3,5/4;0/4,1/3,2/3,3/3,4/3,5/4,6/3,7/3,8/3,9/3,10/4,11/4;0/22,1/18,2/18,3/20,4/17,5/23;0/9,1/8,2/10,3/9,4/8,5/13,6/10,7/10,8/7,9/12,10/12,11/16;0/42,1/38,2/46,3/39,4/32,5/45;0/72,1/75,2/72,3/74,4/72,5/72,6/73,7/77,8/77,9/70,10/75,11/73
900;129;133;6;12;0/472.89,1/512.25,2/428.73,3/511.15,4/552.06,5/410.26;0/126.97,1/101.42,2/133.27,3/105.68,4/133.66,5/135.39,6/120.31,7/84.08,8/76.13,9/145.46,10/99.36,11/115.85;0/900,1/900,2/900,3/900,4/900,5/900;0/900,1/900,2/900,3/900,4/900,5/900,6/900,7/900,8/900,9/900,10/900,11/900;0/16,1/12,2/10,3/11,4/9,5/15;0/4,1/5,2/11,3/2,4/5,5/1,6/2,7/2,8/0,9/0,10/3,11/1;0/19,1/14,2/12,3/13,4/11,5/18;0/19,1/15,2/15,3/12,4/11,5/13,6/11,7/14,8/12,9/8,10/18,11/15;0/4,1/3,2/3,3/3,4/3,5/4;0/4,1/3,2/3,3/3,4/3,5/4,6/3,7/3,8/3,9/3,10/4,11/4;0/23,1/19,2/20,3/21,4/20,5/26;0/10,1/8,2/11,3/10,4/9,5/13,6/11,7/10,8/7,9/13,10/13,11/18;0/43,1/39,2/48,3/40,4/35,5/50;0/78,1/81,2/77,3/80,4/77,5/78,6/79,7/83,8/83,9/76,10/81,11/79
959.99;138;142;6;12;0/505.55,1/553.72,2/472.51,3/542.62,4/612.06,5/452.75;0/135.3,1/102,2/193.26,3/106.37,4/138.96,5/136.14,6/120.73,7/84.6,8/76.7,9/146.17,10/99.76,11/116.38;0/959.99,1/959.99,2/959.99,3/959.99,4/959.99,5/959.99;0/959.99,1/959.99,2/959.99,3/959.99,4/959.99,5/959.99,6/959.99,7/959.99,8/959.99,9/959.99,10/959.99,11/959.99;0/16,1/11,2/8,3/9,4/8,5/15;0/2,1/5,2/10,3/2,4/3,5/0,6/2,7/3,8/0,9/0,10/3,11/0;0/18,1/12,2/11,3/11,4/11,5/18;0/13,1/14,2/15,3/13,4/14,5/12,6/11,7/11,8/10,9/9,10/21,11/12;0/4,1/3,2/3,3/3,4/3,5/4;0/4,1/3,2/3,3/3,4/3,5/4,6/3,7/3,8/3,9/3,10/4,11/4;0/26,1/21,2/21,3/23,4/20,5/27;0/12,1/9,2/11,3/11,4/10,5/14,6/12,7/11,8/8,9/13,10/13,11/18;0/46,1/41,2/49,3/42,4/35,5/51;0/84,1/87,2/77,3/86,4/83,5/84,6/85,7/89,8/89,9/82,10/87,11/85
