Policy,Bots,Items,Lines,Orders,Pile-on,Trips,Trips/order,m/line,EOR (kJ/order),Turnover (s),Station idle (%)
M4G-WS-NS,6,1258.4,820.8,584.3,3.304,176.9,0.3029,14.66,1.678,346.8,12.66
M4G-WS-NS₀,6,1260.0,821.7,585.3,3.400,172.2,0.2944,15.03,1.693,346.2,12.55
M4G-WS-NS,10,1419.2,922.6,646.7,3.181,203.5,0.3147,16.22,1.903,371.6,1.52
M4G-WS-NS₀,10,1419.9,928.5,648.1,3.219,201.5,0.3110,16.94,1.964,372.5,1.45
