Policy,Bots,Time per decision (s),Total time (s),Decisions
M4G-WS-NS,6,0.1407,126.9,904
M4G-WS-NS₀,6,0.1054,94.2,895
M4G-WS-NS,10,0.1010,80.9,802
M4G-WS-NS₀,10,0.0760,59.4,784
