>>> Bots
Bot0:
DistanceTraveled: 447.281244605305
DistanceEstimated: 422
NumberOfPickups: 6
NumberOfSetdowns: 5
NumCollisions: 0
TotalTimeMoving: 385.311666666667
None: 0.42
ParkPod: 81.143795097476
RepositionPod: 0
Insert: 513.821572875254
Extract: 0
Rest: 0
PickupPod: 13.4334271247462
SetdownPod: 11.143520916159
GetItems: 130.466854249492
PutItems: 0
Rest: 2.27314575050786
Move: 438.068419931824
Evade: 0
UseElevator: 0
SlowStartHold: 0
PickupPod_Count: 6
SetdownPod_Count: 5
GetItems_Count: 5
PutItems_Count: 0
Rest_Count: 0
Move_Count: 17
Evade_Count: 0
UseElevator_Count: 0
SlowStartHold_Count: 0
StatSlowStartHoldTimeSec: 0
StatSlowStartHoldEnergyJ: 0
StatSlowStartDecisionCount: 0
StatSlowStartImmediateReleaseCount: 0
StatSlowStartSearchFailures: 0
StatSlowStartExpectedArrivalMissingCount: 0
Bot1:
DistanceTraveled: 444.580692646209
DistanceEstimated: 445
NumberOfPickups: 4
NumberOfSetdowns: 3
NumCollisions: 0
TotalTimeMoving: 349.95740980505
None: 0.42
ParkPod: 52.3645382358572
RepositionPod: 0
Insert: 0
Extract: 543.784812417174
Rest: 0
PickupPod: 8.95657287525342
SetdownPod: 6.7293506530315
GetItems: 0
PutItems: 190.052503596461
Rest: 0.99333333333321
Move: 389.837590194952
Evade: 0
UseElevator: 0
SlowStartHold: 0
PickupPod_Count: 4
SetdownPod_Count: 3
GetItems_Count: 0
PutItems_Count: 3
Rest_Count: 0
Move_Count: 11
Evade_Count: 0
UseElevator_Count: 0
SlowStartHold_Count: 4
StatSlowStartHoldTimeSec: 0
StatSlowStartHoldEnergyJ: 0
StatSlowStartDecisionCount: 4
StatSlowStartImmediateReleaseCount: 4
StatSlowStartSearchFailures: 0
StatSlowStartExpectedArrivalMissingCount: 0
Bot2:
DistanceTraveled: 509.571255394684
DistanceEstimated: 560
NumberOfPickups: 4
NumberOfSetdowns: 4
NumCollisions: 0
TotalTimeMoving: 411.288253927764
None: 0.42
ParkPod: 77.3837950974756
RepositionPod: 0
Insert: 518.703614707573
Extract: 0
Rest: 0
PickupPod: 8.92777777777763
SetdownPod: 8.94435065303159
GetItems: 110.357777777777
PutItems: 0
Rest: 1.50666666666659
Move: 466.770836929795
Evade: 0
UseElevator: 0
SlowStartHold: 0
PickupPod_Count: 4
SetdownPod_Count: 4
GetItems_Count: 4
PutItems_Count: 0
Rest_Count: 0
Move_Count: 13
Evade_Count: 0
UseElevator_Count: 0
SlowStartHold_Count: 0
StatSlowStartHoldTimeSec: 0
StatSlowStartHoldEnergyJ: 0
StatSlowStartDecisionCount: 0
StatSlowStartImmediateReleaseCount: 0
StatSlowStartSearchFailures: 0
StatSlowStartExpectedArrivalMissingCount: 0
Bot3:
DistanceTraveled: 350.891666666665
DistanceEstimated: 413
NumberOfPickups: 3
NumberOfSetdowns: 3
NumCollisions: 0
TotalTimeMoving: 286.953896081812
None: 0.42
ParkPod: 53.0588888888886
RepositionPod: 0
Insert: 0
Extract: 543.91676045808
Rest: 0
PickupPod: 6.70222222222217
SetdownPod: 6.70666666666656
GetItems: 0
PutItems: 260.836666666666
Rest: 1.47944444444447
Move: 321.670649346969
Evade: 0
UseElevator: 0
SlowStartHold: 0
PickupPod_Count: 3
SetdownPod_Count: 3
GetItems_Count: 0
PutItems_Count: 3
Rest_Count: 0
Move_Count: 10
Evade_Count: 0
UseElevator_Count: 0
SlowStartHold_Count: 3
StatSlowStartHoldTimeSec: 0
StatSlowStartHoldEnergyJ: 0
StatSlowStartDecisionCount: 3
StatSlowStartImmediateReleaseCount: 3
StatSlowStartSearchFailures: 0
StatSlowStartExpectedArrivalMissingCount: 0
Bot4:
DistanceTraveled: 436.197224631656
DistanceEstimated: 405
NumberOfPickups: 5
NumberOfSetdowns: 4
NumCollisions: 0
TotalTimeMoving: 374.436204902525
None: 0.42
ParkPod: 88.5754617641429
RepositionPod: 0
Insert: 507.936760458079
Extract: 0
Rest: 0
PickupPod: 11.1103679727298
SetdownPod: 8.97564934696837
GetItems: 160.579538235857
PutItems: 0
Rest: 1.72638529242736
Move: 414.540281374239
Evade: 0
UseElevator: 0
SlowStartHold: 0
PickupPod_Count: 5
SetdownPod_Count: 4
GetItems_Count: 5
PutItems_Count: 0
Rest_Count: 0
Move_Count: 15
Evade_Count: 0
UseElevator_Count: 0
SlowStartHold_Count: 0
StatSlowStartHoldTimeSec: 0
StatSlowStartHoldEnergyJ: 0
StatSlowStartDecisionCount: 0
StatSlowStartImmediateReleaseCount: 0
StatSlowStartSearchFailures: 0
StatSlowStartExpectedArrivalMissingCount: 0
Bot5:
DistanceTraveled: 310.999999999999
DistanceEstimated: 289
NumberOfPickups: 3
NumberOfSetdowns: 2
NumCollisions: 0
TotalTimeMoving: 254.507965360604
None: 0.42
ParkPod: 35.5889826803015
RepositionPod: 0
Insert: 0
Extract: 561.542496403539
Rest: 0
PickupPod: 6.7312049025239
SetdownPod: 4.43666666666658
GetItems: 0
PutItems: 305.040829736873
Rest: 1.16166666666667
Move: 280.181111111111
Evade: 0
UseElevator: 0
SlowStartHold: 0
PickupPod_Count: 3
SetdownPod_Count: 2
GetItems_Count: 0
PutItems_Count: 3
Rest_Count: 0
Move_Count: 8
Evade_Count: 0
UseElevator_Count: 0
SlowStartHold_Count: 3
StatSlowStartHoldTimeSec: 0
StatSlowStartHoldEnergyJ: 0
StatSlowStartDecisionCount: 3
StatSlowStartImmediateReleaseCount: 3
StatSlowStartSearchFailures: 0
StatSlowStartExpectedArrivalMissingCount: 0
Bot6:
DistanceTraveled: 483.124166666662
DistanceEstimated: 512
NumberOfPickups: 5
NumberOfSetdowns: 5
NumCollisions: 0
TotalTimeMoving: 413.743614707572
None: 0.42
ParkPod: 111.089076471715
RepositionPod: 0
Insert: 485.258982680301
Extract: 0
Rest: 0
PickupPod: 11.20963202727
SetdownPod: 11.1787950974758
GetItems: 110.397316013635
PutItems: 0
Rest: 2.44528137423927
Move: 461.537034639396
Evade: 0
UseElevator: 0
SlowStartHold: 0
PickupPod_Count: 5
SetdownPod_Count: 5
GetItems_Count: 5
PutItems_Count: 0
Rest_Count: 0
Move_Count: 16
Evade_Count: 0
UseElevator_Count: 0
SlowStartHold_Count: 0
StatSlowStartHoldTimeSec: 0
StatSlowStartHoldEnergyJ: 0
StatSlowStartDecisionCount: 0
StatSlowStartImmediateReleaseCount: 0
StatSlowStartSearchFailures: 0
StatSlowStartExpectedArrivalMissingCount: 0
Bot7:
DistanceTraveled: 529.999999999991
DistanceEstimated: 518
NumberOfPickups: 4
NumberOfSetdowns: 3
NumCollisions: 0
TotalTimeMoving: 416.026204902523
None: 0.42
ParkPod: 51.2924098050475
RepositionPod: 0
Insert: 0
Extract: 543.516197709603
Rest: 0
PickupPod: 8.94166666666673
SetdownPod: 6.67222222222213
GetItems: 0
PutItems: 127.926847056571
Rest: 1.91703463939687
Move: 449.770836929793
Evade: 0
UseElevator: 0
SlowStartHold: 0
PickupPod_Count: 4
SetdownPod_Count: 3
GetItems_Count: 0
PutItems_Count: 4
Rest_Count: 0
Move_Count: 11
Evade_Count: 0
UseElevator_Count: 0
SlowStartHold_Count: 4
StatSlowStartHoldTimeSec: 0
StatSlowStartHoldEnergyJ: 0
StatSlowStartDecisionCount: 4
StatSlowStartImmediateReleaseCount: 4
StatSlowStartSearchFailures: 0
StatSlowStartExpectedArrivalMissingCount: 0
Bot8:
DistanceTraveled: 361.999999999994
DistanceEstimated: 350
NumberOfPickups: 3
NumberOfSetdowns: 2
NumCollisions: 0
TotalTimeMoving: 289.391572875254
None: 0.42
ParkPod: 34.503982680302
RepositionPod: 0
Insert: 0
Extract: 562.091666666667
Rest: 0
PickupPod: 6.73268398636481
SetdownPod: 4.48611111111103
GetItems: 0
PutItems: 269.69212843081
Rest: 1.30787156919091
Move: 314.796854249493
Evade: 0
UseElevator: 0
SlowStartHold: 0
PickupPod_Count: 3
SetdownPod_Count: 2
GetItems_Count: 0
