Bots,Items,Lines,Orders,Pile-on,Trips,Trips/order,m/line,EOR (kJ/order),Turnover (s),Station idle (%)
6,+23.76***,+26.47***,+14.51***,+73.15***,−33.86***,−42.33***,−36.82***,−31.86***,+90.78***,−92.87***
10,+1.24***,+3.61***,−4.89***,+59.54***,−40.46***,−37.42***,−31.27***,−26.97***,+83.73***,−58.33***
