Bots,Items,Lines,Orders,Pile-on,Trips,Trips/order,m/line,EOR (kJ/order),Turnover (s),Station idle (%)
6,< .001,< .001,< .001,< .001,< .001,< .001,< .001,< .001,< .001,< .001
10,< .001,< .001,< .001,< .001,< .001,< .001,< .001,< .001,< .001,< .001
