Policy,Bots,Items,Lines,Orders,Pile-on,Trips,Trips/order,m/line,EOR (kJ/order),Turnover (s),Station idle (%)
M4G-NS,6,45.5,33.4,31.0,0.160,7.2,0.0168,0.69,0.106,29.6,3.15
M4G,6,6.8,15.6,12.1,0.176,2.5,0.0063,0.34,0.035,49.6,0.47
M4G-NS,10,9.6,16.1,11.1,0.167,9.1,0.0161,0.51,0.068,29.7,0.67
M4G,10,2.3,16.5,11.1,0.152,3.4,0.0058,0.27,0.029,40.3,0.16
