#TimeStamp;PodsHandledAtIStations;PodsHandledAtOStations;ActiveIStations;ActiveOStations;IStationIdleTimes;OStationIdleTimes;IStationActiveTimes;OStationActiveTimes;IStationRequests;OStationRequests;IStationBundleBacklog;OStationItemBacklog;IStationAssignedBots;OStationAssignedBots;IStationPodsHandled;OStationPodsHandled;IStationBundlesStored;OStationItemsPicked
0;0;0;2;2;0/0,1/0;0/0,1/0;0/0,1/0;0/0,1/0;0/0,1/0;0/0,1/0;0/0,1/0;0/0,1/0;0/3,1/2;0/5,1/5;0/0,1/0;0/0,1/0;0/0,1/0;0/0,1/0
60;0;0;2;2;0/60,1/60;0/44.76,1/22.62;0/60,1/60;0/60,1/60;0/0,1/0;0/0,1/0;0/0,1/0;0/9,1/9;0/3,1/2;0/5,1/5;0/0,1/0;0/0,1/0;0/0,1/0;0/2,1/4
119.96;0;0;2;2;0/119.96,1/118.13;0/44.84,1/22.84;0/119.96,1/119.96;0/119.96,1/119.96;0/0,1/0;0/0,1/0;0/0,1/3;0/7,1/9;0/3,1/2;0/5,1/5;0/0,1/0;0/0,1/0;0/0,1/1;0/8,1/10
179.96;0;1;2;2;0/179.96,1/140.13;0/45.07,1/22.98;0/179.96,1/179.96;0/179.96,1/179.96;0/0,1/2;0/0,1/0;0/0,1/2;0/11,1/8;0/3,1/2;0/5,1/5;0/0,1/0;0/1,1/0;0/0,1/4;0/14,1/16
239.96;1;2;2;2;0/239.96,1/180.22;0/45.2,1/23.16;0/239.96,1/239.96;0/239.96,1/239.96;0/0,1/0;0/0,1/0;0/0,1/0;0/10,1/7;0/3,1/2;0/5,1/5;0/0,1/1;0/1,1/1;0/0,1/6;0/20,1/22
299.96;1;3;2;2;0/299.96,1/240.22;0/45.47,1/23.51;0/299.96,1/299.96;0/299.96,1/299.96;0/0,1/0;0/0,1/0;0/0,1/3;0/7,1/7;0/3,1/2;0/5,1/5;0/0,1/1;0/2,1/1;0/0,1/6;0/26,1/28
360;2;4;2;2;0/360,1/270.27;0/45.96,1/23.96;0/360,1/360;0/360,1/360;0/0,1/0;0/0,1/0;0/0,1/0;0/16,1/7;0/3,1/2;0/5,1/5;0/0,1/2;0/2,1/2;0/0,1/9;0/32,1/34
420;2;6;2;2;0/420,1/330.27;0/46.27,1/24.4;0/420,1/420;0/420,1/420;0/0,1/0;0/0,1/0;0/0,1/1;0/13,1/8;0/3,1/2;0/5,1/5;0/0,1/2;0/3,1/3;0/0,1/9;0/38,1/40
480;3;7;2;2;0/464.4,1/380.27;0/46.67,1/24.89;0/480,1/480;0/480,1/480;0/0,1/0;0/1,1/0;0/1,1/0;0/13,1/10;0/3,1/2;0/5,1/5;0/0,1/3;0/3,1/4;0/2,1/10;0/44,1/46
540;3;9;2;2;0/510,1/440.27;0/46.89,1/25.16;0/540,1/540;0/540,1/540;0/0,1/0;0/0,1/0;0/0,1/3;0/10,1/15;0/3,1/2;0/5,1/5;0/0,1/3;0/4,1/5;0/3,1/10;0/50,1/52
