Policy,Bots,Items,Lines,Orders,Pile-on,Trips,Trips/order,m/line,EOR (kJ/order),Turnover (s),Station idle (%)
M4G (dynamic),6,1419.9,946.1,599.1,5.338,112.3,0.1875,9.37,1.190,830.8,1.45
M4G fixed λ=4.5,6,946.3,634.3,408.5,4.634,89.9,0.2166,10.90,1.374,587.6,34.30
M4G fixed λ=6,6,1264.3,837.2,540.0,4.262,127.1,0.2352,10.96,1.378,610.2,12.25
M4G fixed λ=8,6,1264.1,841.9,541.2,4.247,129.3,0.2364,10.85,1.369,596.2,12.29
M4G fixed λ=11,6,1391.8,923.0,590.8,4.404,134.2,0.2273,10.85,1.378,644.4,3.42
M4G fixed λ=15,6,1390.4,924.8,588.8,4.513,130.5,0.2217,10.83,1.378,680.3,3.50
M4G fixed λ=20,6,1394.1,926.8,590.4,4.553,129.7,0.2197,10.79,1.372,677.1,3.25
M4G fixed λ=28,6,1396.2,928.9,593.1,4.582,129.5,0.2184,10.93,1.385,665.1,3.09
M4G (dynamic),10,1428.7,952.2,603.5,5.118,118.0,0.1956,10.35,1.317,787.8,0.86
M4G fixed λ=4.5,10,937.1,633.5,405.5,4.539,94.2,0.2232,10.68,1.362,535.0,34.95
M4G fixed λ=6,10,1309.0,859.5,557.0,3.491,159.9,0.2872,13.34,1.695,572.5,9.15
M4G fixed λ=8,10,1402.9,923.2,589.5,3.233,182.5,0.3097,14.18,1.830,569.5,2.65
M4G fixed λ=11,10,1426.0,941.1,596.0,3.102,192.2,0.3225,14.34,1.879,618.6,1.04
M4G fixed λ=15,10,1425.2,939.6,595.0,3.093,192.4,0.3234,14.58,1.903,616.8,1.09
M4G fixed λ=20,10,1425.4,939.5,593.7,3.145,188.8,0.3180,14.60,1.911,637.3,1.09
M4G fixed λ=28,10,1424.6,937.5,592.1,3.154,187.8,0.3172,14.94,1.954,614.2,1.15
