Policy,Reference,Bots,Items,Lines,Orders,Pile-on,Trips,Trips/order,m/line,EOR (kJ/order),Turnover (s),Station idle (%)
M4G fixed λ=4.5,M4G (dynamic),6,−33.35**,−32.96**,−31.81**,−13.18***,−19.95,+15.49***,+16.32**,+15.53**,−29.27***,+2260.43**
M4G fixed λ=6,M4G (dynamic),6,−10.96**,−11.51**,−9.86**,−20.16***,+13.18*,+25.41***,+16.97***,+15.82***,−26.55***,+742.88**
M4G fixed λ=8,M4G (dynamic),6,−10.97,−11.01,−9.66,−20.44***,+15.14,+26.07***,+15.73***,+15.11***,−28.24***,+746.09
M4G fixed λ=11,M4G (dynamic),6,−1.98***,−2.44**,−1.39,−17.50***,+19.50***,+21.20***,+15.73***,+15.82***,−22.43***,+135.56***
M4G fixed λ=15,M4G (dynamic),6,−2.08***,−2.25***,−1.72*,−15.46***,+16.21***,+18.22***,+15.51***,+15.83***,−18.11***,+141.20***
M4G fixed λ=20,M4G (dynamic),6,−1.82***,−2.04***,−1.45,−14.70***,+15.49***,+17.17***,+15.07***,+15.34***,−18.50***,+123.52***
M4G fixed λ=28,M4G (dynamic),6,−1.67***,−1.82***,−1.00,−14.16***,+15.32***,+16.45***,+16.59***,+16.47***,−19.94***,+112.60***
M4G fixed λ=4.5,M4G (dynamic),10,−34.41**,−33.47**,−32.81**,−11.30*,−20.17,+14.12*,+3.22,+3.40,−32.08***,+3984.10**
M4G fixed λ=6,M4G (dynamic),10,−8.38*,−9.74**,−7.71*,−31.77***,+35.51***,+46.87***,+28.89***,+28.68***,−27.33***,+968.78*
M4G fixed λ=8,M4G (dynamic),10,−1.81***,−3.05***,−2.32**,−36.83***,+54.66***,+58.38***,+36.97***,+38.96***,−27.71***,+209.32***
M4G fixed λ=11,M4G (dynamic),10,−0.19,−1.17*,−1.24*,−39.39***,+62.88***,+64.93***,+38.52***,+42.68***,−21.47***,+21.27
M4G fixed λ=15,M4G (dynamic),10,−0.24,−1.32**,−1.41**,−39.56***,+63.05***,+65.35***,+40.86***,+44.48***,−21.70***,+27.88
M4G fixed λ=20,M4G (dynamic),10,−0.23,−1.33**,−1.62***,−38.54***,+60.00***,+62.61***,+41.01***,+45.06***,−19.11***,+26.83
M4G fixed λ=28,M4G (dynamic),10,−0.29**,−1.54**,−1.89**,−38.37***,+59.15***,+62.20***,+44.36***,+48.36***,−22.03***,+34.00**
