Policy,Bots,Time per decision (s),Total time (s),Decisions
M4G (dynamic),6,0.2184,210.3,962
M4G fixed λ=4.5,6,0.4434,291.6,654
M4G fixed λ=6,6,0.3802,302.6,797
M4G fixed λ=8,6,0.3210,259.0,795
M4G fixed λ=11,6,0.2588,229.4,889
M4G fixed λ=15,6,0.2174,189.1,870
M4G fixed λ=20,6,0.2062,179.5,870
M4G fixed λ=28,6,0.1981,168.6,852
M4G (dynamic),10,0.2850,262.2,918
M4G fixed λ=4.5,10,0.4291,263.3,611
M4G fixed λ=6,10,0.4068,310.4,756
M4G fixed λ=8,10,0.3559,270.5,762
M4G fixed λ=11,10,0.2587,195.2,754
M4G fixed λ=15,10,0.1606,118.4,737
M4G fixed λ=20,10,0.1492,104.6,702
M4G fixed λ=28,10,0.1349,93.6,693
