Policy,Bots,Items,Lines,Orders,Pile-on,Trips,Trips/order,m/line,EOR (kJ/order),Turnover (s),Station idle (%)
M4G (dynamic),6,6.8,15.6,12.1,0.176,2.5,0.0063,0.34,0.035,49.6,0.47
M4G fixed λ=4.5,6,379.6,244.9,161.5,0.299,37.9,0.0139,1.32,0.174,77.0,26.34
M4G fixed λ=6,6,130.0,87.1,54.2,0.216,14.8,0.0116,0.46,0.066,47.8,9.00
M4G fixed λ=8,6,311.6,206.0,133.4,0.292,34.0,0.0152,0.74,0.082,57.7,21.61
M4G fixed λ=11,6,11.9,20.0,17.1,0.142,3.0,0.0071,0.23,0.047,47.4,0.84
M4G fixed λ=15,6,10.9,15.8,15.0,0.099,3.0,0.0049,0.24,0.039,69.0,0.75
M4G fixed λ=20,6,9.8,13.7,14.2,0.099,2.9,0.0048,0.27,0.022,34.8,0.68
M4G fixed λ=28,6,10.0,12.1,11.5,0.117,3.2,0.0056,0.28,0.022,47.3,0.71
M4G (dynamic),10,2.3,16.5,11.1,0.152,3.4,0.0058,0.27,0.029,40.3,0.16
M4G fixed λ=4.5,10,412.7,273.0,180.8,0.553,47.5,0.0263,1.67,0.184,101.1,28.63
M4G fixed λ=6,10,127.2,83.1,55.4,0.193,17.2,0.0165,0.42,0.070,30.5,8.81
M4G fixed λ=8,10,17.6,17.2,12.9,0.121,5.2,0.0114,0.53,0.070,28.8,1.21
M4G fixed λ=11,10,3.3,11.6,9.7,0.075,3.9,0.0078,0.35,0.046,41.4,0.23
M4G fixed λ=15,10,4.8,11.6,11.8,0.035,4.4,0.0036,0.19,0.035,36.8,0.34
M4G fixed λ=20,10,3.7,12.7,11.9,0.045,4.8,0.0046,0.42,0.046,44.9,0.24
M4G fixed λ=28,10,4.9,11.5,11.5,0.068,5.1,0.0070,0.30,0.039,29.1,0.34
