Policy,Reference,Bots,Bound,Items,Lines,Orders,Pile-on,Trips,Trips/order,m/line,EOR (kJ/order),Turnover (s),Station idle (%)
M4G fixed λ=4.5,M4G (dynamic),6,CI low,−52.57,−52.08,−51.09,−17.74,−43.92,+9.80,+5.61,+5.36,−36.28,+956.88
M4G fixed λ=4.5,M4G (dynamic),6,CI high,−14.14,−13.83,−12.54,−8.62,+4.02,+21.18,+27.03,+25.69,−22.26,+3563.98
M4G fixed λ=6,M4G (dynamic),6,CI low,−17.48,−17.73,−16.38,−23.04,+3.76,+21.28,+12.71,+11.59,−32.65,+302.35
M4G fixed λ=6,M4G (dynamic),6,CI high,−4.44,−5.29,−3.35,−17.28,+22.60,+29.53,+21.24,+20.04,−20.45,+1183.42
M4G fixed λ=8,M4G (dynamic),6,CI low,−26.85,−27.07,−25.80,−24.20,−5.88,+20.63,+10.70,+10.60,−34.98,−329.49
M4G fixed λ=8,M4G (dynamic),6,CI high,+4.90,+5.05,+6.47,−16.68,+36.15,+31.51,+20.76,+19.62,−21.49,+1821.67
M4G fixed λ=11,M4G (dynamic),6,CI low,−2.72,−3.74,−2.89,−19.57,+17.66,+18.74,+12.72,+12.76,−27.30,+85.37
M4G fixed λ=11,M4G (dynamic),6,CI high,−1.24,−1.14,+0.11,−15.42,+21.34,+23.66,+18.73,+18.88,−17.56,+185.74
M4G fixed λ=15,M4G (dynamic),6,CI low,−2.53,−3.20,−3.19,−17.41,+14.77,+16.17,+13.71,+13.33,−24.28,+110.62
M4G fixed λ=15,M4G (dynamic),6,CI high,−1.63,−1.30,−0.25,−13.51,+17.64,+20.27,+17.30,+18.34,−11.95,+171.79
M4G fixed λ=20,M4G (dynamic),6,CI low,−2.20,−2.93,−3.05,−16.77,+13.30,+14.98,+13.79,+13.84,−23.30,+97.68
M4G fixed λ=20,M4G (dynamic),6,CI high,−1.44,−1.15,+0.14,−12.63,+17.68,+19.36,+16.36,+16.84,−13.71,+149.36
M4G fixed λ=28,M4G (dynamic),6,CI low,−2.19,−2.55,−2.11,−16.57,+13.37,+13.80,+15.14,+14.98,−22.50,+77.29
M4G fixed λ=28,M4G (dynamic),6,CI high,−1.15,−1.08,+0.11,−11.75,+17.26,+19.10,+18.03,+17.97,−17.38,+147.91
M4G fixed λ=4.5,M4G (dynamic),10,CI low,−55.08,−53.87,−53.82,−19.93,−49.62,+3.68,−8.83,−7.26,−41.39,+1590.44
M4G fixed λ=4.5,M4G (dynamic),10,CI high,−13.73,−13.07,−11.80,−2.67,+9.28,+24.56,+15.27,+14.06,−22.77,+6377.76
M4G fixed λ=6,M4G (dynamic),10,CI low,−14.71,−15.58,−14.17,−35.53,+25.53,+40.07,+25.50,+25.04,−33.05,+236.06
M4G fixed λ=6,M4G (dynamic),10,CI high,−2.05,−3.89,−1.24,−28.02,+45.49,+53.68,+32.29,+32.32,−21.61,+1701.50
M4G fixed λ=8,M4G (dynamic),10,CI low,−2.63,−3.97,−3.62,−39.75,+50.45,+53.30,+33.02,+35.04,−32.67,+113.07
M4G fixed λ=8,M4G (dynamic),10,CI high,−0.98,−2.13,−1.02,−33.91,+58.87,+63.46,+40.92,+42.88,−22.76,+305.57
M4G fixed λ=11,M4G (dynamic),10,CI low,−0.39,−2.10,−2.15,−41.58,+59.94,+61.66,+35.64,+39.77,−26.93,−0.69
M4G fixed λ=11,M4G (dynamic),10,CI high,+0.01,−0.23,−0.34,−37.19,+65.82,+68.21,+41.41,+45.60,−16.02,+43.22
M4G fixed λ=15,M4G (dynamic),10,CI low,−0.53,−2.14,−2.32,−41.81,+59.96,+62.65,+39.37,+42.67,−25.66,−4.92
M4G fixed λ=15,M4G (dynamic),10,CI high,+0.04,−0.50,−0.50,−37.31,+66.14,+68.05,+42.35,+46.29,−17.75,+60.68
M4G fixed λ=20,M4G (dynamic),10,CI low,−0.47,−2.04,−2.30,−40.74,+57.10,+59.93,+39.24,+42.87,−25.56,−0.01
M4G fixed λ=20,M4G (dynamic),10,CI high,+0.01,−0.63,−0.95,−36.35,+62.90,+65.29,+42.78,+47.24,−12.65,+53.67
M4G fixed λ=28,M4G (dynamic),10,CI low,−0.45,−2.56,−3.06,−40.68,+55.57,+58.88,+41.92,+46.13,−26.44,+14.20
M4G fixed λ=28,M4G (dynamic),10,CI high,−0.12,−0.53,−0.72,−36.06,+62.73,+65.51,+46.80,+50.58,−17.63,+53.79
