kind,from_id,to_id,pod_id,station_id,loaded,orientation_bucket,from_x,from_y,to_x,to_y,abs_dx,abs_dy,euclid,manhattan,same_tier,from_storage,to_storage,from_queue,to_queue,from_degree,to_degree,path_found,path_hops,path_distance,path_turns,path_segments,eta_sec
bot_to_pod,0,235,0,-1,0,0,22.5,6.5,8.5,11.5,14,5,14.866068747318506,19,1,0,1,1,0,1,4,1,27,27,3,4,25.708333333333336
bot_to_pod,0,235,0,-1,0,1.5707963267948966,22.5,6.5,8.5,11.5,14,5,14.866068747318506,19,1,0,1,1,0,1,4,1,27,27,3,4,26.333333333333336
bot_to_pod,0,235,0,-1,0,3.1415926535897931,22.5,6.5,8.5,11.5,14,5,14.866068747318506,19,1,0,1,1,0,1,4,1,27,27,3,4,26.958333333333336
bot_to_pod,0,235,0,-1,0,4.7123889803846897,22.5,6.5,8.5,11.5,14,5,14.866068747318506,19,1,0,1,1,0,1,4,1,27,27,3,4,26.333333333333336
bot_to_pod,0,262,1,-1,0,0,22.5,6.5,7.5,13.5,15,7,16.552945357246848,22,1,0,1,1,0,1,4,1,30,30,3,4,27.708333333333332
bot_to_pod,0,262,1,-1,0,1.5707963267948966,22.5,6.5,7.5,13.5,15,7,16.552945357246848,22,1,0,1,1,0,1,4,1,30,30,3,4,28.333333333333332
bot_to_pod,0,262,1,-1,0,3.1415926535897931,22.5,6.5,7.5,13.5,15,7,16.552945357246848,22,1,0,1,1,0,1,4,1,30,30,3,4,28.958333333333332
bot_to_pod,0,262,1,-1,0,4.7123889803846897,22.5,6.5,7.5,13.5,15,7,16.552945357246848,22,1,0,1,1,0,1,4,1,30,30,3,4,28.333333333333332
bot_to_pod,0,240,2,-1,0,0,22.5,6.5,13.5,11.5,9,5,10.295630140987001,14,1,0,1,1,0,1,4,1,22,22,3,4,22.375
bot_to_pod,0,240,2,-1,0,1.5707963267948966,22.5,6.5,13.5,11.5,9,5,10.295630140987001,14,1,0,1,1,0,1,4,1,22,22,3,4,23
bot_to_pod,0,240,2,-1,0,3.1415926535897931,22.5,6.5,13.5,11.5,9,5,10.295630140987001,14,1,0,1,1,0,1,4,1,22,22,3,4,23.625
bot_to_pod,0,240,2,-1,0,4.7123889803846897,22.5,6.5,13.5,11.5,9,5,10.295630140987001,14,1,0,1,1,0,1,4,1,22,22,3,4,23
bot_to_pod,0,196,3,-1,0,0,22.5,6.5,11.5,8.5,11,2,11.180339887498949,13,1,0,1,1,0,1,4,1,21,21,3,4,21.708333333333332
bot_to_pod,0,196,3,-1,0,1.5707963267948966,22.5,6.5,11.5,8.5,11,2,11.180339887498949,13,1,0,1,1,0,1,4,1,21,21,3,4,22.333333333333332
bot_to_pod,0,196,3,-1,0,3.1415926535897931,22.5,6.5,11.5,8.5,11,2,11.180339887498949,13,1,0,1,1,0,1,4,1,21,21,3,4,22.958333333333332
bot_to_pod,0,196,3,-1,0,4.7123889803846897,22.5,6.5,11.5,8.5,11,2,11.180339887498949,13,1,0,1,1,0,1,4,1,21,21,3,4,22.333333333333332
bot_to_pod,0,119,4,-1,0,0,22.5,6.5,18.5,2.5,4,4,5.6568542494923806,8,1,0,1,1,0,1,4,1,10,10,3,4,14.208333333333332
bot_to_pod,0,119,4,-1,0,1.5707963267948966,22.5,6.5,18.5,2.5,4,4,5.6568542494923806,8,1,0,1,1,0,1,4,1,10,10,3,4,14.833333333333332
bot_to_pod,0,119,4,-1,0,3.1415926535897931,22.5,6.5,18.5,2.5,4,4,5.6568542494923806,8,1,0,1,1,0,1,4,1,10,10,3,4,15.458333333333332
bot_to_pod,0,119,4,-1,0,4.7123889803846897,22.5,6.5,18.5,2.5,4,4,5.6568542494923806,8,1,0,1,1,0,1,4,1,10,10,3,4,14.833333333333332
bot_to_pod,0,197,5,-1,0,0,22.5,6.5,12.5,8.5,10,2,10.198039027185569,12,1,0,1,1,0,1,4,1,20,20,3,4,21.041666666666664
bot_to_pod,0,197,5,-1,0,1.5707963267948966,22.5,6.5,12.5,8.5,10,2,10.198039027185569,12,1,0,1,1,0,1,4,1,20,20,3,4,21.666666666666664
