kind,visit_id,leg_index,source_scope,bot_id,station_queue_wp_id,from_id,to_id,pod_id,station_id,loaded,orientation_bucket,from_x,from_y,to_x,to_y,abs_dx,abs_dy,euclid,manhattan,same_tier,from_storage,to_storage,from_queue,to_queue,from_degree,to_degree,path_found,path_hops,path_distance,path_turns,path_segments,eta_sec
bot_to_pod,5,1,initial_bots,0,24,217,240,2,1,0,0,18.5,9.5,13.5,11.5,5,2,5.3851648071345037,7,1,0,1,0,0,3,4,1,7,7,1,2,9.5367604580795238
pod_to_station_queue,5,2,initial_bots,0,24,240,24,2,1,1,-1,13.5,11.5,1.5,9.5,12,2,12.165525060596439,14,1,1,0,0,1,4,1,1,16,16,2,3,16.245093791412856
bot_to_pod,6,1,initial_bots,0,16,217,196,3,0,0,0,18.5,9.5,11.5,8.5,7,1,7.0710678118654755,8,1,0,1,0,0,3,4,1,8,8,1,2,10.041666666666666
pod_to_station_queue,6,2,initial_bots,0,16,196,16,3,0,1,-1,11.5,8.5,1.5,3.5,10,5,11.180339887498949,15,1,1,0,0,1,4,1,1,17,17,3,4,19.041666666666664
bot_to_pod,7,1,initial_bots,0,24,217,196,3,1,0,0,18.5,9.5,11.5,8.5,7,1,7.0710678118654755,8,1,0,1,0,0,3,4,1,8,8,1,2,10.041666666666666
pod_to_station_queue,7,2,initial_bots,0,24,196,24,3,1,1,-1,11.5,8.5,1.5,9.5,10,1,10.04987562112089,11,1,1,0,0,1,4,1,1,11,11,1,2,10.791666666666668
bot_to_pod,8,1,initial_bots,0,16,217,119,4,0,0,0,18.5,9.5,18.5,2.5,0,7,7,7,1,0,1,0,0,3,4,1,7,7,0,1,6.7916666666666661
pod_to_station_queue,8,2,initial_bots,0,16,119,16,4,0,1,-1,18.5,2.5,1.5,3.5,17,1,17.029386365926403,18,1,1,0,0,1,4,1,1,18,18,1,2,15.458333333333334
bot_to_pod,9,1,initial_bots,0,24,217,119,4,1,0,0,18.5,9.5,18.5,2.5,0,7,7,7,1,0,1,0,0,3,4,1,7,7,0,1,6.7916666666666661
pod_to_station_queue,9,2,initial_bots,0,24,119,24,4,1,1,-1,18.5,2.5,1.5,9.5,17,7,18.384776310850235,24,1,1,0,0,1,4,1,1,24,24,3,4,23.703427124746192
bot_to_pod,10,1,initial_bots,0,16,217,197,5,0,0,0,18.5,9.5,12.5,8.5,6,1,6.0827625302982193,7,1,0,1,0,0,3,4,1,7,7,1,2,9.375
pod_to_station_queue,10,2,initial_bots,0,16,197,16,5,0,1,-1,12.5,8.5,1.5,3.5,11,5,12.083045973594572,16,1,1,0,0,1,4,1,1,18,18,3,4,19.708333333333336
bot_to_pod,11,1,initial_bots,0,24,217,197,5,1,0,0,18.5,9.5,12.5,8.5,6,1,6.0827625302982193,7,1,0,1,0,0,3,4,1,7,7,1,2,9.375
pod_to_station_queue,11,2,initial_bots,0,24,197,24,5,1,1,-1,12.5,8.5,1.5,9.5,11,1,11.045361017187261,12,1,1,0,0,1,4,1,1,12,12,1,2,11.458333333333332
bot_to_pod,12,1,initial_bots,0,16,217,275,6,0,0,0,18.5,9.5,6.5,14.5,12,5,13,17,1,0,1,0,0,3,4,1,17,17,1,2,16.208333333333332
pod_to_station_queue,12,2,initial_bots,0,16,275,16,6,0,1,-1,6.5,14.5,1.5,3.5,5,11,12.083045973594572,16,1,1,0,0,1,4,1,1,18,18,3,4,19.541666666666668
bot_to_pod,13,1,initial_bots,0,24,217,275,6,1,0,0,18.5,9.5,6.5,14.5,12,5,13,17,1,0,1,0,0,3,4,1,17,17,1,2,16.208333333333332
pod_to_station_queue,13,2,initial_bots,0,24,275,24,6,1,1,-1,6.5,14.5,1.5,9.5,5,5,7.0710678118654755,10,1,1,0,0,1,4,1,1,12,12,3,4,15.541666666666668
bot_to_pod,14,1,initial_bots,0,16,217,178,7,0,0,0,18.5,9.5,7.5,7.5,11,2,11.180339887498949,13,1,0,1,0,0,3,4,1,13,13,1,2,13.536760458079522
pod_to_station_queue,14,2,initial_bots,0,16,178,16,7,0,1,-1,7.5,7.5,1.5,3.5,6,4,7.2111025509279782,10,1,1,0,0,1,4,1,1,20,20,5,6,25.286760458079524
bot_to_pod,15,1,initial_bots,0,24,217,178,7,1,0,0,18.5,9.5,7.5,7.5,11,2,11.180339887498949,13,1,0,1,0,0,3,4,1,13,13,1,2,13.536760458079522
pod_to_station_queue,15,2,initial_bots,0,24,178,24,7,1,1,-1,7.5,7.5,1.5,9.5,6,2,6.324555320336759,8,1,1,0,0,1,4,1,1,14,14,3,4,17.036760458079524
bot_to_pod,16,1,initial_bots,0,16,217,285,8,0,0,0,18.5,9.5,16.5,14.5,2,5,5.3851648071345037,7,1,0,1,0,0,3,4,1,7,7,1,2,9.5367604580795238
pod_to_station_queue,16,2,initial_bots,0,16,285,16,8,0,1,-1,16.5,14.5,1.5,3.5,15,11,18.601075237738275,26,1,1,0,0,1,4,1,1,28,28,3,4,26.208333333333332
bot_to_pod,17,1,initial_bots,0,24,217,285,8,1,0,0,18.5,9.5,16.5,14.5,2,5,5.3851648071345037,7,1,0,1,0,0,3,4,1,7,7,1,2,9.5367604580795238
pod_to_station_queue,17,2,initial_bots,0,24,285,24,8,1,1,-1,16.5,14.5,1.5,9.5,15,5,15.811388300841896,20,1,1,0,0,1,4,1,1,22,22,3,4,22.370093791412856
bot_to_pod,18,1,initial_bots,0,16,217,142,9,0,0,0,18.5,9.5,13.5,4.5,5,5,7.0710678118654755,10,1,0,1,0,0,3,4,1,10,10,1,2,11.541666666666666
pod_to_station_queue,18,2,initial_bots,0,16,142,16,9,0,1,-1,13.5,4.5,1.5,3.5,12,1,12.041594578792296,13,1,1,0,0,1,4,1,1,13,13,1,2,12.125
bot_to_pod,19,1,initial_bots,0,24,217,142,9,1,0,0,18.5,9.5,13.5,4.5,5,5,7.0710678118654755,10,1,0,1,0,0,3,4,1,10,10,1,2,11.541666666666666
pod_to_station_queue,19,2,initial_bots,0,24,142,24,9,1,1,-1,13.5,4.5,1.5,9.5,12,5,13,17,1,1,0,0,1,4,1,1,19,19,3,4,20.375
bot_to_pod,20,1,initial_bots,0,16,217,146,10,0,0,0,18.5,9.5,17.5,4.5,1,5,5.0990195135927845,6,1,0,1,0,0,3,4,1,6,6,1,2,8.7083333333333321
pod_to_station_queue,20,2,initial_bots,0,16,146,16,10,0,1,-1,17.5,4.5,1.5,3.5,16,1,16.031219541881399,17,1,1,0,0,1,4,1,1,17,17,1,2,14.791666666666666
bot_to_pod,21,1,initial_bots,0,24,217,146,10,1,0,0,18.5,9.5,17.5,4.5,1,5,5.0990195135927845,6,1,0,1,0,0,3,4,1,6,6,1,2,8.7083333333333321
pod_to_station_queue,21,2,initial_bots,0,24,146,24,10,1,1,-1,17.5,4.5,1.5,9.5,16,5,16.763054614240211,21,1,1,0,0,1,4,1,1,23,23,3,4,23.036760458079524
bot_to_pod,22,1,initial_bots,0,16,217,183,11,0,0,0,18.5,9.5,12.5,7.5,6,2,6.324555320336759,8,1,0,1,0,0,3,4,1,8,8,1,2,10.20342712474619
pod_to_station_queue,22,2,initial_bots,0,16,183,16,11,0,1,-1,12.5,7.5,1.5,3.5,11,4,11.704699910719626,15,1,1,0,0,1,4,1,1,19,19,3,4,20.370093791412856
bot_to_pod,23,1,initial_bots,0,24,217,183,11,1,0,0,18.5,9.5,12.5,7.5,6,2,6.324555320336759,8,1,0,1,0,0,3,4,1,8,8,1,2,10.20342712474619
pod_to_station_queue,23,2,initial_bots,0,24,183,24,11,1,1,-1,12.5,7.5,1.5,9.5,11,2,11.180339887498949,13,1,1,0,0,1,4,1,1,25,25,5,6,28.615187582825712
bot_to_pod,24,1,initial_bots,0,16,217,221,12,0,0,0,18.5,9.5,8.5,10.5,10,1,10.04987562112089,11,1,0,1,0,0,3,4,1,11,11,1,2,12.041666666666668
pod_to_station_queue,24,2,initial_bots,0,16,221,16,12,0,1,-1,8.5,10.5,1.5,3.5,7,7,9.8994949366116654,14,1,1,0,0,1,4,1,1,14,14,3,4,16.875
bot_to_pod,25,1,initial_bots,0,24,217,221,12,1,0,0,18.5,9.5,8.5,10.5,10,1,10.04987562112089,11,1,0,1,0,0,3,4,1,11,11,1,2,12.041666666666668
pod_to_station_queue,25,2,initial_bots,0,24,221,24,12,1,1,-1,8.5,10.5,1.5,9.5,7,1,7.0710678118654755,8,1,1,0,0,1,4,1,1,8,8,1,2,8.7916666666666661
bot_to_pod,26,1,initial_bots,0,16,217,184,13,0,0,0,18.5,9.5,13.5,7.5,5,2,5.3851648071345037,7,1,0,1,0,0,3,4,1,7,7,1,2,9.5367604580795238
pod_to_station_queue,26,2,initial_bots,0,16,184,16,13,0,1,-1,13.5,7.5,1.5,3.5,12,4,12.649110640673518,16,1,1,0,0,1,4,1,1,18,18,2,3,17.583333333333336
bot_to_pod,27,1,initial_bots,0,24,217,184,13,1,0,0,18.5,9.5,13.5,7.5,5,2,5.3851648071345037,7,1,0,1,0,0,3,4,1,7,7,1,2,9.5367604580795238
