#TimeStamp;PodsHandledAtIStations;PodsHandledAtOStations;ActiveIStations;ActiveOStations;IStationIdleTimes;OStationIdleTimes;IStationActiveTimes;OStationActiveTimes;IStationRequests;OStationRequests;IStationBundleBacklog;OStationItemBacklog;IStationAssignedBots;OStationAssignedBots;IStationPodsHandled;OStationPodsHandled;IStationBundlesStored;OStationItemsPicked
1079.96;13;16;2;2;0/1030.09,1/890.53;0/36.04,1/39.2;0/1079.96,1/1079.96;0/1079.96,1/1079.96;0/0,1/0;0/0,1/2;0/0,1/0;0/7,1/10;0/3,1/2;0/5,1/5;0/3,1/10;0/8,1/8;0/5,1/19;0/105,1/105
1139.96;13;17;2;2;0/1090.09,1/950.53;0/36.22,1/39.33;0/1139.96,1/1139.96;0/1139.96,1/1139.96;0/0,1/0;0/0,1/0;0/0,1/0;0/7,1/10;0/3,1/2;0/5,1/5;0/3,1/10;0/9,1/8;0/5,1/19;0/111,1/111
1199.96;13;18;2;2;0/1150.09,1/1010.53;0/36.4,1/39.47;0/1199.96,1/1199.96;0/1199.96,1/1199.96;0/0,1/0;0/0,1/0;0/0,1/0;0/7,1/8;0/3,1/2;0/5,1/5;0/3,1/10;0/9,1/9;0/5,1/19;0/117,1/117
1259.96;15;19;2;2;0/1200.13,1/1050.62;0/36.58,1/39.64;0/1259.96,1/1259.96;0/1259.96,1/1259.96;0/0,1/6;0/0,1/0;0/4,1/8;0/8,1/9;0/3,1/2;0/5,1/5;0/4,1/11;0/10,1/9;0/6,1/21;0/123,1/123
1319.96;19;21;2;2;0/1220.31,1/1073.73;0/36.76,1/39.82;0/1319.96,1/1319.96;0/1319.96,1/1319.96;0/0,1/3;0/0,1/0;0/0,1/4;0/8,1/13;0/3,1/2;0/5,1/5;0/6,1/13;0/11,1/10;0/10,1/25;0/129,1/129
1379.96;21;21;2;2;0/1280.31,1/1114.67;0/36.93,1/39.96;0/1379.96,1/1379.96;0/1379.96,1/1379.96;0/0,1/1;0/0,1/0;0/0,1/2;0/10,1/16;0/3,1/2;0/5,1/5;0/6,1/15;0/11,1/10;0/10,1/27;0/135,1/135
1439.96;23;22;2;2;0/1340.31,1/1158.49;0/37.02,1/39.96;0/1439.96,1/1439.96;0/1439.96,1/1439.96;0/0,1/0;0/0,1/2;0/0,1/0;0/7,1/13;0/3,1/2;0/5,1/5;0/6,1/17;0/11,1/11;0/10,1/29;0/141,1/140
1499.96;23;23;2;2;0/1400.31,1/1210.98;0/37.2,1/40.04;0/1499.96,1/1499.96;0/1499.96,1/1499.96;0/0,1/0;0/0,1/0;0/0,1/0;0/10,1/10;0/3,1/2;0/5,1/5;0/6,1/17;0/12,1/11;0/10,1/29;0/147,1/146
1559.96;23;24;2;2;0/1460.31,1/1270.98;0/37.33,1/40.22;0/1559.96,1/1559.96;0/1559.96,1/1559.96;0/0,1/0;0/0,1/0;0/0,1/0;0/9,1/12;0/3,1/2;0/5,1/5;0/6,1/17;0/13,1/11;0/10,1/29;0/153,1/152
1619.96;23;25;2;2;0/1520.31,1/1330.98;0/37.51,1/40.31;0/1619.96,1/1619.96;0/1619.96,1/1619.96;0/0,1/0;0/0,1/0;0/0,1/0;0/11,1/11;0/3,1/2;0/5,1/5;0/6,1/17;0/13,1/12;0/10,1/29;0/159,1/158
1679.96;23;26;2;2;0/1580.31,1/1390.98;0/37.64,1/40.44;0/1679.96,1/1679.96;0/1679.96,1/1679.96;0/0,1/0;0/0,1/0;0/0,1/0;0/11,1/10;0/3,1/2;0/5,1/5;0/6,1/17;0/14,1/12;0/10,1/29;0/165,1/164
1739.96;23;28;2;2;0/1640.31,1/1450.98;0/37.78,1/40.58;0/1739.96,1/1739.96;0/1739.96,1/1739.96;0/0,1/0;0/2,1/0;0/0,1/0;0/13,1/9;0/3,1/2;0/5,1/5;0/6,1/17;0/15,1/13;0/10,1/29;0/171,1/170
1799.96;23;28;2;2;0/1700.31,1/1510.98;0/37.91,1/40.76;0/1799.96,1/1799.96;0/1799.96,1/1799.96;0/0,1/0;0/0,1/0;0/0,1/0;0/12,1/9;0/3,1/2;0/5,1/5;0/6,1/17;0/15,1/13;0/10,1/29;0/177,1/176
1859.96;23;29;2;2;0/1760.31,1/1570.98;0/38,1/40.89;0/1859.96,1/1859.96;0/1859.96,1/1859.96;0/0,1/0;0/0,1/0;0/0,1/0;0/6,1/4;0/3,1/2;0/5,1/5;0/6,1/17;0/15,1/14;0/10,1/29;0/183,1/182
1919.96;23;31;2;2;0/1820.31,1/1630.98;0/38.13,1/49.96;0/1919.96,1/1919.96;0/1919.96,1/1919.96;0/0,1/0;0/0,1/0;0/0,1/0;0/3,1/7;0/3,1/2;0/5,1/5;0/6,1/17;0/16,1/15;0/10,1/29;0/189,1/187
1979.96;23;32;2;2;0/1880.31,1/1690.98;0/38.31,1/60.58;0/1979.96,1/1979.96;0/1979.96,1/1979.96;0/0,1/0;0/0,1/0;0/0,1/0;0/4,1/5;0/3,1/2;0/5,1/5;0/6,1/17;0/16,1/16;0/10,1/29;0/195,1/192
2039.96;23;32;2;2;0/1940.31,1/1750.98;0/38.53,1/60.76;0/2039.96,1/2039.96;0/2039.96,1/2039.96;0/0,1/0;0/0,1/0;0/0,1/0;0/2,1/7;0/3,1/2;0/5,1/5;0/6,1/17;0/16,1/16;0/10,1/29;0/201,1/198
2099.96;23;34;2;2;0/2000.31,1/1810.98;0/51.56,1/61.16;0/2099.96,1/2099.96;0/2099.96,1/2099.96;0/0,1/0;0/0,1/0;0/0,1/0;0/9,1/8;0/3,1/2;0/5,1/5;0/6,1/17;0/18,1/16;0/10,1/29;0/205,1/204
2159.96;23;34;2;2;0/2060.31,1/1870.98;0/51.96,1/61.51;0/2159.96,1/2159.96;0/2159.96,1/2159.96;0/0,1/0;0/0,1/0;0/0,1/0;0/6,1/5;0/3,1/2;0/5,1/5;0/6,1/17;0/18,1/16;0/10,1/29;0/211,1/210
2219.96;23;36;2;2;0/2120.31,1/1930.98;0/52.4,1/62;0/2219.96,1/2219.96;0/2219.96,1/2219.96;0/0,1/0;0/0,1/0;0/0,1/0;0/7,1/8;0/3,1/2;0/5,1/5;0/6,1/17;0/19,1/17;0/10,1/29;0/217,1/216
2279.96;23;37;2;2;0/2180.31,1/1990.98;0/52.8,1/62.44;0/2279.96,1/2279.96;0/2279.96,1/2279.96;0/6,1/13;0/0,1/0;0/13,1/18;0/6,1/8;0/3,1/2;0/5,1/5;0/6,1/17;0/19,1/18;0/10,1/29;0/223,1/222
2340;27;38;2;2;0/2190.36,1/2011.11;0/53.29,1/62.84;0/2340,1/2340;0/2340,1/2340;0/6,1/13;0/0,1/0;0/9,1/14;0/6,1/8;0/3,1/2;0/5,1/5;0/8,1/19;0/20,1/18;0/15,1/33;0/229,1/228
2400;31;39;2;2;0/2213.16,1/2041.02;0/53.73,1/63.24;0/2400,1/2400;0/2400,1/2400;0/3,1/9;0/0,1/0;0/5,1/11;0/7,1/12;0/3,1/2;0/5,1/5;0/11,1/20;0/20,1/19;0/19,1/36;0/235,1/234
2460;36;40;2;2;0/2243.87,1/2079.29;0/54.22,1/63.6;0/2460,1/2460;0/2460,1/2460;0/1,1/8;0/0,1/0;0/2,1/9;0/8,1/10;0/3,1/2;0/5,1/5;0/14,1/22;0/21,1/19;0/22,1/39;0/241,1/240
