decision,time,pendingOrders,stationsWithCap,podsInModel,dispatched,children,fastPath,units,decisionSec
0,0,100,2,87,2,0,12,22,0.0815414
1,52.2222222222221,100,1,84,0,0,1,1,0.0010001
2,55.4666666666665,100,1,84,0,0,1,1,0.0019984
3,62.3111111111109,100,1,85,0,0,1,1,0.0010076
4,75.5111111111127,100,1,86,0,0,1,2,0
5,82.3555555555582,100,1,86,1,0,1,1,0.0029737
6,95.5555555555603,94,1,87,1,0,1,3,0.0020036
7,112.400000000007,100,1,87,0,0,1,2,0.0009956
8,115.600000000008,95,1,87,0,0,1,1,0.0010002
9,122.444444444453,100,1,87,0,0,1,3,0.000999
10,125.644444444454,96,1,87,0,0,1,2,0.001023
11,142.488888888901,100,1,87,0,0,1,1,0.0010009
12,145.688888888901,97,1,87,0,0,1,5,0.0009941
13,152.533333333347,100,1,87,0,0,1,2,0.0009941
14,155.733333333347,98,1,87,0,0,1,1,0.0009668
15,162.577777777793,100,1,86,0,0,1,1,0.0009719
16,172.622222222239,100,1,87,0,0,1,1,0.0009994
17,175.777777777795,100,1,88,0,0,1,2,0.0010301
18,192.666666666687,100,1,87,1,0,1,1,0.0020119
19,222.711111111136,100,1,89,0,0,1,2,0.0009992
20,232.755555555582,100,1,90,0,0,1,1,0.0010007
21,245.82222222225,99,1,90,0,0,1,1,0.0020018
22,252.800000000029,100,1,90,0,0,1,1,0.001
23,255.866666666696,99,1,89,0,0,1,1,0.0010004
24,262.888888888915,100,1,90,0,0,1,1,0.0009986
25,272.977777777799,100,1,89,0,0,1,1,0
26,276.00000000002,99,1,90,0,0,1,2,0.0010097
27,283.066666666683,100,1,90,0,0,1,1,0.0009998
28,286.088888888904,100,1,90,1,0,1,2,0.001992
29,296.177777777788,100,1,90,0,0,1,1,0.0010297
30,303.200000000007,100,1,89,0,0,1,2,0.0010035
31,313.288888888891,100,1,89,1,0,1,2,0.0020301
32,316.311111111112,100,1,89,0,0,1,1,0.0010312
33,323.377777777775,100,1,89,0,0,1,1,0.0010002
34,326.399999999996,100,1,89,0,0,1,1,0.0009994
35,333.466666666659,100,1,89,0,0,1,2,0.0010009
36,336.48888888888,100,1,89,0,0,1,2,0.001
37,343.555555555543,100,1,90,0,0,1,2,0
38,353.644444444427,100,1,90,0,0,1,3,0
39,356.622222222203,100,1,90,0,0,1,1,0.0009994
40,373.777777777751,100,1,91,0,0,1,1,0
41,376.755555555527,100,1,90,0,0,1,1,0.0009698
42,386.844444444411,100,1,90,0,0,1,1,0
43,396.933333333295,100,1,90,1,0,1,1,0.0030022
44,403.955555555514,100,1,89,0,0,1,1,0.0010278
45,407.022222222179,100,1,91,0,0,1,1,0.001
46,414.044444444398,100,1,90,0,0,1,1,0.0010002
47,424.133333333282,100,1,90,1,0,1,3,0.0020296
48,427.155555555503,100,1,90,0,0,1,2,0
49,437.244444444387,100,1,91,0,0,1,2,0
50,444.266666666605,100,1,91,0,0,1,2,0
51,447.333333333271,100,1,91,0,0,1,1,0.0010304
52,457.422222222155,100,1,91,0,0,1,1,0
53,464.399999999929,100,1,91,0,0,1,2,0.0009727
54,477.555555555478,100,1,91,0,0,1,1,0.002
55,484.533333333253,100,1,92,0,0,1,4,0.0010002
56,487.644444444362,100,1,91,1,0,1,2,0.002
57,494.622222222137,99,1,91,0,0,1,2,0.0010049
58,504.711111111021,99,1,91,0,0,1,1,0.0010296
59,507.777777777686,100,1,91,0,0,1,2,0.0010057
60,517.822222222133,100,1,91,0,0,1,2,0.0009999
61,527.866666666585,100,1,92,0,0,1,1,0
62,534.799999999924,100,1,91,0,0,1,2,0
63,537.911111111038,100,1,92,0,0,1,4,0
64,547.95555555549,100,1,92,0,1,0,2,0.0059698
65,554.844444444385,100,1,91,1,0,1,1,0.0020003
66,574.888888888845,100,1,91,0,0,1,2,0.001
67,587.999999999967,100,1,90,1,0,1,2,0.0020011
68,608.044444444427,100,1,91,0,0,1,1,0.0010002
69,614.933333333321,100,1,91,0,0,1,2,0.0010299
70,628.088888888887,100,1,92,0,0,1,5,0
71,634.977777777782,100,1,92,0,0,1,1,0.0010045
72,645.022222222234,100,1,92,0,1,0,3,0.0010001
73,648.133333333348,100,1,91,0,0,1,1,0.0009997
74,658.1777777778,100,1,92,0,1,0,3,0.0009984
75,665.066666666695,100,1,92,0,1,0,2,0.0010018
76,678.222222222261,100,1,92,0,1,0,2,0
77,695.111111111163,100,1,91,1,1,0,1,0.0030045
78,698.266666666721,100,1,91,1,0,1,2,0.0019973
79,705.155555555615,100,1,91,0,0,1,1,0
80,708.311111111173,100,1,91,0,0,1,2,0.0009982
81,715.200000000068,100,1,91,0,0,1,3,0.0009998
82,735.244444444528,100,1,91,0,0,1,2,0
83,745.288888888981,100,1,91,0,0,1,2,0
84,758.355555555658,100,1,91,0,1,0,2,0.0009996
85,768.40000000011,100,1,91,0,0,1,2,0.0009996
86,775.333333333449,100,1,90,1,0,1,4,0.0019997
87,785.377777777901,100,1,91,0,1,0,2,0.0009968
88,795.422222222354,100,1,91,0,0,1,1,0.0010001
89,798.444444444578,100,1,91,0,0,1,1,0.001031
90,818.488888889039,100,1,91,0,0,1,2,0
91,825.466666666822,100,1,91,0,1,0,3,0
92,845.511111111283,100,1,91,0,1,0,3,0.0009681
93,848.533333333507,100,1,90,1,0,1,3,0.0029684
94,865.555555555743,100,1,90,0,1,0,2,0.0010006
95,868.577777777968,100,1,90,0,0,1,2,0
96,888.622222222428,100,1,91,0,0,1,2,0.0009999
97,898.66666666688,100,1,91,0,0,1,2,0.0009999
98,905.600000000219,100,1,90,1,0,1,1,0.0020024
99,908.711111111333,100,1,90,0,0,1,1,0
100,928.755555555793,100,1,90,0,1,0,2,0.0009999
101,945.644444444696,100,1,90,0,0,1,1,0.0009999
102,948.800000000254,100,1,90,0,1,0,1,0
103,965.688888889156,100,1,90,0,0,1,2,0.0009974
104,968.844444444714,100,1,90,0,1,0,1,0.0009838
105,975.733333333608,100,1,90,0,0,1,1,0
106,978.888888889167,100,1,89,1,0,1,1,0.0020295
107,985.777777778061,98,1,89,0,1,0,3,0.0009998
108,1008.93333333363,100,1,89,0,0,1,2,0.0010286
109,1015.82222222253,98,1,88,1,1,0,1,0.0019847
110,1025.86666666698,98,1,88,0,1,0,1,0.0009973
111,1028.9777777781,100,1,89,0,0,1,1,0.0010023
112,1035.91111111143,99,1,89,0,0,1,1,0.0019954
113,1049.02222222256,100,1,89,0,0,1,2,0.0010035
114,1055.95555555589,100,1,89,0,0,1,2,0.0009831
115,1059.06666666701,100,1,89,0,0,1,2,0
116,1066.00000000035,100,1,89,0,0,1,1,0
117,1069.11111111146,100,1,88,0,0,1,2,0.0009999
118,1079.15555555591,100,1,89,1,0,1,2,0.0019986
119,1096.04444444482,98,1,89,0,0,1,2,0.0010006
120,1099.20000000037,100,1,89,0,0,1,4,0.0010019
121,1109.24444444483,100,1,89,0,0,1,1,0.0010338
122,1116.08888888928,99,1,88,0,0,1,1,0.0010083
123,1126.13333333373,99,1,88,1,0,1,2,0.0019955
124,1129.28888888929,100,1,88,0,0,1,1,0.0010017
125,1136.17777777818,99,1,89,0,1,0,1,0.0010012
126,1146.22222222263,99,1,88,0,0,1,3,0.0019688
127,1149.33333333375,100,1,88,0,0,1,1,0
128,1156.26666666709,99,1,89,0,0,1,1,0.0009999
129,1169.37777777821,100,1,88,0,0,1,1,0.0009926
130,1176.31111111155,100,1,89,0,0,1,1,0.0009987
131,1186.355555556,100,1,90,0,0,1,1,0.0009975
132,1189.42222222267,100,1,89,0,0,1,2,0.0009981
133,1226.40000000047,100,1,87,0,0,1,1,0.0010005
134,1229.46666666714,100,1,87,1,0,1,1,0.0030002
135,1236.44444444493,100,1,86,1,0,1,1,0.004
136,1239.5111111116,100,1,86,0,0,1,2,0.0020055
137,1246.48888888938,100,1,86,0,0,1,3,0.0019992
138,1249.55555555605,100,1,87,0,1,0,2,0.0009994
139,1256.53333333383,100,1,87,0,0,1,2,0.0009996
140,1259.6000000005,100,1,87,0,0,1,2,0.0009984
141,1266.57777777828,100,1,88,0,0,1,1,0.0009995
142,1269.64444444495,100,1,88,0,0,1,2,0.0019987
143,1276.62222222274,100,1,88,0,0,1,1,0.0010003
144,1286.66666666719,100,1,89,0,1,0,3,0.0039938
145,1289.68888888941,100,1,88,1,0,1,1,0.0060002
146,1299.73333333387,100,1,90,0,0,1,1,0.0015105
147,1316.71111111166,100,1,90,1,0,1,1,0.0070008
148,1319.77777777833,99,1,91,0,0,1,6,0.0009992
149,1326.75555555611,100,1,91,0,0,1,2,0.0010003
150,1339.82222222279,99,1,92,0,0,1,3,0.0020028
151,1346.80000000057,100,1,91,0,0,1,2,0.001004
152,1356.84444444502,100,1,91,0,1,0,1,0.0009997
153,1359.86666666725,100,1,92,0,0,1,1,0.0010003
154,1366.88888888948,100,1,91,0,0,1,3,0.0009994
155,1379.91111111171,100,1,91,0,0,1,5,0.0019998
156,1396.93333333394,100,1,91,0,0,1,1,0.0009973
157,1436.97777777842,100,1,93,0,0,1,2,0.001001
158,1439.9555555562,100,1,93,1,0,1,2,0.0029983
159,1447.02222222287,100,1,93,0,0,1,3,0.0009984
160,1450.00000000065,100,1,93,0,0,1,3,0.0009962
161,1467.06666666733,100,1,94,1,0,1,2,0.0030001
162,1477.11111111179,100,1,94,0,0,1,2,0.0020033
163,1497.15555555625,100,1,94,0,0,1,2,0.0010018
164,1507.2000000007,100,1,94,0,0,1,1,0.002001
165,1510.04444444514,100,1,94,0,0,1,1,0.0020001
166,1517.24444444515,100,1,94,0,0,1,3,0
167,1520.0888888896,100,1,94,0,1,0,3,0.0010004
168,1530.13333333405,100,1,94,0,1,0,2,0.0009976
169,1547.28888888962,100,1,93,1,1,0,1,0.0030031
170,1550.17777777851,99,1,93,0,1,0,2,0.0010007
171,1567.33333333408,100,1,94,0,0,1,1,0.0010015
172,1587.37777777854,100,1,94,0,0,1,2,0.0010004
173,1590.22222222299,100,1,93,1,0,1,1,0.0019998
174,1607.422222223,100,1,94,0,0,1,2,0.0010001
175,1610.26666666745,100,1,94,0,0,1,4,0
176,1617.46666666745,100,1,94,0,1,0,3,0.0020012
177,1620.3111111119,100,1,94,0,1,0,2,0.0010012
178,1630.35555555635,100,1,94,0,0,1,1,0.0010006
179,1647.51111111192,100,1,93,1,0,1,2,0.0019904
180,1657.55555555637,100,1,93,0,0,1,2,0.0010006
181,1660.40000000082,99,1,94,0,0,1,2,0.0009921
182,1667.60000000083,100,1,94,0,0,1,2,0.0019904
183,1680.44444444528,100,1,94,0,0,1,1,0.0009963
184,1687.64444444529,100,1,94,0,0,1,2,0.0009999
185,1707.68888888975,100,1,94,0,1,0,3,0.001
186,1710.48888888975,100,1,93,1,0,1,2,0.0020002
187,1720.5333333342,100,1,94,0,0,1,2,0.0009995
188,1737.73333333421,100,1,93,1,1,0,3,0.0020002
189,1740.57777777866,100,1,93,0,0,1,1,0.0009958
190,1757.77777777868,100,1,93,0,0,1,2,0.0009993
191,1760.62222222312,100,1,93,0,0,1,2,0.0009777
192,1770.66666666757,100,1,93,0,0,1,1,0.0009939
193,1777.82222222314,100,1,93,0,0,1,2,0
194,1790.71111111203,100,1,93,0,1,0,2,0.0010227
195,1797.8666666676,100,1,93,0,0,1,1,0
196,1800.75555555649,11,1,93,0,0,0,0,0.0009996
197,1817.91111111206,9,2,94,0,0,0,0,0
198,1820.80000000095,9,2,94,1,0,1,1,0.0009957
199,1820.84444444539,8,2,94,0,0,0,0,0
200,1840.84444444541,8,2,95,0,0,0,0,0.0009979
201,1847.95555555652,8,2,95,0,0,0,0,0
202,1860.88888888987,8,2,95,0,0,0,0,0.0010001
203,1880.93333333433,8,2,95,1,0,1,1,0.0010011
204,1880.97777777877,7,2,95,0,0,0,0,0
205,1888.000000001,7,2,94,0,0,0,0,0.001
206,1890.97777777878,100,2,94,1,4,3,10,0.0069981
207,1898.04444444545,7,1,92,0,0,0,0,0
208,1901.02222222323,6,2,94,0,0,0,0,0
209,1911.06666666769,6,2,94,0,0,0,0,0.0010301
210,1918.08888888991,6,2,95,0,0,0,0,0.0010304
211,1928.13333333437,6,2,95,0,0,0,0,0.0010033
212,1938.17777777882,100,2,95,0,4,2,9,0.0010046
213,1948.22222222327,8,1,94,0,0,0,0,0
214,1950.48888888994,7,2,95,1,1,0,1,0.0009998
215,1950.53333333438,7,1,93,0,0,0,0,0
216,1968.26666666773,7,1,93,0,0,0,0,0.0009967
217,1970.5333333344,5,2,95,0,0,0,0,0.0010006
218,1988.31111111219,5,2,95,0,0,0,0,0.0009996
219,1990.57777777886,100,2,95,0,4,1,7,0.0010193
220,2000.62222222331,5,1,93,0,0,0,0,0
221,2008.35555555665,5,2,95,0,0,0,0,0.0009999
222,2010.66666666777,5,2,95,0,0,0,0,0.0010004
223,2018.4000000011,5,2,95,0,0,0,0,0.0009987
224,2020.71111111222,100,2,95,0,1,3,5,0.0010006
225,2020.75555555666,7,1,93,0,0,0,0,0.0009992
226,2028.44444444556,7,1,93,0,0,0,0,0.0010166
227,2038.48888889001,7,1,93,0,0,0,0,0.0012262
228,2048.53333333446,7,1,92,1,0,1,3,0.0009993
229,2048.5777777789,6,1,93,0,0,0,0,0
230,2050.80000000112,100,2,95,0,2,2,6,0.0009989
231,2058.6222222233,6,1,93,0,0,0,0,0.0010302
232,2060.88888888996,4,2,95,0,0,0,0,0
233,2068.71111111215,4,2,94,0,0,0,0,0.0010002
234,2070.97777777881,100,2,94,0,4,0,9,0.0009974
235,2091.11111111205,4,1,94,0,0,0,0,0
236,2111.6444444453,4,2,95,1,1,0,2,0.0009999
237,2111.68888888974,3,1,93,0,0,0,0,0
238,2121.2888888897,3,1,93,0,0,0,0,0.000999
239,2121.73333333414,100,2,95,0,3,0,4,0.0010103
240,2151.46666666735,3,1,93,0,0,0,0,0.0010289
241,2151.91111111179,3,2,95,0,0,0,0,0
242,2162.00000000064,100,2,95,0,1,2,5,0.0009998
243,2171.60000000059,3,1,93,0,0,0,0,0
244,2172.08888888948,3,2,95,0,0,0,0,0
245,2181.68888888944,100,2,94,1,2,1,4,0.0029994
246,2191.77777777828,3,1,92,0,0,0,0,0
247,2192.22222222273,3,2,93,1,1,0,1,0.0009913
248,2201.86666666713,3,1,92,0,0,0,0,0
249,2211.95555555598,100,1,93,0,2,1,6,0.0009974
250,2212.35555555597,4,1,93,0,0,0,0,0.0009981
251,2222.04444444482,3,2,95,0,0,0,0,0
252,2222.44444444482,100,2,95,0,1,2,5,0
253,2242.57777777807,4,1,93,0,0,0,0,0.000997
254,2252.22222222247,4,2,95,1,1,0,1,0.0020316
255,2252.26666666691,3,1,93,0,0,0,0,0
256,2262.31111111131,3,2,92,0,0,0,0,0
257,2262.71111111131,100,2,92,0,0,3,5,0.0010014
258,2272.40000000016,3,1,90,0,0,0,0,0.001
259,2282.13333333345,3,1,90,0,0,0,0,0.0009706
260,2282.488888889,3,1,90,0,0,0,0,0
261,2282.84444444456,100,2,92,0,1,2,6,0.001
262,2292.9333333334,3,1,89,1,1,0,1,0
263,2303.02222222225,3,1,90,0,0,0,0,0.0010295
264,2305.77777777779,3,1,90,0,0,0,0,0
265,2306.57777777779,3,1,90,0,0,0,0,0.0010007
266,2312.66666666665,3,2,92,0,0,0,0,0.0009972
267,2313.11111111109,100,2,92,0,3,0,5,0.0009995
268,2322.7555555555,3,1,90,0,0,0,0,0.001002
269,2326.66666666659,3,1,90,0,0,0,0,0.0010008
270,2330.0888888888,3,1,90,0,0,0,0,0
271,2333.24444444434,3,2,92,0,0,0,0,0.000997
272,2340.1333333332,3,2,93,0,0,0,0,0
273,2340.9333333332,4,2,92,0,0,0,0,0
274,2343.33333333319,4,2,92,0,0,0,0,0.0010064
275,2350.9777777776,4,2,92,1,1,0,1,0.0010122
