Ident;X;Y;Transfers;InjectedTransfers;PodsHandled;PodHandlingTimeAvg;PodHandlingTimeVar;PodHandlingTimeMin;PodHandlingTimeMax;PileOn;IdleTime;UpTime
InputStation0;13.50;0.50;133;0;100;13.3680076471712;36.6295142059961;10.0444444444443;40.3354617641427;1.33;5885.61181828483;7200
InputStation1;23.50;0.50;74;0;57;12.9548096260406;28.1376953933264;10.0444444444443;30.3672222222222;1.29824561403509;6468.446508139;7200
InputStation2;33.50;0.50;90;0;65;13.8308866669601;58.2142741480453;10.0444444444443;50.1416666666667;1.38461538461538;6309.52956757443;7200
InputStation3;43.50;0.50;87;0;62;14.0317137989749;50.6054062749592;10.0444444444443;40.1777777777779;1.40322580645161;6340.37562085877;7200
InputStation4;53.50;0.50;89;0;63;14.1158371716369;34.1293233715531;10.0444444444443;30.3478715691908;1.41269841269841;6320.13492778726;7200
InputStation5;63.50;0.50;95;0;63;15.0775019935336;55.3124198714686;10.0444444444443;40.4022222222222;1.50793650793651;6261.54204845831;7200
OutputStation0;81.50;11.50;242;115;41;59.0361281838171;1467.70091632252;10.0444444444443;141.91166666667;5.90243902439024;4808.84403331413;7200
OutputStation1;81.50;17.50;217;86;51;41.6849125775126;1223.95429574588;10.0444444444443;171.56046204759;4.25490196078431;5056.29466799195;7200
OutputStation2;81.50;23.50;260;125;42;61.7906794119521;1692.09083966341;10.0444444444447;130.567222222223;6.19047619047619;4630.85165171401;7200
OutputStation3;81.50;29.50;213;88;48;43.2162269957976;1458.07144926937;10.0444444444443;141.282777777778;4.4375;5098.05301542766;7200
OutputStation4;81.50;35.50;224;90;45;48.0607370517614;1215.55720851873;10.0444444444443;151.013333333342;4.97777777777778;4987.7626908961;7200
OutputStation5;81.50;41.50;291;161;44;65.0925411611819;2241.84565597386;10.0444444444447;191.761479083848;6.61363636363636;4327.64178317065;7200
OutputStation6;0.50;14.50;230;120;41;55.2902224368954;1893.72143771786;10.0444444444443;151.605093791404;5.60975609756098;4925.41518010649;7200
OutputStation7;0.50;20.50;205;82;50;41.0760001381873;1099.12760413296;10.0444444444443;111.368982680302;4.1;5179.41024512599;7200
OutputStation8;0.50;26.50;229;107;46;49.7414539787228;1856.33021474674;10.0444444444443;151.706111111112;4.97826086956522;4937.7729072504;7200
OutputStation9;0.50;32.50;167;48;50;33.421182104868;621.009625826951;10.0444444444443;90.7885281090639;3.34;5547.4315291507;7200
OutputStation10;0.50;38.50;203;83;49;41.1439670680438;1096.23119166701;10.0444444444443;120.375555555557;4.14285714285714;5194.56092381191;7200
OutputStation11;0.50;44.50;484;313;80;61.2417399879353;1218.03258476475;10.0444444444447;160.997316013626;6.05;2433.36248201783;7200
