decision,time,pendingOrders,stationsWithCap,podsInModel,dispatched,children,fastPath,units,decisionSec
98,898.66666666688,107,1,90,0,0,1,1,0
99,905.644444444664,106,1,89,1,0,1,2,0.0029997
100,908.711111111333,106,1,89,0,0,1,2,0
101,928.755555555793,106,1,90,0,0,1,2,0.0009727
102,938.800000000246,106,1,89,0,0,1,2,0.001027
103,945.68888888914,107,1,90,0,1,0,1,0.0009977
104,948.844444444698,105,1,90,1,0,1,1,0.002005
105,965.733333333601,106,1,90,0,0,1,4,0.0009705
106,968.888888889159,105,1,90,0,0,1,1,0.0010002
107,978.933333333611,105,1,90,0,0,1,1,0.0010303
108,985.777777778061,106,1,90,0,0,1,1,0.001
109,998.977777778071,105,1,90,0,0,1,2,0.0009934
110,1015.82222222253,106,1,90,0,0,1,1,0.0010014
111,1019.02222222253,105,1,89,0,0,1,2,0.0010067
112,1025.86666666698,106,1,88,0,0,1,1,0.0010036
113,1039.06666666699,106,1,89,0,0,1,1,0.0009995
114,1045.91111111144,106,1,88,1,0,1,1,0.002997
115,1055.95555555589,106,1,89,0,0,1,3,0.0020009
116,1059.11111111145,105,1,88,1,0,1,5,0.001997
117,1069.15555555591,105,1,89,0,0,1,1,0.0010004
118,1079.20000000036,105,1,89,0,0,1,2,0.0009976
119,1089.24444444481,105,1,89,0,0,1,2,0.0020012
120,1096.00000000037,106,1,89,0,0,1,1,0.0009983
121,1106.04444444482,106,1,89,0,0,1,1,0.0010021
122,1109.28888888927,105,1,89,0,0,1,1,0.0010009
123,1116.08888888928,106,1,89,0,0,1,2,0.0009994
124,1119.33333333372,105,1,90,0,0,1,1,0.0010014
125,1126.13333333373,106,1,91,0,0,1,2,0.0020018
126,1146.17777777819,106,1,91,0,0,1,3,0.0010004
127,1166.22222222265,106,1,90,1,0,1,1,0.0020017
128,1169.37777777821,106,1,89,1,1,0,2,0.0050003
129,1176.2666666671,105,1,90,0,0,1,2,0.0009991
130,1189.42222222267,105,1,91,0,0,1,1,0.0020033
131,1196.31111111156,105,1,91,0,0,1,2,0.0010007
132,1199.46666666712,105,1,91,0,0,1,3,0.0010021
133,1206.35555555601,105,1,88,0,0,1,2,0.00201
134,1209.51111111157,105,1,88,0,0,1,1,0.0029993
135,1226.40000000047,105,1,88,0,0,1,1,0.0010008
136,1229.55555555603,105,1,88,0,0,1,4,0.0020013
137,1239.60000000049,105,1,89,0,0,1,1,0.0019975
138,1256.44444444494,105,1,90,0,1,0,3,0.0020011
139,1286.48888888941,106,1,93,1,0,1,1,0.0050431
140,1296.53333333386,106,1,94,0,0,1,2,0.0009991
141,1299.64444444498,106,1,93,0,0,1,2,0.0010049
142,1309.68888888943,106,1,93,1,0,1,5,0.0030014
143,1316.57777777832,106,1,94,0,0,1,2,0.002997
144,1319.73333333388,106,1,94,0,0,1,1,0.0009976
145,1326.62222222278,106,1,94,0,0,1,3,0.0010018
146,1329.77777777833,106,1,94,0,0,1,6,0.0009992
147,1336.66666666723,106,1,94,0,0,1,1,0.0019978
148,1349.8222222228,106,1,94,0,0,1,2,0.0009983
149,1359.86666666725,106,1,94,0,1,0,2,0.0010012
150,1366.7111111117,107,1,94,0,0,1,2,0.0009999
151,1379.91111111171,107,1,94,0,0,1,3,0.0010021
152,1396.75555555617,107,1,94,0,0,1,2,0.0009995
153,1406.80000000062,107,1,95,0,0,1,1,0.001003
154,1426.84444444508,107,1,96,0,1,0,3,0.001998
155,1429.95555555619,108,1,95,1,0,1,3,0.0030982
156,1436.88888888953,108,1,94,1,0,1,3,0.0029996
157,1440.00000000064,108,1,94,0,0,1,1,0.0030049
158,1446.93333333398,108,1,95,0,0,1,2,0.0010014
159,1466.97777777844,108,1,96,0,0,1,1,0.0010013
160,1487.0222222229,108,1,96,0,0,1,2,0.0010008
161,1500.04444444514,108,1,96,0,0,1,2,0.000997
162,1507.06666666736,108,1,96,0,0,1,2,0.0019981
163,1520.0888888896,108,1,96,0,0,1,1,0.0009999
164,1537.11111111183,108,1,96,0,0,1,2,0.0010008
165,1540.13333333406,108,1,96,0,0,1,2,0.0009996
166,1557.15555555629,108,1,96,0,1,0,3,0.0010022
167,1570.17777777853,109,1,96,0,0,1,1,0.0009976
168,1597.20000000077,109,1,96,1,0,1,2,0.0019954
169,1607.24444444522,109,1,97,0,1,0,1,0.0009999
170,1610.222222223,108,1,96,1,1,0,3,0.0030008
171,1620.26666666745,107,1,96,0,0,1,1,0.0009998
172,1627.28888888968,107,1,96,0,0,1,2,0.0010023
173,1630.31111111191,107,1,96,0,0,1,3,0.0010296
174,1640.35555555636,107,1,96,0,1,0,2,0.0009996
175,1647.33333333414,106,1,96,0,0,1,1,0.0010026
176,1657.3777777786,106,1,96,0,1,0,1,0.0010003
177,1660.40000000082,107,1,96,0,0,1,3,0
178,1670.44444444527,107,1,96,0,1,0,3,0.0009698
179,1687.42222222306,108,1,95,1,1,0,2,0.0019994
180,1707.46666666752,107,1,95,0,0,1,1,0.0010006
181,1717.51111111198,107,1,95,0,0,1,2,0
182,1737.55555555644,107,1,96,0,0,1,2,0.001
183,1747.60000000089,107,1,96,0,1,0,2,0.0009965
184,1750.48888888978,108,1,95,1,0,1,3,0.0020002
185,1757.64444444534,108,1,95,0,1,0,2,0.0019997
186,1760.53333333423,109,1,95,0,0,1,2,0.0010004
187,1780.57777777869,109,1,96,0,0,1,1,0.0010001
188,1787.68888888981,109,1,95,1,1,0,1,0.002037
189,1797.73333333426,108,1,95,0,1,0,2,0.0010327
190,1800.62222222315,9,1,95,0,0,0,0,0.0009944
191,1807.77777777872,7,2,97,0,0,0,0,0
192,1810.66666666761,7,2,97,0,0,0,0,0.0015355
193,1820.71111111206,8,2,96,1,0,1,1,0.0009996
194,1820.7555555565,7,2,96,0,0,0,0,0.0010002
195,1827.82222222318,7,2,97,0,0,0,0,0.0010022
196,1847.86666666764,7,2,97,0,0,0,0,0
197,1850.75555555653,7,2,97,0,0,0,0,0
198,1867.9111111121,107,2,97,0,3,4,10,0.0040027
199,1870.80000000099,8,1,95,0,0,0,0,0
200,1880.84444444544,8,1,95,0,0,0,0,0
201,1887.95555555656,7,2,96,1,0,1,1,0.0009995
202,1888.000000001,7,1,94,0,0,0,0,0.0009997
203,1898.00000000101,6,2,97,0,0,0,0,0.0009953
204,1908.04444444546,6,2,97,0,0,0,0,0
205,1910.88888888991,6,2,97,0,0,0,0,0
206,1918.08888888991,7,2,96,0,0,0,0,0.0009997
207,1920.93333333436,108,2,96,1,5,2,11,0.0029672
208,1928.13333333437,8,1,95,0,0,0,0,0.001001
209,1930.97777777881,8,2,97,0,0,0,0,0.0009999
210,1941.02222222327,8,2,96,0,0,0,0,0.0009691
211,1948.17777777883,8,2,96,0,0,0,0,0
212,1958.22222222328,8,2,96,0,0,0,0,0.0009971
213,1978.26666666774,8,2,97,1,0,1,3,0.0010024
214,1978.31111111218,7,2,97,0,0,0,0,0
215,1981.95555555663,7,2,96,0,0,0,0,0.0010072
216,1988.31111111219,109,2,96,1,2,5,13,0.0020002
217,1992.00000000108,7,1,94,0,0,0,0,0
218,1998.35555555664,7,2,95,0,0,0,0,0.0013498
219,2022.04444444555,7,2,97,0,0,0,0,0.0009983
220,2032.08888889,7,2,97,0,0,0,0,0.0010002
221,2042.13333333446,7,2,96,2,3,0,4,0.0010006
222,2042.1777777789,5,1,94,0,0,0,0,0.0009694
223,2046.84444444557,4,2,96,0,0,0,0,0
224,2056.93333333442,108,2,97,0,0,4,8,0.0009999
225,2067.02222222327,4,1,95,0,0,0,0,0
226,2072.31111111213,4,2,97,0,0,0,0,0.0010008
227,2097.20000000092,4,2,96,0,0,0,0,0
228,2102.48888888978,108,2,96,1,0,4,10,0.0019997
229,2112.57777777863,4,1,94,0,0,0,0,0.0010022
230,2122.66666666747,4,1,95,0,0,0,0,0.0009743
231,2127.37777777856,108,2,97,0,1,2,5,0.0019711
232,2132.75555555632,4,1,95,0,0,0,0,0
233,2152.88888888956,4,1,95,0,0,0,0,0.0010305
234,2167.60000000061,109,2,96,1,2,1,5,0.0030016
235,2187.73333333386,2,1,95,0,0,0,0,0.001536
236,2203.15555555601,111,2,96,1,1,1,3,0.0030013
237,2207.8666666671,2,1,94,0,0,0,0,0.001
238,2217.95555555595,110,1,95,0,0,2,4,0.0009988
239,2223.28888888926,4,1,95,0,0,0,0,0
240,2228.04444444479,110,2,97,0,0,2,3,0.0019999
241,2238.13333333364,2,1,95,0,0,0,0,0
242,2248.22222222249,3,1,94,1,1,0,1,0.0009712
243,2248.26666666693,3,1,94,0,0,0,0,0
244,2253.46666666691,3,2,97,0,0,0,0,0.0009993
245,2258.31111111133,111,2,93,0,1,2,5,0.0010304
246,2273.60000000015,4,1,91,0,0,0,0,0
247,2278.44444444458,3,2,93,0,0,0,0,0.001032
248,2283.688888889,110,2,93,0,1,2,3,0.0019902
249,2303.82222222225,5,1,91,0,0,0,0,0.0010016
250,2308.62222222222,4,2,92,0,0,0,0,0
251,2310.93333333333,4,2,92,0,0,0,0,0.0009988
252,2311.46666666666,4,2,92,0,0,0,0,0
253,2313.91111111109,4,2,92,1,2,0,3,0.0009972
254,2313.95555555553,3,1,90,0,0,0,0,0
255,2318.71111111107,3,1,91,0,0,0,0,0
256,2321.51111111106,3,1,91,0,0,0,0,0.0009994
257,2323.99999999994,110,2,94,0,2,1,6,0.0010001
258,2338.84444444432,3,1,90,0,0,0,0,0
259,2344.13333333318,110,2,92,0,1,1,3,0.0009645
260,2364.26666666643,4,1,90,0,0,0,0,0
261,2374.35555555527,4,1,90,1,1,0,1,0.0010305
262,2379.06666666636,109,2,91,0,2,0,3,0
263,2389.15555555521,3,1,90,1,1,0,1,0
264,2394.48888888852,4,1,90,0,0,0,0,0
265,2399.24444444406,3,2,92,0,0,0,0,0.0010113
266,2402.04444444404,3,2,92,0,0,0,0,0.0009988
267,2404.57777777737,109,2,92,0,1,2,5,0.0009989
268,2409.3333333329,3,1,90,0,0,0,0,0
269,2414.66666666621,3,2,92,0,0,0,0,0
270,2416.13333333287,3,2,92,0,0,0,0,0
271,2419.42222222175,110,2,92,0,3,0,6,0.0020291
272,2429.51111111059,4,1,90,0,0,0,0,0
273,2432.9333333328,4,1,89,0,0,0,0,0.001
274,2434.79999999946,4,2,91,0,0,0,0,0.0010002
275,2439.59999999944,4,2,92,1,1,0,1,0.0019731
276,2449.68888888828,112,2,92,0,1,2,5,0.001
277,2459.77777777713,3,1,90,0,0,0,0,0.001
278,2464.9777777771,3,2,92,0,0,0,0,0
279,2479.91111111037,113,2,92,0,0,3,5,0.0019953
280,2485.11111111035,3,1,90,0,0,0,0,0.0015349
281,2491.42222222143,3,1,90,0,0,0,0,0
282,2496.48888888808,3,1,90,0,0,0,0,0
283,2500.04444444362,3,2,90,1,1,0,1,0
284,2500.08888888806,3,1,88,0,0,0,0,0.0010018
285,2505.2444444436,3,1,89,1,1,0,3,0.0009996
286,2506.31111111026,2,1,89,0,0,0,0,0
287,2506.53333333248,2,1,89,0,0,0,0,0.0010003
288,2510.13333333247,113,2,91,0,0,2,4,0
289,2515.33333333244,2,1,90,0,0,0,0,0.0010202
290,2516.35555555466,2,1,90,0,0,0,0,0.0009765
291,2520.22222222131,113,2,91,0,0,2,3,0.0009965
292,2535.46666666569,2,1,90,0,0,0,0,0.0010023
293,2540.35555555456,113,2,92,0,0,2,3,0.0019857
294,2545.55555555453,2,1,90,0,0,0,0,0.0009991
295,2555.64444444338,3,1,90,0,0,0,0,0
296,2560.4888888878,3,1,89,0,0,0,0,0.0009973
297,2570.5333333322,113,2,92,1,2,1,5,0.0040018
298,2580.62222222105,3,1,90,0,0,0,0,0.0010024
299,2584.93333333214,3,1,90,0,0,0,0,0.0009997
300,2595.86666666543,3,2,92,0,0,0,0,0.0009673
301,2600.7555555543,113,2,92,0,2,1,5,0.0010001
302,2610.84444444314,3,1,89,0,0,0,0,0
303,2615.99999999867,3,2,91,0,0,0,0,0
304,2618.533333332,3,2,91,0,0,0,0,0.001
305,2626.08888888752,115,2,90,0,0,2,4,0.0020009
306,2626.13333333196,3,1,88,0,0,0,0,0.0009988
307,2630.97777777639,3,1,88,1,1,0,1,0.0010019
308,2631.02222222083,3,1,89,0,0,0,0,0.0005048
309,2636.17777777637,3,2,91,0,0,0,0,0.0030025
310,2641.06666666523,116,2,91,0,0,3,5,0.0009993
311,2646.26666666521,3,1,90,0,0,0,0,0.0009996
312,2648.44444444298,3,1,90,0,0,0,0,0
313,2661.19999999848,3,2,91,0,0,0,0,0.0009992
314,2669.59999999844,3,2,91,1,1,0,2,0.0009999
315,2676.44444444286,115,2,92,0,0,1,2,0.0009998
316,2676.4888888873,2,1,90,0,0,0,0,0
317,2684.75555555393,2,1,90,0,0,0,0,0
318,2686.5333333317,115,2,92,0,0,1,2,0.0009972
319,2686.57777777615,2,1,90,0,0,0,0,0.0009982
320,2691.37777777613,115,1,90,0,0,0,0,0.0009992
321,2696.62222222055,115,2,93,0,1,0,5,0.0010008
322,2696.66666666499,116,1,91,0,0,0,0,0.0020008
323,2711.51111110937,116,1,90,1,1,2,7,0.0030339
324,2716.75555555379,115,1,91,0,1,0,3,0.0009995
325,2721.59999999822,2,1,90,0,0,0,0,0.0010002
326,2726.84444444264,116,2,92,0,2,0,3,0.0009995
327,2741.73333333146,2,1,90,0,0,0,0,0.0009997
328,2744.62222222034,2,1,90,0,0,0,0,0.0019991
329,2746.97777777589,116,2,92,0,1,1,4,0.0010088
330,2751.82222222031,2,1,89,0,0,0,0,0
331,2782.31111110907,116,1,90,1,0,2,7,0.0030006
332,2787.19999999793,116,1,90,0,0,1,1,0.0009991
333,2797.28888888678,116,1,90,0,1,0,2,0.0020001
334,2812.48888888671,2,1,91,0,0,0,0,0
335,2827.46666666443,116,2,93,0,2,0,3,0.0010005
336,2832.62222221996,2,1,91,0,0,0,0,0.0010014
337,2837.55555555327,116,2,93,0,1,1,3,0.0009995
338,2852.75555555321,2,1,92,0,0,0,0,0.0010008
339,2857.68888888652,118,2,94,0,1,1,3,0.0019996
340,2862.84444444205,2,1,92,0,0,0,0,0
341,2867.77777777536,119,2,94,0,2,0,4,0.0019994
342,2877.86666666421,121,1,91,1,0,1,1,0.0020011
343,2893.0222222197,2,1,90,1,1,0,1,0.0010014
344,2897.99999999746,122,1,91,0,1,0,2,0.0020027
345,2918.1333333307,2,1,91,0,0,0,0,0
346,2929.11111110843,2,1,91,0,0,0,0,0
347,2933.24444444175,121,2,93,0,0,2,4,0.0010011
348,2953.37777777499,2,1,91,0,0,0,0,0.0009971
349,2958.35555555275,121,2,94,0,2,0,3,0.0019968
350,2968.4444444416,2,1,92,0,0,0,0,0
351,2973.51111110824,119,2,93,0,0,2,3,0.0010006
352,2978.53333333044,2,1,91,1,1,0,1,0.0010007
353,2988.62222221929,118,1,91,0,0,1,2,0.0010024
354,2993.64444444149,2,1,91,0,0,0,0,0.0009982
355,3008.75555555253,118,2,93,0,2,0,3,0.0010014
356,3023.82222221913,2,1,91,0,0,0,0,0
357,3028.88888888578,118,2,92,0,1,1,6,0.0019984
358,3038.97777777462,119,1,92,0,1,0,2,0.0010007
359,3043.95555555238,2,1,91,0,0,0,0,0
360,3049.06666666347,118,2,93,1,1,1,2,0.0050024
361,3054.04444444123,117,1,91,0,1,0,2,0.0009983
362,3069.19999999672,113,1,92,0,0,1,2,0.002001
363,3074.17777777447,116,1,92,0,1,0,1,0.0010008
364,3094.31111110772,115,1,92,0,0,1,1,0.0019996
365,3099.37777777436,2,1,93,0,0,0,0,0.0009997
366,3104.39999999656,115,2,95,1,1,1,3,0.0060003
367,3119.51111110761,2,1,93,0,0,0,0,0.0010012
368,3124.53333332981,114,2,94,0,0,2,5,0.0010008
369,3134.62222221866,114,1,92,1,1,0,1,0.0030014
370,3139.64444444086,2,1,93,0,0,0,0,0.0009981
371,3154.7555555519,113,2,95,0,0,2,5,0.0020024
372,3159.7777777741,2,1,93,0,0,0,0,0.0009979
373,3164.84444444075,113,2,95,0,0,2,2,0.0040017
374,3169.86666666295,2,1,93,0,0,0,0,0.0015074
375,3174.93333332959,113,2,95,0,1,1,4,0.0020031
376,3189.99999999619,2,1,93,0,0,0,0,0.0019979
377,3195.06666666284,114,2,95,0,2,0,6,0.0049993
378,3215.19999999609,116,1,93,0,1,0,3,0.0029999
379,3260.35555555145,2,1,92,1,1,0,1,0.0010003
