parent,units,children,firstChildDone,lastChildDone,consolidated,consolidationWait,placed,submitted
153,4,2,785.377777777901,798.444444444578,798.444444444578,13.0666666666771,386.844444444411,658.1777777778
48,5,2,775.333333333449,888.622222222428,888.622222222428,113.288888888979,0,645.022222222234
208,2,2,1025.86666666698,1055.95555555589,1055.95555555589,30.0888888889128,825.466666666822,885.600000000203
136,4,2,695.111111111163,1299.64444444498,1299.64444444498,604.533333333814,272.977777777799,665.066666666695
149,4,2,1366.7111111117,1717.51111111198,1717.51111111198,350.800000000279,353.644444444427,1256.44444444494
251,6,2,1687.42222222306,1750.48888888978,1750.48888888978,63.0666666667169,1196.31111111156,1557.15555555629
176,3,2,1757.64444444534,1787.68888888981,1787.68888888981,30.0444444444684,547.95555555549,1657.3777777786
264,5,2,1537.11111111183,1800.62222222315,1800.62222222315,263.511111111321,1316.57777777832,1426.84444444508
64,3,2,905.644444444664,1898.00000000101,1898.00000000101,992.355555556345,0,865.555555555743
71,5,2,1015.82222222253,1908.04444444546,1908.04444444546,892.222222222932,0,825.466666666822
280,4,2,1887.95555555656,1910.88888888991,1910.88888888991,22.9333333333516,1440.00000000064,1867.9111111121
100,3,2,1958.22222222328,1981.95555555663,1981.95555555663,23.7333333333522,0,1920.93333333436
39,3,2,587.999999999967,1992.00000000108,1992.00000000108,1404.00000000112,0,547.95555555549
230,3,2,1867.9111111121,2067.02222222327,2067.02222222327,199.111111111172,1015.82222222253,1757.64444444534
96,2,2,1988.31111111219,2112.57777777863,2112.57777777863,124.266666666435,0,1920.93333333436
67,3,2,2122.66666666747,2187.73333333386,2187.73333333386,65.0666666663856,0,2042.13333333446
255,3,2,2167.60000000061,2323.99999999994,2323.99999999994,156.399999999324,1226.40000000047,2127.37777777856
32,3,2,2389.15555555521,2394.48888888852,2394.48888888852,5.33333333331029,0,2248.22222222249
308,3,2,2203.15555555601,2399.24444444406,2399.24444444406,196.088888888042,1737.55555555644,2167.60000000061
257,3,2,1948.17777777883,2414.66666666621,2414.66666666621,466.488888887384,1239.60000000049,1867.9111111121
111,5,4,885.600000000203,2510.13333333247,2510.13333333247,1624.53333333226,0,845.511111111283
25,2,2,2404.57777777737,2515.33333333244,2515.33333333244,110.755555555077,0,2313.91111111109
291,3,2,2439.59999999944,2535.46666666569,2535.46666666569,95.8666666662525,1570.17777777853,2379.06666666636
82,4,2,2595.86666666543,2641.06666666523,2641.06666666523,45.1999999998047,0,2500.04444444362
49,3,2,2303.82222222225,2676.44444444286,2676.44444444286,372.622222220612,0,2167.60000000061
159,5,2,2711.51111110937,2812.48888888671,2812.48888888671,100.977777777342,427.155555555503,2600.7555555543
426,3,2,2797.28888888678,2852.75555555321,2852.75555555321,55.466666666427,2570.5333333322,2726.84444444264
152,3,2,2721.59999999822,2897.99999999746,2897.99999999746,176.399999999238,376.755555555527,2630.97777777639
239,3,2,2867.77777777536,2953.37777777499,2953.37777777499,85.5999999996302,1089.24444444481,2827.46666666443
279,6,3,2505.2444444436,3008.75555555253,3008.75555555253,503.511111108936,1436.88888888953,2449.68888888828
427,4,2,2827.46666666443,3038.97777777462,3038.97777777462,211.511111110197,2570.5333333322,2746.97777777589
368,4,2,2485.11111111035,3074.17777777447,3074.17777777447,589.066666664122,2167.60000000061,2419.42222222175
75,2,2,3043.95555555238,3099.37777777436,3099.37777777436,55.4222222219828,0,2893.0222222197
249,3,2,3069.19999999672,3104.39999999656,3104.39999999656,35.1999999998479,1176.2666666671,3008.75555555253
246,3,2,2479.91111111037,3134.62222221866,3134.62222221866,654.711111108283,1146.17777777819,2419.42222222175
10,5,2,2464.9777777771,3154.7555555519,3154.7555555519,689.777777774798,0,2404.57777777737
419,5,2,3023.82222221913,3159.7777777741,3159.7777777741,135.955555554968,2510.13333333247,2867.77777777536
26,4,2,1820.71111111206,3164.84444444075,3164.84444444075,1344.13333332869,0,1670.44444444527
16,3,2,3124.53333332981,3270.44444444029,3270.44444444029,145.911111110481,0,3028.88888888578
370,2,2,2978.53333333044,3275.55555555138,3275.55555555138,297.022222220939,2203.15555555601,2867.77777777536
179,2,2,3371.15555555097,3376.3111111065,3376.3111111065,5.15555555553328,587.999999999967,3260.35555555145
7,2,2,2877.86666666421,3381.24444443981,3381.24444443981,503.377777775603,0,2837.55555555327
144,5,2,2500.04444444362,3456.93333332837,3456.93333332837,956.888888884755,323.377777777775,2419.42222222175
42,2,2,2968.4444444416,3461.82222221724,3461.82222221724,493.377777775646,0,2857.68888888652
437,5,2,3441.64444443955,3497.19999999487,3497.19999999487,55.5555555553156,2641.06666666523,3320.84444444007
134,5,2,3265.46666666254,3527.42222221696,3527.42222221696,261.955555554424,255.866666666696,3215.19999999609
243,6,2,1540.13333333406,3592.71111110557,3592.71111110557,2052.57777777151,1116.08888888928,1359.86666666725
274,4,2,2127.37777777856,3597.99999999443,3597.99999999443,1470.62222221587,1396.75555555617,1988.31111111219
282,4,2,2787.19999999793,3602.79999999441,3602.79999999441,815.599999996477,1466.97777777844,2716.75555555379
306,6,2,2958.35555555275,3608.08888888328,3608.08888888328,649.733333330526,1707.46666666752,2696.62222222055
489,2,2,3366.22222221766,3718.84444443835,3718.84444443835,352.622222220699,3028.88888888578,3315.86666666232
439,6,2,3335.99999999556,3749.06666666045,3749.06666666045,413.066666664882,2641.06666666523,3195.06666666284
106,3,2,3965.28888888173,4010.7555555482,4010.7555555482,45.4666666664702,0,3869.86666665992
495,5,2,3320.84444444007,4035.73333332587,4035.73333332587,714.8888888858,3069.19999999672,3174.93333332959
567,4,2,3995.46666665938,4086.13333332566,4086.13333332566,90.666666666275,3577.82222221674,3894.75555554871
167,4,2,4121.37777777021,4281.77777777116,4281.77777777116,160.400000000948,487.644444444362,3990.62222221496
336,3,2,3708.75555554951,4341.99999999373,4341.99999999373,633.244444444225,1920.93333333436,3668.53333332746
275,4,2,2630.97777777639,4507.15555555027,4507.15555555027,1876.17777777388,1406.80000000062,2600.7555555543
545,4,2,4532.39999999486,4552.44444443942,4552.44444443942,20.0444444445629,3411.4666666619,4382.13333332731
337,3,2,3356.13333332881,4562.48888888393,4562.48888888393,1206.35555555512,1920.93333333436,3275.55555555138
362,5,2,4512.3555555503,4582.53333332849,4582.53333332849,70.1777777781926,2127.37777777856,4362.08888888274
458,6,2,3693.3777777718,4597.37777777302,4597.37777777302,904.000000001224,2787.19999999793,3542.44444443912
15,5,2,4467.06666666114,4632.66666666212,4632.66666666212,165.600000000979,0,4406.9777777719
572,4,2,4487.1111111057,4752.88888888505,4752.88888888505,265.777777779349,3608.08888888328,4467.06666666114
634,3,2,4567.3333333284,4762.93333332956,4762.93333332956,195.600000001156,4106.26666665901,4437.02222221652
