Policy,Bots,Seed,Order batching time per decision (s),Order batching time total (s),Decisions
HGS-M5,45,0,0.0617,310.2,5026
HGS-M5,45,1,0.0623,316.2,5074
HGS-M5,45,2,0.0626,313.5,5006
HGS-M5,45,3,0.0627,318.8,5088
HGS-M5,45,4,0.0622,310.3,4990
HGS-M5,45,5,0.0613,316.8,5165
HGS-M5,45,6,0.0549,276.8,5040
HGS-M5,45,7,0.0550,277.9,5054
HGS-M5,45,8,0.0548,276.3,5044
HGS-M5,45,9,0.0545,273.2,5013
HGS-M5-λ,45,0,0.0495,264.1,5332
HGS-M5-λ,45,1,0.0816,474.8,5819
HGS-M5-λ,45,2,0.0639,354.0,5536
HGS-M5-λ,45,3,0.0830,431.7,5202
HGS-M5-λ,45,4,0.0573,337.9,5900
HGS-M5-λ,45,5,0.0581,305.6,5257
HGS-M5-λ,45,6,0.0608,317.5,5223
HGS-M5-λ,45,7,0.0520,271.7,5229
HGS-M5-λ,45,8,0.0801,478.0,5965
HGS-M5-λ,45,9,0.0687,357.5,5204
HADGS,45,0,0.3197,2474.7,7741
HADGS,45,1,0.2715,2006.2,7388
HADGS,45,2,0.2345,1736.8,7405
HADGS,45,3,0.2037,1508.7,7406
HADGS,45,4,0.2363,1741.9,7372
HADGS,45,5,0.1883,1476.1,7838
HADGS,45,6,0.1858,1382.4,7442
HADGS,45,7,0.1585,1194.8,7536
HADGS,45,8,0.1549,1137.1,7342
HADGS,45,9,0.1568,1162.0,7410
