Policy,Bots,Items,Lines,Orders,Pile-on,Trips,Trips/order,m/line,EOR (kJ/order),Turnover (s),Station idle (%)
HADGS,45,114.1,96.6,73.7,0.063,11.0,0.0118,0.95,0.198,3.8,1.32
HGS-M5,45,17.5,35.9,42.4,0.129,9.4,0.0022,0.29,0.066,15.1,0.21
