Comparison,Items,Lines,Orders,Pile-on,Trips,Trips/order,m/line,EOR (kJ/order),Turnover (s),Station idle (%)
CI low,+29.96,+30.21,+19.91,+229.85,−64.64,−72.29,−52.35,−55.42,+118.39,−89.19
CI high,+32.41,+33.05,+22.89,+240.45,−62.90,−68.06,−48.59,−51.51,+129.45,−82.41
