#TimeStamp;PodsHandledAtIStations;PodsHandledAtOStations;ActiveIStations;ActiveOStations;IStationIdleTimes;OStationIdleTimes;IStationActiveTimes;OStationActiveTimes;IStationRequests;OStationRequests;IStationBundleBacklog;OStationItemBacklog;IStationAssignedBots;OStationAssignedBots;IStationPodsHandled;OStationPodsHandled;IStationBundlesStored;OStationItemsPicked
0;0;0;2;2;0/0,1/0;0/0,1/0;0/0,1/0;0/0,1/0;0/0,1/0;0/0,1/0;0/0,1/0;0/0,1/0;0/3,1/2;0/5,1/5;0/0,1/0;0/0,1/0;0/0,1/0;0/0,1/0
60;0;0;2;2;0/60,1/60;0/32.71,1/29.02;0/60,1/60;0/60,1/60;0/0,1/0;0/0,1/0;0/0,1/0;0/20,1/14;0/3,1/2;0/5,1/5;0/0,1/0;0/0,1/0;0/0,1/0;0/3,1/4
119.96;0;2;2;2;0/119.96,1/107.02;0/32.76,1/29.07;0/119.96,1/119.96;0/119.96,1/119.96;0/0,1/0;0/0,1/0;0/0,1/2;0/14,1/12;0/3,1/2;0/5,1/5;0/0,1/0;0/1,1/1;0/0,1/2;0/9,1/10
179.96;1;5;2;2;0/179.96,1/137.73;0/32.8,1/29.11;0/179.96,1/179.96;0/179.96,1/179.96;0/0,1/0;0/0,1/0;0/0,1/1;0/12,1/8;0/3,1/2;0/5,1/5;0/0,1/1;0/3,1/2;0/0,1/5;0/15,1/16
239.96;1;6;2;2;0/239.96,1/180.22;0/32.89,1/29.24;0/239.96,1/239.96;0/239.96,1/239.96;0/0,1/0;0/0,1/0;0/0,1/0;0/13,1/12;0/3,1/2;0/5,1/5;0/0,1/1;0/3,1/3;0/0,1/6;0/21,1/22
299.96;1;8;2;2;0/299.96,1/240.22;0/33.2,1/29.6;0/299.96,1/299.96;0/299.96,1/299.96;0/0,1/0;0/0,1/2;0/3,1/0;0/13,1/15;0/3,1/2;0/5,1/5;0/0,1/1;0/4,1/4;0/0,1/6;0/27,1/28
360;1;10;2;2;0/330,1/300.27;0/33.51,1/29.96;0/360,1/360;0/360,1/360;0/0,1/1;0/0,1/4;0/0,1/1;0/11,1/16;0/3,1/2;0/5,1/5;0/0,1/1;0/5,1/5;0/3,1/6;0/33,1/34
420;1;14;2;2;0/390,1/360.27;0/33.91,1/30.27;0/420,1/420;0/420,1/420;0/0,1/2;0/3,1/0;0/0,1/2;0/12,1/15;0/3,1/2;0/5,1/5;0/0,1/1;0/7,1/7;0/3,1/6;0/39,1/39
480;2;16;2;2;0/444.53,1/420.27;0/34.31,1/30.62;0/480,1/480;0/480,1/480;0/0,1/1;0/0,1/1;0/1,1/2;0/12,1/13;0/3,1/2;0/5,1/5;0/1,1/1;0/8,1/8;0/4,1/6;0/45,1/45
540;4;19;2;2;0/490,1/465.33;0/34.58,1/30.93;0/540,1/540;0/540,1/540;0/0,1/0;0/0,1/0;0/0,1/1;0/10,1/15;0/3,1/2;0/5,1/5;0/1,1/3;0/9,1/10;0/5,1/8;0/51,1/51
600;5;21;2;2;0/550,1/510.36;0/34.71,1/30.98;0/600,1/600;0/600,1/600;0/0,1/0;0/3,1/0;0/0,1/0;0/12,1/12;0/3,1/2;0/5,1/5;0/1,1/4;0/10,1/11;0/5,1/9;0/57,1/57
