time,bot_id,task_id,pod_id,station_id,eta_now,t_starve,queue_budget,release_budget,slack,chosen_delay,deadline,release_policy,eta_safety_buffer,probe_success,release_reason,station_pending_items,station_busy_remaining,station_queue_work,eta_at_release,remaining_t_starve_at_release,best_future_eta_at_release,best_future_delay_at_release,eta_improvement_at_release,neighbor_count_at_decision,missing_arrival_count,queue_arrival_time,release_time,actual_arrival_time,actual_eta,arrival_error,station_idle_at_arrival,queue_wait_at_station
11.17,Bot14,65335398,Pod495,OutputStation2,24.96,0,0,0,-84.96,0,11.17,QueueBudgetEtaImprovement,60,1,immediate_release,0,0,0,24.96,0,,,,0,0,29.42,11.17,36.32,25.15,0.19,1,6.9
11.37,Bot17,57675884,Pod164,OutputStation4,60.37,0,0,0,-120.37,0,11.37,QueueBudgetEtaImprovement,60,1,immediate_release,0,0,0,60.37,0,,,,0,0,67.45,11.37,75.73,64.36,3.99,1,8.28
13.37,Bot7,32547936,Pod371,OutputStation5,21.63,0,40,40,-41.63,0,13.37,QueueBudgetEtaImprovement,60,1,immediate_release,0,0,0,21.63,0,,,,0,0,29.8,13.37,35.23,21.86,0.23,1,5.43
13.37,Bot13,59455271,Pod43,OutputStation5,74.29,0,60,60,-74.29,0,13.37,QueueBudgetEtaImprovement,60,1,immediate_release,0,0,0,74.29,0,,,,0,0,93.86,13.37,113.46,100.09,25.79,0,19.6
14.67,Bot11,38016717,Pod366,OutputStation1,25.08,0,0,0,-85.08,0,14.67,QueueBudgetEtaImprovement,60,1,immediate_release,0,0,0,25.08,0,,,,0,0,35.28,14.67,40.77,26.1,1.03,1,5.5
15.42,Bot19,49320909,Pod119,OutputStation3,23.5,0,0,0,-83.5,0,15.42,QueueBudgetEtaImprovement,60,1,immediate_release,0,0,0,23.5,0,,,,0,0,32.3,15.42,39.18,23.76,0.26,1,6.88
18.71,Bot3,4544348,Pod162,OutputStation6,31.63,0,60,60,-31.63,0,18.71,QueueBudgetEtaImprovement,60,1,immediate_release,0,0,0,31.63,0,,,,0,0,45.15,18.71,50.61,31.9,0.27,1,5.46
18.76,Bot5,40899139,Pod936,OutputStation0,35.5,0,0,0,-95.5,0,18.76,QueueBudgetEtaImprovement,60,1,immediate_release,0,0,0,35.5,0,,,,0,0,53.04,18.76,61.4,42.64,7.14,1,8.36
20.63,Bot16,51147674,Pod24,OutputStation7,32.96,0,50,50,-42.96,0,20.63,QueueBudgetEtaImprovement,60,1,immediate_release,0,0,0,32.96,0,,,,0,0,48.61,20.63,165.82,145.19,112.23,0,117.21
21.22,Bot9,19137160,Pod233,OutputStation8,31.21,0,50,50,-41.21,0,21.22,QueueBudgetEtaImprovement,60,1,immediate_release,0,0,0,31.21,0,,,,0,0,47.69,21.22,53.28,32.05,0.85,1,5.59
29.33,Bot1,60157251,Pod1035,OutputStation8,90,0,50,50,-100,0,29.33,QueueBudgetEtaImprovement,60,1,immediate_release,0,0,0,90,0,,,,0,0,77.23,29.33,101.93,72.6,-17.4,0,24.7
30.64,Bot12,6606141,Pod896,OutputStation7,15.58,0,50,50,-25.58,0,30.64,QueueBudgetEtaImprovement,60,1,immediate_release,0,0,0,15.58,0,,,,1,0,41.22,30.64,46.64,16,0.42,1,5.42
32.02,Bot8,24495972,Pod287,OutputStation6,90,0,40,40,-110,0,32.02,QueueBudgetEtaImprovement,60,1,immediate_release,0,0,0,90,0,,,,0,0,66.28,32.02,149.67,117.65,27.64,0,83.39
136.23,Bot7,54445748,Pod1138,OutputStation0,78.33,15.77,30,30,-108.33,0,136.23,QueueBudgetEtaImprovement,60,0,immediate_release,1,5.77,10,78.33,15.77,,,,0,0,177.67,136.23,184.6,48.37,-29.97,1,6.93
146.78,Bot19,16376444,Pod1177,OutputStation1,35,15.21,40,40,-55,0,146.78,QueueBudgetEtaImprovement,60,0,immediate_release,1,5.21,10,35,15.21,,,,0,0,177.67,146.78,210.76,63.98,28.98,0,33.09
153.01,Bot9,6268747,Pod914,OutputStation2,105,14.17,30,30,-135,0,153.01,QueueBudgetEtaImprovement,60,0,immediate_release,1,4.17,10,105,14.17,,,,0,0,201.87,153.01,208.76,55.75,-49.25,1,6.89
192.12,Bot3,59864053,Pod584,OutputStation3,53.71,0,0,0,-113.71,0,192.12,QueueBudgetEtaImprovement,60,1,immediate_release,0,0,0,53.71,0,,,,0,0,256.74,192.12,262.28,70.16,16.45,1,5.54
