decision,time,pendingOrders,stationsWithCap,podsInModel,dispatched,children,fastPath,units,decisionSec
0,0.0444444444444444,92,2,99,2,0,12,19,0.0759681
1,42.4888888888888,83,1,98,0,0,1,2,0.0010018
2,52.5777777777776,83,1,98,0,0,1,2,0.001
3,54.7111111111109,82,1,98,0,0,1,1,0.0019773
4,74.755555555557,83,1,98,0,0,1,2,0.0009993
5,82.6666666666694,83,1,97,0,0,1,2,0.000999
6,84.800000000003,82,1,97,1,0,1,2,0.002
7,92.7111111111154,82,1,96,0,0,1,1,0
8,102.755555555561,81,1,96,1,0,1,2,0.0019998
9,112.800000000007,81,1,96,0,0,1,1,0.0010004
10,124.844444444454,81,1,96,0,0,1,2,0.0010008
11,132.844444444455,81,1,96,0,0,1,1,0.0009997
12,134.8888888889,80,1,96,0,0,1,2,0.0009997
13,144.933333333346,80,1,96,0,0,1,2,0.0010009
14,152.888888888903,80,1,96,0,0,1,2,0
15,154.977777777792,79,1,96,0,0,1,2,0.0009995
16,172.93333333335,80,1,97,0,0,1,2,0.0009997
17,175.022222222239,79,1,96,1,0,1,2,0.0020005
18,182.977777777796,78,1,96,0,0,1,1,0.0009995
19,195.066666666687,78,1,97,0,0,1,3,0.0009999
20,203.022222222244,78,1,95,0,0,1,1,0.0009992
21,213.06666666669,78,1,95,1,0,1,1,0.0019989
22,215.111111111135,77,1,95,0,0,1,1,0.0010012
23,223.111111111136,77,1,95,0,0,1,2,0.0009998
24,235.155555555582,77,1,95,0,0,1,1,0.0010004
25,243.155555555583,77,1,95,0,0,1,2,0.0009996
26,255.20000000003,77,1,96,0,0,1,1,0.0010013
27,263.244444444471,76,1,96,0,0,1,1,0
28,273.333333333355,76,1,96,0,1,0,3,0.0070007
29,275.333333333354,76,1,96,0,1,0,2,0.0009965
30,283.422222222239,77,1,96,0,1,0,1,0.0009999
31,303.555555555562,78,1,96,0,1,0,1,0.0009968
32,315.555555555557,79,1,95,1,0,1,2,0.0020002
33,325.644444444441,79,1,95,0,0,1,2,0.0009997
34,333.733333333326,78,1,94,1,0,1,1,0.0019996
35,335.733333333325,78,1,95,0,0,1,2,0.0009999
36,343.82222222221,77,1,94,0,0,1,2,0.0010009
37,345.822222222209,76,1,94,0,0,1,2,0
38,355.911111111093,75,1,94,0,0,1,4,0
39,363.955555555533,75,1,94,0,0,1,1,0.0009975
40,374.044444444417,75,1,95,0,0,1,1,0.0019741
41,376.044444444416,74,1,95,0,1,0,2,0
42,384.133333333301,74,1,95,0,0,1,2,0
43,394.222222222185,74,1,96,0,1,0,3,0.0010062
44,416.266666666619,76,1,94,1,1,0,1,0.0030005
45,424.399999999948,74,1,94,1,0,1,3,0.0019996
46,436.399999999943,75,1,94,0,0,1,1,0
47,444.533333333272,75,1,93,0,0,1,3,0
48,454.622222222156,75,1,93,0,0,1,1,0
49,456.533333333266,74,1,93,0,0,1,2,0
50,464.71111111104,74,1,93,0,0,1,3,0
51,474.799999999924,74,1,93,0,0,1,1,0.0010005
52,476.66666666659,73,1,93,0,0,1,1,0.0010004
53,494.933333333248,73,1,93,0,1,0,3,0.0010022
