decision,time,pendingOrders,stationsWithCap,podsInModel,dispatched,children,fastPath,units,decisionSec,lambda,mu,delta,rho,closedLines,valuedNotBoundLines,completedOrders
53,394.26666666663,76,1,93,1,0,1,4,0.0019989,12.2022916666666,15.2528645833333,1,11.6212301587301,2,0,1
54,404.355555555514,76,1,93,0,0,1,4,0.0009993,12.0476438669852,15.2439575459813,1,11.4915987654321,2,0,1
55,410.755555555511,75,1,92,0,0,1,3,0,11.9172694830246,15.2541049382715,1,11.5561401047512,1,0,1
56,420.844444444395,75,1,92,0,0,1,3,0.0010004,12.1157449548907,15.4416357268215,1,11.5812267951161,1,0,1
57,424.488888888837,74,1,93,0,0,1,1,0,12.0374368686868,15.2782852564101,1,11.5140700483091,1,0,1
58,430.933333333279,74,1,92,0,0,1,2,0.0009999,12.059763681592,15.24536163522,1,11.5429166666666,1,0,1
59,471.155555555481,76,1,93,0,0,1,1,0,13.1030200957697,16.5000993798581,1,11.4231457245172,1,0,1
60,481.244444444365,76,1,95,1,0,1,3,0.0020001,13.28365679236,16.6649512485971,1,11.4571539834105,2,0,1
61,491.333333333249,76,1,95,0,0,1,2,0.0009997,13.1500064662667,16.6723296268739,1,11.3859812085968,2,0,1
62,494.844444444359,75,1,95,0,0,1,2,0.0020053,12.8082191780822,16.4035087719298,1,11.2650602409639,1,0,1
63,514.977777777686,76,1,94,0,0,1,2,0,13.0606526255744,16.6635912809053,1,11.1090608539369,1,0,1
64,521.46666666658,76,1,95,0,0,1,1,0,13,16.5254237288136,1,11.0795454545455,1,0,1
65,535.022222222147,76,1,94,1,0,1,2,0.0019997,13.2065960038987,16.7283549382717,1,11.0296845746847,2,0,1
66,545.066666666599,76,1,95,0,0,1,2,0.0010038,13.2469159544162,16.9386794171224,1,11.1103166069297,1,0,1
67,551.511111111049,75,1,95,0,0,1,1,0.0010005,13.2685177371465,16.9066596973319,1,11.1512010769636,1,0,1
68,565.111111111059,76,1,95,0,0,1,1,0,13.3238112943673,16.9191254531648,1,10.9887103458699,1,0,1
69,571.555555555509,75,1,95,0,0,1,1,0.0020058,13.1851851851852,16.6875,1,10.8979591836735,1,0,1
70,575.155555555512,74,1,95,0,0,1,1,0,13.0243902439024,16.4307692307692,1,10.7878787878788,1,0,1
71,581.599999999961,74,1,95,1,0,1,2,0.0009999,12.8674698795181,16.1818181818182,1,10.68,2,0,1
72,595.199999999972,76,1,95,0,0,1,2,0,12.7058823529412,16.1194029850746,1,10.4854368932039,1,0,1
73,615.244444444433,77,1,96,0,0,1,2,0.0010011,13.3188597742608,16.8444403027417,1,10.7048779494059,2,0,1
74,631.644444444446,77,1,95,0,0,1,2,0.0010023,13.3295928030304,17.0000603864736,1,10.6636742424243,1,0,1
75,635.288888888893,77,1,95,0,0,1,1,0.000994,13.2681144662922,16.8694598214286,1,10.6383980855856,1,0,1
76,641.688888888898,76,1,95,0,0,1,2,0.0010033,13.2665918638547,16.8168065879848,1,10.6606541763118,1,0,1
77,651.733333333351,76,1,96,0,0,1,2,0.001,13.3361304012346,16.8553870348937,1,10.6455076009855,1,0,1
78,661.777777777803,76,1,96,0,0,1,2,0.0010003,13.3304800724638,16.8000570776256,1,10.5724497126437,1,0,1
79,665.333333333361,75,1,95,1,0,1,3,0.0010004,13.2258064516129,16.6216216216216,1,10.5128205128205,1,0,1
80,671.822222222256,75,1,96,1,0,1,1,0.0020004,13.1382978723404,16.4666666666667,1,10.4661016949153,1,0,1
81,675.377777777814,73,1,95,0,0,1,3,0,13.0029605263158,16.2537006578948,1,10.3805147058824,2,0,1
82,685.422222222266,73,1,95,0,0,1,1,0.0010038,12.9715677035464,16.3408060681039,1,10.3986947706116,1,0,1
83,691.866666666716,74,1,94,0,0,1,1,0,13.0641128034194,16.4138853171167,1,10.494123399468,1,0,1
84,701.911111111168,73,1,94,0,0,1,2,0,13.2905873940018,16.6552930633693,1,10.6110334839208,1,0,1
85,705.466666666727,72,1,94,0,0,1,2,0.0009727,13.2465920138889,16.5582400173611,1,10.5972736111111,1,0,1
86,715.511111111179,72,1,94,1,0,1,3,0.0020004,13.3255959311209,16.6158665313977,1,10.5975211735686,2,0,1
87,721.955555555629,71,1,93,1,0,1,3,0.0019998,13.1410083434155,16.5063885289244,1,10.5744051513422,3,0,1
