#TimeStamp;PodsHandledAtIStations;PodsHandledAtOStations;ActiveIStations;ActiveOStations;IStationIdleTimes;OStationIdleTimes;IStationActiveTimes;OStationActiveTimes;IStationRequests;OStationRequests;IStationBundleBacklog;OStationItemBacklog;IStationAssignedBots;OStationAssignedBots;IStationPodsHandled;OStationPodsHandled;IStationBundlesStored;OStationItemsPicked
0;0;0;2;2;0/0,1/0;0/0,1/0;0/0,1/0;0/0,1/0;0/0,1/0;0/0,1/0;0/0,1/0;0/0,1/0;0/3,1/2;0/5,1/5;0/0,1/0;0/0,1/0;0/0,1/0;0/0,1/0
60;0;0;2;2;0/60,1/60;0/42.76,1/45.51;0/60,1/60;0/60,1/60;0/0,1/0;0/0,1/0;0/0,1/0;0/7,1/9;0/3,1/2;0/5,1/5;0/0,1/0;0/0,1/0;0/0,1/0;0/2,1/2
119.96;0;0;2;2;0/119.96,1/119.96;0/43.02,1/45.73;0/119.96,1/119.96;0/119.96,1/119.96;0/0,1/0;0/0,1/0;0/0,1/4;0/10,1/10;0/3,1/2;0/5,1/5;0/0,1/0;0/0,1/0;0/0,1/0;0/8,1/8
179.96;0;1;2;2;0/179.96,1/140.13;0/43.16,1/45.82;0/179.96,1/179.96;0/179.96,1/179.96;0/0,1/0;0/0,1/0;0/0,1/2;0/8,1/6;0/3,1/2;0/5,1/5;0/0,1/0;0/1,1/0;0/0,1/4;0/14,1/14
239.96;1;4;2;2;0/239.96,1/180.22;0/43.33,1/46;0/239.96,1/239.96;0/239.96,1/239.96;0/0,1/0;0/0,1/0;0/0,1/0;0/7,1/2;0/3,1/2;0/5,1/5;0/0,1/1;0/3,1/1;0/0,1/6;0/20,1/20
299.96;1;5;2;2;0/299.96,1/240.22;0/43.73,1/59.96;0/299.96,1/299.96;0/299.96,1/299.96;0/0,1/0;0/0,1/0;0/3,1/0;0/15,1/0;0/3,1/2;0/5,1/5;0/0,1/1;0/3,1/2;0/0,1/6;0/26,1/24
360;1;6;2;2;0/330,1/300.27;0/44.09,1/120;0/360,1/360;0/360,1/360;0/0,1/0;0/0,1/0;0/1,1/0;0/12,1/9;0/3,1/2;0/5,1/5;0/0,1/1;0/4,1/2;0/3,1/6;0/32,1/24
420;2;8;2;2;0/380,1/360.27;0/44.44,1/120.8;0/420,1/420;0/420,1/420;0/0,1/0;0/0,1/0;0/1,1/0;0/14,1/10;0/3,1/2;0/5,1/5;0/1,1/1;0/5,1/3;0/4,1/6;0/38,1/30
480;3;10;2;2;0/430,1/420.27;0/44.76,1/121.2;0/480,1/480;0/480,1/480;0/0,1/0;0/0,1/0;0/0,1/2;0/9,1/10;0/3,1/2;0/5,1/5;0/2,1/1;0/6,1/4;0/5,1/6;0/44,1/36
540;4;11;2;2;0/490,1/460.27;0/45.07,1/121.51;0/540,1/540;0/540,1/540;0/0,1/1;0/0,1/0;0/0,1/4;0/9,1/10;0/3,1/2;0/5,1/5;0/2,1/2;0/7,1/4;0/5,1/8;0/50,1/42
600;5;12;2;2;0/550,1/490.4;0/45.24,1/121.64;0/600,1/600;0/600,1/600;0/0,1/3;0/0,1/0;0/0,1/3;0/9,1/8;0/3,1/2;0/5,1/5;0/2,1/3;0/7,1/5;0/5,1/11;0/56,1/48
659.96;6;13;2;2;0/609.96,1/540.4;0/45.33,1/121.78;0/659.96,1/659.96;0/659.96,1/659.96;0/0,1/0;0/0,1/0;0/0,1/3;0/6,1/8;0/3,1/2;0/5,1/5;0/2,1/4;0/8,1/5;0/5,1/12;0/62,1/54
719.96;7;14;2;2;0/669.96,1/570.53;0/45.56,1/121.96;0/719.96,1/719.96;0/719.96,1/719.96;0/0,1/0;0/0,1/0;0/0,1/3;0/12,1/8;0/3,1/2;0/5,1/5;0/2,1/5;0/8,1/6;0/5,1/15;0/68,1/60
779.96;9;16;2;2;0/720,1/600.67;0/45.64,1/122.09;0/779.96,1/779.96;0/779.96,1/779.96;0/0,1/0;0/0,1/0;0/0,1/1;0/11,1/10;0/3,1/2;0/5,1/5;0/3,1/6;0/9,1/7;0/6,1/18;0/74,1/66
839.96;11;16;2;2;0/780,1/646.13;0/45.78,1/122.27;0/839.96,1/839.96;0/839.96,1/839.96;0/0,1/0;0/0,1/0;0/0,1/1;0/9,1/15;0/3,1/2;0/5,1/5;0/3,1/8;0/9,1/7;0/6,1/20;0/80,1/72
899.96;12;18;2;2;0/840,1/677.56;0/45.91,1/122.31;0/899.96,1/899.96;0/899.96,1/899.96;0/0,1/0;0/0,1/0;0/0,1/0;0/8,1/11;0/3,1/2;0/5,1/5;0/3,1/9;0/10,1/8;0/6,1/23;0/86,1/78
959.96;12;20;2;2;0/900,1/730.89;0/46.09,1/122.4;0/959.96,1/959.96;0/959.96,1/959.96;0/0,1/1;0/0,1/0;0/0,1/2;0/11,1/10;0/3,1/2;0/5,1/5;0/3,1/9;0/11,1/9;0/6,1/23;0/92,1/84
