#TimeStamp;PodsHandledAtIStations;PodsHandledAtOStations;ActiveIStations;ActiveOStations;IStationIdleTimes;OStationIdleTimes;IStationActiveTimes;OStationActiveTimes;IStationRequests;OStationRequests;IStationBundleBacklog;OStationItemBacklog;IStationAssignedBots;OStationAssignedBots;IStationPodsHandled;OStationPodsHandled;IStationBundlesStored;OStationItemsPicked
0;0;0;2;2;0/0,1/0;0/0,1/0;0/0,1/0;0/0,1/0;0/0,1/0;0/12,1/11;0/0,1/0;0/12,1/11;0/3,1/2;0/5,1/5;0/0,1/0;0/0,1/0;0/0,1/0;0/0,1/0
60;1;0;2;2;0/35.96,1/52.84;0/32.22,1/35.51;0/60,1/60;0/60,1/60;0/0,1/9;0/0,1/0;0/1,1/15;0/9,1/13;0/3,1/2;0/5,1/5;0/1,1/0;0/0,1/0;0/3,1/1;0/3,1/3
119.96;3;0;2;2;0/80.04,1/57.29;0/32.4,1/35.64;0/119.96,1/119.96;0/119.96,1/119.96;0/1,1/7;0/0,1/0;0/1,1/9;0/7,1/12;0/3,1/2;0/5,1/5;0/2,1/1;0/0,1/0;0/4,1/7;0/9,1/9
179.96;4;1;2;2;0/140.04,1/90.31;0/32.62,1/35.73;0/179.96,1/179.96;0/179.96,1/179.96;0/1,1/4;0/0,1/0;0/1,1/8;0/7,1/9;0/3,1/2;0/5,1/5;0/2,1/2;0/1,1/0;0/4,1/9;0/15,1/15
239.96;7;2;2;2;0/190.09,1/110.49;0/32.8,1/35.87;0/239.96,1/239.96;0/239.96,1/239.96;0/0,1/3;0/0,1/0;0/0,1/4;0/9,1/8;0/3,1/2;0/5,1/5;0/3,1/4;0/1,1/1;0/5,1/13;0/21,1/21
299.96;9;3;2;2;0/250.09,1/150.49;0/33.07,1/36.27;0/299.96,1/299.96;0/299.96,1/299.96;0/0,1/1;0/0,1/0;0/0,1/2;0/5,1/9;0/3,1/2;0/5,1/5;0/3,1/6;0/2,1/1;0/5,1/15;0/27,1/27
360;11;3;2;2;0/310.13,1/191.56;0/33.6,1/36.67;0/360,1/360;0/360,1/360;0/0,1/1;0/0,1/0;0/0,1/1;0/8,1/8;0/3,1/2;0/5,1/5;0/3,1/8;0/2,1/1;0/5,1/17;0/33,1/33
420;12;5;2;2;0/370.13,1/247.07;0/34.04,1/37.11;0/420,1/420;0/420,1/420;0/0,1/0;0/0,1/0;0/0,1/0;0/9,1/8;0/3,1/2;0/5,1/5;0/3,1/9;0/3,1/2;0/5,1/18;0/39,1/39
480;12;7;2;2;0/430.13,1/300.53;0/34.4,1/37.51;0/480,1/480;0/480,1/480;0/0,1/0;0/0,1/0;0/0,1/0;0/5,1/4;0/3,1/2;0/5,1/5;0/3,1/9;0/4,1/3;0/5,1/18;0/45,1/45
540;12;8;2;2;0/490.13,1/360.53;0/34.84,1/37.87;0/540,1/540;0/540,1/540;0/0,1/0;0/0,1/0;0/0,1/0;0/11,1/13;0/3,1/2;0/5,1/5;0/3,1/9;0/4,1/4;0/5,1/18;0/51,1/51
600;12;9;2;2;0/550.13,1/420.53;0/34.93,1/37.96;0/600,1/600;0/600,1/600;0/0,1/0;0/0,1/0;0/1,1/0;0/13,1/10;0/3,1/2;0/5,1/5;0/3,1/9;0/5,1/4;0/5,1/18;0/57,1/57
659.96;13;11;2;2;0/600.13,1/480.49;0/35.11,1/38.04;0/659.96,1/659.96;0/659.96,1/659.96;0/0,1/0;0/0,1/0;0/0,1/0;0/15,1/9;0/3,1/2;0/5,1/5;0/4,1/9;0/6,1/5;0/6,1/18;0/63,1/63
719.96;13;12;2;2;0/660.13,1/540.49;0/35.16,1/38.22;0/719.96,1/719.96;0/719.96,1/719.96;0/0,1/0;0/0,1/0;0/0,1/0;0/11,1/8;0/3,1/2;0/5,1/5;0/4,1/9;0/6,1/6;0/6,1/18;0/69,1/69
779.96;13;12;2;2;0/720.13,1/600.49;0/35.33,1/38.4;0/779.96,1/779.96;0/779.96,1/779.96;0/0,1/0;0/0,1/0;0/0,1/0;0/9,1/8;0/3,1/2;0/5,1/5;0/4,1/9;0/6,1/6;0/6,1/18;0/75,1/75
839.96;13;13;2;2;0/780.13,1/660.49;0/35.47,1/38.58;0/839.96,1/839.96;0/839.96,1/839.96;0/0,1/0;0/0,1/0;0/0,1/0;0/8,1/9;0/3,1/2;0/5,1/5;0/4,1/9;0/6,1/7;0/6,1/18;0/81,1/81
899.96;13;13;2;2;0/840.13,1/720.49;0/35.64,1/38.71;0/899.96,1/899.96;0/899.96,1/899.96;0/0,1/0;0/0,1/0;0/0,1/0;0/7,1/8;0/3,1/2;0/5,1/5;0/4,1/9;0/6,1/7;0/6,1/18;0/87,1/87
959.96;13;15;2;2;0/900.13,1/780.49;0/35.82,1/38.89;0/959.96,1/959.96;0/959.96,1/959.96;0/0,1/0;0/0,1/0;0/0,1/0;0/10,1/10;0/3,1/2;0/5,1/5;0/4,1/9;0/7,1/8;0/6,1/18;0/93,1/93
1019.96;13;16;2;2;0/960.13,1/840.49;0/36,1/38.98;0/1019.96,1/1019.96;0/1019.96,1/1019.96;0/0,1/0;0/0,1/0;0/0,1/0;0/13,1/7;0/3,1/2;0/5,1/5;0/4,1/9;0/8,1/8;0/6,1/18;0/99,1/99
1079.96;13;17;2;2;0/1020.13,1/900.49;0/36.09,1/39.2;0/1079.96,1/1079.96;0/1079.96,1/1079.96;0/0,1/0;0/0,1/0;0/0,1/0;0/10,1/14;0/3,1/2;0/5,1/5;0/4,1/9;0/8,1/9;0/6,1/18;0/105,1/105
1139.96;13;17;2;2;0/1080.13,1/960.49;0/36.22,1/39.29;0/1139.96,1/1139.96;0/1139.96,1/1139.96;0/0,1/0;0/0,1/0;0/0,1/0;0/9,1/11;0/3,1/2;0/5,1/5;0/4,1/9;0/8,1/9;0/6,1/18;0/111,1/111
1199.96;13;19;2;2;0/1140.13,1/1020.49;0/36.44,1/39.33;0/1199.96,1/1199.96;0/1199.96,1/1199.96;0/0,1/0;0/0,1/0;0/0,1/0;0/9,1/7;0/3,1/2;0/5,1/5;0/4,1/9;0/9,1/10;0/6,1/18;0/117,1/117
1259.96;17;19;2;2;0/1179.38,1/1053.51;0/36.58,1/39.56;0/1259.96,1/1259.96;0/1259.96,1/1259.96;0/0,1/6;0/0,1/0;0/2,1/7;0/3,1/10;0/3,1/2;0/5,1/5;0/6,1/11;0/9,1/10;0/9,1/21;0/123,1/123
1319.96;19;21;2;2;0/1210.36,1/1089.38;0/36.8,1/39.96;0/1319.96,1/1319.96;0/1319.96,1/1319.96;0/0,1/3;0/0,1/0;0/0,1/4;0/8,1/10;0/3,1/2;0/5,1/5;0/7,1/12;0/11,1/10;0/11,1/24;0/129,1/128
1379.96;21;22;2;2;0/1270.36,1/1122.89;0/36.98,1/40.76;0/1379.96,1/1379.96;0/1379.96,1/1379.96;0/0,1/1;0/0,1/0;0/0,1/2;0/9,1/7;0/3,1/2;0/5,1/5;0/7,1/14;0/11,1/11;0/11,1/26;0/135,1/134
1439.96;23;24;2;2;0/1330.36,1/1162.58;0/37.16,1/40.93;0/1439.96,1/1439.96;0/1439.96,1/1439.96;0/0,1/0;0/0,1/0;0/0,1/0;0/9,1/6;0/3,1/2;0/5,1/5;0/7,1/16;0/12,1/12;0/11,1/28;0/141,1/140
1499.96;23;25;2;2;0/1390.36,1/1220.93;0/37.29,1/41.16;0/1499.96,1/1499.96;0/1499.96,1/1499.96;0/0,1/0;0/0,1/0;0/0,1/0;0/8,1/8;0/3,1/2;0/5,1/5;0/7,1/16;0/13,1/12;0/11,1/28;0/147,1/146
1559.96;23;27;2;2;0/1450.36,1/1280.93;0/37.47,1/41.33;0/1559.96,1/1559.96;0/1559.96,1/1559.96;0/0,1/0;0/0,1/0;0/0,1/0;0/10,1/10;0/3,1/2;0/5,1/5;0/7,1/16;0/14,1/13;0/11,1/28;0/153,1/152
1619.96;23;29;2;2;0/1510.36,1/1340.93;0/37.6,1/41.47;0/1619.96,1/1619.96;0/1619.96,1/1619.96;0/0,1/0;0/0,1/0;0/0,1/0;0/10,1/7;0/3,1/2;0/5,1/5;0/7,1/16;0/15,1/14;0/11,1/28;0/159,1/158
1679.96;23;30;2;2;0/1570.36,1/1400.93;0/37.78,1/41.64;0/1679.96,1/1679.96;0/1679.96,1/1679.96;0/0,1/0;0/0,1/0;0/0,1/0;0/12,1/1;0/3,1/2;0/5,1/5;0/7,1/16;0/15,1/15;0/11,1/28;0/165,1/164
1739.96;23;32;2;2;0/1630.36,1/1460.93;0/37.87,1/53.51;0/1739.96,1/1739.96;0/1739.96,1/1739.96;0/0,1/0;0/0,1/0;0/0,1/0;0/8,1/12;0/3,1/2;0/5,1/5;0/7,1/16;0/16,1/16;0/11,1/28;0/171,1/169
1799.96;23;32;2;2;0/1690.36,1/1520.93;0/38,1/53.6;0/1799.96,1/1799.96;0/1799.96,1/1799.96;0/0,1/0;0/0,1/0;0/0,1/0;0/7,1/9;0/3,1/2;0/5,1/5;0/7,1/16;0/16,1/16;0/11,1/28;0/177,1/175
1859.96;23;34;2;2;0/1750.36,1/1580.93;0/38.18,1/53.73;0/1859.96,1/1859.96;0/1859.96,1/1859.96;0/0,1/0;0/1,1/2;0/0,1/0;0/2,1/5;0/3,1/2;0/5,1/5;0/7,1/16;0/17,1/17;0/11,1/28;0/183,1/181
1919.96;23;35;2;2;0/1810.36,1/1640.93;0/50.13,1/53.87;0/1919.96,1/1919.96;0/1919.96,1/1919.96;0/0,1/0;0/0,1/0;0/0,1/0;0/2,1/4;0/3,1/2;0/5,1/5;0/7,1/16;0/18,1/17;0/11,1/28;0/187,1/187
1979.96;23;37;2;2;0/1870.36,1/1700.93;0/62.62,1/54.13;0/1979.96,1/1979.96;0/1979.96,1/1979.96;0/0,1/0;0/0,1/0;0/0,1/0;0/6,1/9;0/3,1/2;0/5,1/5;0/7,1/16;0/19,1/18;0/11,1/28;0/192,1/193
2039.96;23;38;2;2;0/1930.36,1/1760.93;0/62.8,1/54.22;0/2039.96,1/2039.96;0/2039.96,1/2039.96;0/0,1/0;0/0,1/0;0/0,1/0;0/9,1/8;0/3,1/2;0/5,1/5;0/7,1/16;0/20,1/18;0/11,1/28;0/198,1/199
