decision,time,solved,pendingOrders,stationsWithCap,podsInModel,xps,children,fastPath,units,sumUs,objective,solveSec,partialOrders,partialOnlyNewTrips,odCount,odFired,sunkOrdersStar,sunkItemsStar,sunkUnitsFinal,newTripsFinal,solve1Sec,solve2Sec,icWhole,icPackOcc,icPackBudget,icProcUnits,icEpSum,icShortfall,icSgOpen,icGateForegone
0,0,1,100,2,87,2,0,12,23,0,-879.770526695527,3.7571397,0,0,0,0,0,0,0,2,0,3.7571397,0,0,-1,0,0,0,0,0
1,55.4666666666665,1,100,1,84,2,0,1,5,0,-115.383098591549,0.0444426,0,0,0,0,0,0,4,1,0,0.0444426,0,0,-1,4,0,0,1,0
2,62.2666666666665,1,100,1,84,2,0,1,2,0,-88.1833333333333,0.1595534,0,0,0,0,0,0,0,1,0,0.1595534,0,0,-1,0,0,0,1,0
3,75.5111111111127,1,100,1,85,2,0,1,2,0,-70.1724137931034,0.0064567,0,0,0,0,0,0,2,0,0,0.0064567,0,0,-1,2,0,0,1,0
4,82.3111111111138,1,100,1,85,2,0,1,1,0,-70.0227272727273,0.0068223,0,0,0,0,0,0,1,0,0,0.0068223,0,0,-1,1,0,0,0,0
5,85.5555555555587,1,100,1,85,2,0,1,1,0,-70.0714285714286,0.0057851,0,0,0,0,0,0,1,0,0,0.0057851,0,0,-1,1,0,0,0,0
6,102.355555555561,1,100,1,87,2,0,1,1,0,-69.0731707317073,0.0060013,0,0,0,0,0,0,1,0,0,0.0060013,0,0,-1,0,0,0,0,0
7,105.600000000006,1,100,1,87,2,0,1,2,0,-68.1836734693878,0.0050041,0,0,0,0,0,0,2,0,0,0.0050041,0,0,-1,0,0,0,0,0
8,122.400000000009,1,100,1,87,2,0,1,2,0,-68.125,0.0069998,0,0,0,0,0,0,2,0,0,0.0069998,0,0,-1,0,0,0,0,0
9,125.644444444454,1,100,1,87,2,1,0,2,0,-59.08995215311,0.0059998,1,0,0,0,0,0,2,0,0,0.0059998,0,0,-1,1,0,0,0,0
10,142.444444444456,1,101,1,87,2,1,0,1,0,-30.0153846153846,0.006,1,0,0,0,0,0,1,0,0,0.006,0,1,-1,1,0,0,0,0
11,145.688888888901,1,102,1,87,2,1,0,1,0,-30.0135135135135,0.0049979,1,0,0,0,0,0,1,0,0,0.0049979,0,2,-1,1,0,0,0,0
12,152.488888888902,1,103,1,87,2,1,0,1,0,-30.0078125,0.0062179,1,0,0,0,0,0,1,0,0,0.0062179,0,3,-1,1,0,0,0,0
13,162.533333333349,1,104,1,87,2,1,0,1,0,-29.0648148148148,0.0068746,1,0,0,0,0,0,1,0,0,0.0068746,0,4,-1,0,0,0,0,0
14,172.577777777795,1,105,1,88,2,1,0,1,0,-29.046875,0.006792,1,0,0,0,0,0,1,0,0,0.006792,0,5,-1,0,0,0,0,0
15,182.622222222241,1,106,1,87,2,0,1,5,0,-85.2753759398496,0.2752799,0,0,0,0,0,0,2,1,0,0.2752799,0,6,-1,2,0,0,1,0
16,202.666666666688,1,106,1,87,2,0,1,1,0,-67.0493827160494,0.0059907,0,0,0,0,0,0,1,0,0,0.0059907,0,6,-1,0,0,0,1,0
17,205.733333333355,1,106,1,87,2,0,1,1,0,-69.0851063829787,0.0064165,0,0,0,0,0,0,1,0,0,0.0064165,0,6,-1,0,0,0,0,0
18,212.711111111134,1,106,1,87,2,0,1,1,0,-69.04375,0.0052746,0,0,0,0,0,0,1,0,0,0.0052746,0,6,-1,0,0,0,0,0
19,215.777777777801,1,106,1,88,2,1,0,1,0,-29.0760869565217,0.00397,1,0,0,0,0,0,1,0,0,0.00397,0,6,-1,0,0,0,0,0
20,232.755555555582,1,107,1,88,2,1,0,1,0,-69.0379746835443,0.0039702,0,0,0,0,0,0,1,0,0,0.0039702,0,7,-1,0,0,0,0,0
21,235.822222222249,1,106,1,87,2,0,1,3,0,-84.3717948717949,0.1532629,0,0,0,0,0,0,1,1,0,0.1532629,0,7,-1,1,0,0,1,0
22,242.800000000028,1,106,1,87,2,0,1,1,0,-69.0384615384615,0.0049978,0,0,0,0,0,0,1,0,0,0.0049978,0,7,-1,0,0,0,0,0
23,245.866666666695,1,106,1,87,2,0,1,1,0,-67.1428571428571,0.0050012,0,0,0,0,0,0,1,0,0,0.0050012,0,7,-1,0,0,0,1,0
24,252.844444444474,1,106,1,89,2,0,1,1,0,-69.0227272727273,0.0057671,0,0,0,0,0,0,1,0,0,0.0057671,0,7,-1,0,0,0,0,0
25,265.955555555581,1,106,1,89,2,1,0,2,0,-30.09375,0.006379,1,0,0,0,0,0,2,0,0,0.006379,0,7,-1,2,0,0,1,0
26,276.044444444465,1,107,1,90,2,1,0,2,0,-30.0571428571429,0.005892,1,0,0,0,0,0,2,0,0,0.005892,0,8,-1,2,0,0,0,0
27,286.133333333349,1,108,1,90,2,1,0,1,0,-30.0147058823529,0.006504,1,0,0,0,0,0,1,0,0,0.006504,0,9,-1,1,0,0,0,0
28,296.222222222233,1,109,1,91,2,0,1,1,0,-70.0149253731343,0.0068821,0,0,0,0,0,0,1,0,0,0.0068821,0,10,-1,1,0,0,0,0
29,303.111111111118,1,109,1,90,2,0,1,2,0,-85.1699675324675,0.2000366,0,0,0,0,0,0,1,1,0,0.2000366,0,10,-1,1,0,0,1,0
30,313.200000000002,1,109,1,90,2,0,1,2,0,-70.0526315789474,0.0060001,0,0,0,0,0,0,2,0,0,0.0060001,0,10,-1,2,0,0,1,0
31,323.288888888886,1,109,1,90,2,0,1,1,0,-67.1410256410256,0.0049994,0,0,0,0,0,0,1,0,0,0.0049994,0,10,-1,0,0,0,1,0
32,326.399999999996,1,109,1,90,2,0,1,3,0,-67.4054054054054,0.0069695,0,0,0,0,0,0,3,0,0,0.0069695,0,10,-1,0,0,0,0,0
33,333.37777777777,1,109,1,90,2,0,1,1,0,-67.1315789473684,0.0069708,0,0,0,0,0,0,1,0,0,0.0069708,0,9,-1,0,0,0,1,0
34,343.466666666654,1,109,1,90,2,0,1,1,0,-69.0238095238095,0.0075643,0,0,0,0,0,0,1,0,0,0.0075643,0,9,-1,0,0,0,0,0
35,346.533333333319,1,109,1,90,2,1,0,1,0,-30.0075757575758,0.0061912,1,0,0,0,0,0,1,0,0,0.0061912,0,9,-1,1,0,0,0,0
36,353.555555555538,1,110,1,89,2,0,1,2,0,-68.2432432432432,0.0070537,0,0,0,0,0,0,2,0,0,0.0070537,0,10,-1,0,0,0,0,0
37,356.622222222203,1,110,1,90,2,1,0,1,0,-29.1029411764706,0.0052916,1,0,0,0,0,0,1,0,0,0.0052916,0,10,-1,0,0,0,0,0
38,366.711111111087,1,111,1,90,2,1,0,1,0,-29.0909090909091,0.0054235,1,0,0,0,0,0,1,0,0,0.0054235,0,11,-1,0,0,0,0,0
39,376.799999999971,1,112,1,90,2,0,1,3,0,-82.2118055555556,0.3603936,0,0,0,0,0,0,2,1,0,0.3603936,0,12,-1,2,0,0,1,0
40,383.733333333301,1,112,1,90,2,0,1,4,0,-86.2259615384615,0.1431996,0,0,0,0,0,0,2,1,0,0.1431996,0,12,-1,2,0,0,1,0
41,393.822222222185,1,112,1,91,2,0,1,1,0,-67.0833333333333,0.0079945,0,0,0,0,0,0,1,0,0,0.0079945,0,12,-1,0,0,0,1,0
42,396.933333333295,1,112,1,91,2,1,0,1,0,-27.0294117647059,0.0040002,1,0,0,0,0,0,1,0,0,0.0040002,0,12,-1,0,0,0,1,0
43,403.911111111069,1,113,1,91,2,0,1,1,0,-67.0779220779221,0.0065246,0,0,0,0,0,0,1,0,0,0.0065246,0,13,-1,0,0,0,1,0
44,407.022222222179,1,113,1,91,2,1,0,1,0,-29.0138888888889,0.0035092,1,0,0,0,0,0,1,0,0,0.0035092,0,13,-1,0,0,0,0,0
45,413.999999999953,1,114,1,91,2,0,1,1,0,-67.0723684210526,0.0057786,0,0,0,0,0,0,1,0,0,0.0057786,0,14,-1,0,0,0,1,0
46,424.088888888837,1,114,1,91,2,0,1,1,0,-69.0666666666667,0.0079989,0,0,0,0,0,0,1,0,0,0.0079989,0,14,-1,0,0,0,0,0
47,437.199999999942,1,114,1,91,2,0,1,2,0,-68.0571428571428,0.0049728,0,0,0,0,0,0,2,0,0,0.0049728,0,14,-1,0,0,0,0,0
48,444.222222222161,1,114,1,92,2,0,1,1,0,-69.0555555555556,0.0070138,0,0,0,0,0,0,1,0,0,0.0070138,0,14,-1,0,0,0,0,0
49,447.288888888826,1,114,1,92,2,0,0,0,1,0,0.0049729,0,0,0,0,0,0,0,0,0,0.0049729,0,14,-1,0,0,0,0,0
