time,parentId,remainingUnitsAtRelease
125.644444444454,71,3
142.444444444456,32,2
145.688888888901,100,2
152.488888888902,43,1
162.533333333349,79,2
172.577777777795,121,1
215.777777777801,111,4
265.955555555581,140,2
276.044444444465,39,1
286.133333333349,7,1
346.533333333319,35,1
356.622222222203,75,1
366.711111111087,59,1
396.933333333295,96,1
407.022222222179,168,3
507.733333333241,163,3
534.799999999924,90,1
587.866666666633,87,1
597.911111111086,10,3
855.511111111291,209,1
875.555555555751,225,3
895.600000000211,123,3
915.644444444672,82,3
925.688888889124,94,4
1079.15555555591,83,2
1099.20000000037,101,2
1106.13333333371,255,2
1119.24444444483,253,2
1156.22222222264,200,1
1166.26666666709,204,1
1269.55555555606,276,4
1286.62222222274,256,3
1289.60000000052,282,2
1319.68888888944,201,1
1336.80000000056,134,2
1346.84444444501,294,2
1366.93333333392,15,2
1370.7111111117,42,1
1400.75555555617,304,2
1410.80000000062,117,5
1420.84444444507,97,2
1450.97777777843,316,1
1461.02222222288,234,3
1471.06666666734,40,2
1497.24444444513,299,2
1551.28888888962,178,2
1561.33333333407,21,2
1677.73333333417,326,4
1747.86666666756,334,2
1767.91111111202,356,2
1787.95555555648,361,3
1858.13333333431,67,2
1873.77777777877,207,1
1873.77777777877,295,2
1920.13333333436,77,1
2054.26666666777,112,2
2054.26666666777,141,1
2083.06666666764,379,1
2083.06666666764,396,2
2093.15555555649,388,1
2234.13333333366,62,1
2254.31111111135,279,1
2264.40000000019,420,3
2274.48888888904,331,2
2324.79999999993,435,3
2344.93333333318,184,3
2366.4444444442,203,1
2467.19999999932,327,1
2477.28888888816,384,1
2527.59999999906,465,3
2547.77777777675,442,1
2566.53333333222,477,1
2567.91111110999,479,4
2576.62222222107,437,1
2616.88888888756,462,2
2637.02222222081,49,2
2647.11111110965,220,2
2759.2444444425,456,2
2777.99999999797,167,2
2949.24444444168,367,1
2989.51111110817,525,1
3039.86666666351,383,2
3039.86666666351,413,3
3091.55555555218,492,2
3291.51111110687,57,1
3351.99999999549,323,2
3403.68888888416,318,2
3423.82222221741,481,1
3443.95555555065,93,2
3564.71111110569,585,2
3583.68888888338,131,2
