time,parentId,remainingUnitsAtRelease
3604.97777777218,142,3
3694.44444443846,559,1
3805.11111110465,583,1
3806.31111110464,222,3
3815.19999999349,382,2
3825.28888888234,613,4
3856.62222221554,592,1
3886.79999999318,521,1
3906.97777777088,320,2
3957.33333332621,635,2
3987.5555555483,641,1
4007.68888888155,476,4
4026.66666665925,628,2
4036.75555554809,524,4
4237.68888888201,603,3
4257.73333332657,646,3
4317.82222221581,510,3
4357.86666666049,711,3
4378.97777777173,579,3
4448.08888888325,686,3
4478.13333332787,531,5
4518.222222217,702,2
4539.42222221712,670,1
4568.31111110618,474,1
4588.35555555075,697,1
4608.39999999531,68,3
4628.44444443987,713,1
4668.533333329,196,2
4849.15555555229,488,1
4919.37777777493,768,1
4929.42222221943,756,4
4969.555555553,735,4
4969.555555553,778,7
4979.5999999975,802,1
5230.22222222121,755,4
5231.06666666566,663,3
5301.24444444385,678,4
5321.28888888841,843,1
5370.57777777759,848,1
5420.75555555567,821,1
5520.97777777848,789,2
5520.97777777848,860,1
5568.04444444543,733,3
5718.48888889076,771,4
5738.53333333532,817,4
5828.71111111363,610,2
5851.86666666933,872,3
5851.86666666933,905,3
5878.84444444726,868,2
5878.84444444726,900,1
5919.02222222528,867,2
5932.08888889202,926,1
5952.13333333659,497,3
5999.24444444798,898,1
6012.31111111472,907,2
6022.35555555922,945,1
6132.5777777821,849,2
6192.75555556023,936,2
6202.80000000474,963,1
6219.64444444928,825,2
6239.68888889384,845,1
6249.73333333835,927,1
6252.88888889392,953,5
6259.77777778285,977,1
6470.26666667298,721,3
6510.31111111766,950,2
6530.35555556223,786,2
6540.40000000673,935,1
6550.44444445123,958,4
6563.15555556242,1014,1
6583.20000000698,1020,2
6740.93333334125,1031,2
6743.60000000793,790,1
6760.97777778581,595,2
6763.6444444525,1032,3
6861.15555556418,864,1
6863.77777778642,1036,2
6873.82222223092,1054,1
6893.86666667549,1019,3
6903.91111111999,1060,2
6931.28888889793,994,1
6931.33333334238,1064,2
6984.13333334269,1073,1
7204.66666667732,688,2
7204.66666667732,1071,2
7214.71111112183,1078,3
7244.75555556645,1062,2
7254.80000001095,512,1
7302.2666666779,680,1
7312.31111112241,1090,1
7345.02222223371,1087,0
7412.53333334522,1058,1
7442.62222223429,925,1
7442.62222223429,1105,1
7472.66666667891,942,4
7512.75555556803,1048,1
7603.02222223523,1092,4
7623.11111112424,454,2
7635.77777779098,1069,2
7645.82222223549,912,1
7653.15555556886,723,2
7655.86666667999,775,2
7665.9111111245,1030,1
7683.28888890238,970,3
7695.95555556912,594,3
7706.00000001362,752,2
7818.44444445873,1045,2
7863.73333334789,922,2
7873.77777779239,1118,2
7893.82222223695,1157,1
7913.86666668152,1195,5
8008.84444445986,1169,1
8028.93333334886,1201,2
8064.22222223796,1183,3
8084.26666668252,1163,1
8089.06666668255,286,3
8109.11111112712,1186,1
8139.20000001618,676,3
8164.57777779411,515,1
8174.62222223861,666,3
8204.75555557186,306,3
8259.77777779329,1177,1
8496.62222223428,730,2
8516.75555556732,988,5
8541.60000001141,1265,2
8561.73333334445,1190,1
8577.20000001089,1294,3
8632.26666667675,1231,1
8632.26666667675,1298,1
8662.48888889854,1226,1
8698.04444445358,1248,2
8818.97777778515,424,2
8843.73333334034,1284,3
8853.82222222909,1016,2
8863.91111111783,1203,2
8894.08888889517,1009,4
8914.22222222821,1112,1
8924.31111111695,1243,1
9070.71111111482,901,2
9085.46666667016,1314,1
9095.5555555589,1321,1
9115.68888889194,1304,2
9120.97777778075,1209,2
9141.11111111379,984,4
9196.13333333522,1381,0
9241.82222222344,1296,4
9498.35555555304,1260,1
9518.48888888608,808,2
9553.95555555223,1412,1
9568.79999999646,1431,3
9588.9333333295,1114,4
9674.79999999492,1350,2
9679.59999999485,1443,1
9699.73333332789,1093,1
9704.97777777226,1390,1
9719.86666666093,1167,1
9725.1111111053,1438,1
9739.99999999397,1441,2
9750.08888888271,1237,1
9790.39999999323,1466,3
9795.6444444376,1322,1
9800.48888888198,1440,3
9805.73333332635,1472,2
9810.57777777072,1400,1
9820.66666665946,1369,2
9961.77777776852,960,1
9981.91111110156,1498,2
10002.0444444346,1495,2
10017.111111101,1465,1
10037.2444444341,1388,2
10097.5555555443,1511,1
10102.7999999887,1323,2
10117.6888888774,1402,1
10122.9333333217,1420,2
10133.0222222105,1373,1
10143.1111110992,1315,2
10163.2888888767,1293,2
10167.9999999877,1426,2
10173.3777777654,1484,1
10183.4666666542,1505,3
10203.5999999872,1517,1
10213.688888876,1486,1
10238.5777777645,1492,5
10268.7555555418,1538,2
10349.1999999851,1501,2
10409.6444444287,1448,2
10535.8666666491,1525,3
10586.1777777594,1536,1
10596.2666666482,1489,3
10616.3999999812,1590,3
10631.1111110921,1552,1
10671.3333333137,1415,1
10691.4666666468,1583,1
10701.5555555355,1603,2
10721.6888888686,1601,4
10727.1555555352,1049,1
10741.8222222016,1579,3
10771.999999979,1567,4
10842.4444444224,1616,3
10872.6222221997,1624,1
10882.7111110885,1544,4
10892.7999999772,1627,1
10923.0666666434,1006,3
11053.911111086,1648,1
11325.9999999709,1675,2
11396.5777777476,1670,1
11497.1111110795,1695,1
11507.1999999683,1555,4
11527.3333333013,1535,4
11713.0666666319,1584,3
11750.6666666314,1551,3
11770.7999999644,1705,2
11780.8888888532,1513,3
11783.5555555198,776,2
11813.7777777416,1738,1
11823.8666666303,1694,2
11884.2666666294,1649,3
11891.6888888515,519,1
11894.3555555182,1730,3
11904.4444444069,1586,3
11914.5333332957,1763,3
11921.8666666289,1414,1
11931.9555555176,1757,2
11952.0888888507,1765,2
12042.755555516,1723,2
12153.5555555144,1779,1
12359.5999999558,1740,2
12375.2888888445,1814,2
12445.7777777324,1560,1
12465.9111110654,1839,2
12475.9999999542,1803,3
12518.3999999535,1800,1
12548.5777777309,1818,1
12566.6222221751,1640,1
12566.6222221751,1849,1
12576.7111110638,1832,2
12606.8888888411,1822,3
12820.5333332825,1881,4
12838.6222221711,1679,2
12858.7555555041,1871,3
12860.7555555041,1816,1
12888.9333332815,1858,2
12911.1111110589,1853,4
12919.1111110588,1617,4
12931.244444392,1910,1
12951.377777725,1865,1
12991.6444443911,1899,2
13072.1777777233,1687,2
13082.266666612,1276,1
13090.3999999452,1924,2
13092.3555555007,1729,4
13313.7777777197,1927,1
13384.2666666076,1958,2
13394.3555554963,1971,1
13414.4888888294,1969,2
13434.6222221624,1939,4
13474.8444443841,1954,2
13603.8666666044,1710,1
13943.6888888217,1936,4
14006.711111043,1137,2
14077.1555554864,2032,1
14087.2444443752,1892,1
14097.3333332639,2003,2
14147.7333332632,1952,1
14155.1111110408,1848,3
14165.1999999296,1897,4
14195.3777777069,2009,3
14205.4666665957,1798,3
14215.5555554844,2008,5
14225.6444443731,1842,1
14235.7333332619,1597,4
14245.8222221506,1847,1
14296.1777777054,1464,3
14376.7111110376,1920,1
14376.7111110376,2050,2
14386.7999999263,2089,3
14396.8888888151,2041,1
