bot_id;sample_count;expected_mean_sec;actual_mean_sec;gap_mean_sec;gap_var_sec2;gap_std_sec;abs_err_mean_sec;stop_go_mean;queue_stop_go_mean;conflict_wait_mean_sec
1;19;15.0379262555159;16.7132851051424;1.67535884962652;8.3573632022802;2.89091044521967;1.93432064865113;0;0;0.297076023390039
3;33;12.9652422507275;16.8697834798106;3.90454122908313;11.4531900894978;3.38425620919838;4.07460520680135;0;0;0.507744107742394
4;26;12.279412254837;15.0475349836869;2.76812272884989;15.4353523587518;3.9287850995889;3.99279451072498;0;0;0.651282051279539
5;27;13.4478956243271;16.9795721741342;3.53167654980707;13.35798778355;3.65485810717051;4.44649136462908;0;0;0.265020576131319
7;30;14.9758177014312;18.1216968930931;3.14587919166186;14.618061101099;3.82335730753732;3.70116265000061;0.0666666666666667;0;0.399999999999321
10;32;13.3319557188135;17.3942916228744;4.06233590406098;8.65856602788541;2.94254414204535;4.22726996904324;0;0;0.440277777775307
11;31;13.1653237453653;16.6443734558608;3.47904971049552;10.9712234877268;3.31228372693626;3.61779197270422;0;0;0.939068100355749
12;21;13.1862760268764;17.4048136753515;4.21853764847511;26.0517636448032;5.1040928326984;5.18184370930882;0;0;0.503703703697637
13;20;15.6726713562373;19.3998340525334;3.72716269629614;10.5155512788475;3.24276907578192;3.83240800676724;0.05;0;0.951111111108696
14;24;15.3391549427401;18.2884712252544;2.94931628251434;7.8075164676946;2.7941933483019;3.21204776405159;0;0;0.294444444444464
