Policy,Bots,Seed,Order batching time per decision (s),Order batching time total (s),Decisions
HGS-M5 (unlimited),45,0,0.0617,310.2,5026
HGS-M5 (unlimited),45,1,0.0623,316.2,5074
HGS-M5 (unlimited),45,2,0.0626,313.5,5006
HGS-M5 (unlimited),45,3,0.0627,318.8,5088
HGS-M5 (unlimited),45,4,0.0622,310.3,4990
HGS-M5 (unlimited),45,5,0.0613,316.8,5165
HGS-M5 (unlimited),45,6,0.0549,276.8,5040
HGS-M5 (unlimited),45,7,0.0550,277.9,5054
HGS-M5 (unlimited),45,8,0.0548,276.3,5044
HGS-M5 (unlimited),45,9,0.0545,273.2,5013
"HGS-M5, N=2",45,0,0.0701,387.7,5530
"HGS-M5, N=2",45,1,0.0716,405.6,5666
"HGS-M5, N=2",45,2,0.0679,358.8,5286
"HGS-M5, N=2",45,3,0.0688,364.6,5302
"HGS-M5, N=2",45,4,0.0691,369.8,5354
"HGS-M5, N=2",45,5,0.0703,379.9,5405
"HGS-M5, N=2",45,6,0.0748,404.7,5409
"HGS-M5, N=2",45,7,0.0743,386.9,5204
"HGS-M5, N=2",45,8,0.0733,390.0,5321
"HGS-M5, N=2",45,9,0.0728,398.1,5471
"HGS-M5, N=3",45,0,0.0640,322.7,5044
"HGS-M5, N=3",45,1,0.0626,312.8,4995
"HGS-M5, N=3",45,2,0.0688,344.8,5011
"HGS-M5, N=3",45,3,0.0689,343.6,4983
"HGS-M5, N=3",45,4,0.0684,335.1,4899
"HGS-M5, N=3",45,5,0.0674,338.5,5021
"HGS-M5, N=3",45,6,0.0685,342.2,4993
"HGS-M5, N=3",45,7,0.0687,342.2,4981
"HGS-M5, N=3",45,8,0.0675,336.8,4988
"HGS-M5, N=3",45,9,0.0689,342.2,4967
"HGS-M5, N=4",45,0,0.0678,341.0,5026
"HGS-M5, N=4",45,1,0.0691,350.6,5074
"HGS-M5, N=4",45,2,0.0698,348.4,4993
"HGS-M5, N=4",45,3,0.0695,353.5,5085
"HGS-M5, N=4",45,4,0.0671,335.6,5005
"HGS-M5, N=4",45,5,0.0672,345.1,5133
"HGS-M5, N=4",45,6,0.0665,334.6,5032
"HGS-M5, N=4",45,7,0.0680,343.9,5054
"HGS-M5, N=4",45,8,0.0675,338.3,5010
"HGS-M5, N=4",45,9,0.0678,340.9,5028
"HGS-M5, 1 packing station",45,0,0.0657,353.6,5379
"HGS-M5, 1 packing station",45,1,0.0665,365.8,5499
"HGS-M5, 1 packing station",45,2,0.0660,362.5,5493
"HGS-M5, 1 packing station",45,3,0.0684,434.1,6348
"HGS-M5, 1 packing station",45,4,0.0655,320.7,4900
"HGS-M5, 1 packing station",45,5,0.0656,328.2,5007
"HGS-M5, 1 packing station",45,6,0.0676,391.6,5792
"HGS-M5, 1 packing station",45,7,0.0679,423.7,6239
"HGS-M5, 1 packing station",45,8,0.0661,365.1,5519
"HGS-M5, 1 packing station",45,9,0.0675,429.2,6354
"HGS-M5, 2 packing stations",45,0,0.0649,323.4,4980
"HGS-M5, 2 packing stations",45,1,0.0664,324.1,4884
"HGS-M5, 2 packing stations",45,2,0.0707,343.6,4862
"HGS-M5, 2 packing stations",45,3,0.0705,343.9,4879
"HGS-M5, 2 packing stations",45,4,0.0707,337.7,4778
"HGS-M5, 2 packing stations",45,5,0.0702,342.2,4872
"HGS-M5, 2 packing stations",45,6,0.0688,329.3,4786
"HGS-M5, 2 packing stations",45,7,0.0690,331.8,4806
"HGS-M5, 2 packing stations",45,8,0.0706,344.5,4880
"HGS-M5, 2 packing stations",45,9,0.0700,345.3,4931
"HGS-M5, 3 packing stations",45,0,0.0708,355.7,5026
"HGS-M5, 3 packing stations",45,1,0.0708,359.2,5074
"HGS-M5, 3 packing stations",45,2,0.0707,354.1,5006
"HGS-M5, 3 packing stations",45,3,0.0709,360.8,5088
"HGS-M5, 3 packing stations",45,4,0.0633,316.1,4990
"HGS-M5, 3 packing stations",45,5,0.0596,308.0,5165
"HGS-M5, 3 packing stations",45,6,0.0656,330.8,5040
"HGS-M5, 3 packing stations",45,7,0.0573,289.8,5054
"HGS-M5, 3 packing stations",45,8,0.0694,349.9,5044
"HGS-M5, 3 packing stations",45,9,0.0699,350.5,5013
