Policy,Bots,Items,Lines,Orders,Pile-on,Trips,Trips/order,m/line,EOR (kJ/order),Turnover (s),Station idle (%)
HGS-M5 (unlimited),45,8151.3,5289.6,3323.4,8.362,397.5,0.1196,21.57,3.938,399.0,5.71
"HGS-M5, N=2",45,7973.1,5160.4,3347.9,5.151,651.0,0.1945,27.44,4.815,314.6,7.78
"HGS-M5, N=3",45,8155.5,5282.7,3323.1,7.696,432.2,0.1301,22.14,4.017,402.3,5.67
"HGS-M5, N=4",45,8154.7,5285.8,3324.1,8.360,397.7,0.1196,21.58,3.933,399.5,5.68
"HGS-M5, 1 packing station",45,8026.5,5204.3,3367.5,4.193,804.6,0.2390,31.21,5.749,282.7,7.16
"HGS-M5, 2 packing stations",45,8132.9,5276.1,3350.4,7.248,462.9,0.1382,23.22,4.204,377.9,5.93
"HGS-M5, 3 packing stations",45,8151.3,5289.6,3323.4,8.362,397.5,0.1196,21.57,3.938,399.0,5.71
