#TimeStamp;PodsHandledAtIStations;PodsHandledAtOStations;ActiveIStations;ActiveOStations;IStationIdleTimes;OStationIdleTimes;IStationActiveTimes;OStationActiveTimes;IStationRequests;OStationRequests;IStationBundleBacklog;OStationItemBacklog;IStationAssignedBots;OStationAssignedBots;IStationPodsHandled;OStationPodsHandled;IStationBundlesStored;OStationItemsPicked
0;0;0;6;12;0/0,1/0,2/0,3/0,4/0,5/0;0/0,1/0,2/0,3/0,4/0,5/0,6/0,7/0,8/0,9/0,10/0,11/0;0/0,1/0,2/0,3/0,4/0,5/0;0/0,1/0,2/0,3/0,4/0,5/0,6/0,7/0,8/0,9/0,10/0,11/0;0/0,1/0,2/0,3/0,4/0,5/0;0/10,1/8,2/7,3/6,4/8,5/13,6/13,7/9,8/10,9/10,10/10,11/11;0/0,1/0,2/0,3/0,4/0,5/0;0/10,1/8,2/7,3/6,4/8,5/13,6/13,7/9,8/10,9/10,10/10,11/11;0/3,1/3,2/2,3/2,4/2,5/3;0/3,1/2,2/2,3/2,4/3,5/3,6/3,7/2,8/2,9/2,10/3,11/3;0/0,1/0,2/0,3/0,4/0,5/0;0/0,1/0,2/0,3/0,4/0,5/0,6/0,7/0,8/0,9/0,10/0,11/0;0/0,1/0,2/0,3/0,4/0,5/0;0/0,1/0,2/0,3/0,4/0,5/0,6/0,7/0,8/0,9/0,10/0,11/0
59.99;0;0;6;12;0/59.99,1/54.13,2/59.99,3/59.57,4/52.48,5/59.99;0/52.78,1/58.12,2/49.44,3/42.58,4/59.99,5/42.58,6/59.99,7/59.99,8/32.18,9/34.27,10/36.53,11/53.37;0/59.99,1/59.99,2/59.99,3/59.99,4/59.99,5/59.99;0/59.99,1/59.99,2/59.99,3/59.99,4/59.99,5/59.99,6/59.99,7/59.99,8/59.99,9/59.99,10/59.99,11/59.99;0/20,1/18,2/20,3/19,4/20,5/16;0/0,1/0,2/0,3/0,4/0,5/0,6/0,7/0,8/0,9/0,10/0,11/0;0/28,1/28,2/28,3/24,4/25,5/27;0/9,1/7,2/5,3/5,4/8,5/11,6/13,7/9,8/8,9/9,10/9,11/10;0/3,1/3,2/2,3/2,4/2,5/3;0/3,1/2,2/2,3/2,4/3,5/3,6/3,7/2,8/2,9/2,10/3,11/3;0/0,1/0,2/0,3/0,4/0,5/0;0/0,1/0,2/0,3/0,4/0,5/0,6/0,7/0,8/0,9/0,10/0,11/0;0/0,1/1,2/0,3/1,4/1,5/0;0/1,1/1,2/2,3/2,4/0,5/2,6/0,7/0,8/3,9/3,10/3,11/1
119.97;6;0;6;12;0/80.59,1/58.88,2/65.29,3/65.14,4/60.19,5/87.93;0/53.39,1/58.76,2/50.41,3/44.21,4/77,5/42.98,6/77.7,7/85.68,8/32.67,9/34.95,10/37.14,11/54.15;0/119.97,1/119.97,2/119.97,3/119.97,4/119.97,5/119.97;0/119.97,1/119.97,2/119.97,3/119.97,4/119.97,5/119.97,6/119.97,7/119.97,8/119.97,9/119.97,10/119.97,11/119.97;0/21,1/18,2/21,3/21,4/23,5/17;0/0,1/0,2/0,3/0,4/0,5/0,6/0,7/0,8/0,9/0,10/0,11/0;0/28,1/24,2/26,3/23,4/25,5/24;0/7,1/5,2/10,3/8,4/6,5/9,6/12,7/10,8/6,9/11,10/9,11/9;0/3,1/3,2/2,3/2,4/2,5/3;0/3,1/2,2/2,3/2,4/3,5/3,6/3,7/2,8/2,9/2,10/3,11/3;0/1,1/1,2/1,3/1,4/1,5/1;0/0,1/0,2/0,3/0,4/0,5/0,6/0,7/0,8/0,9/0,10/0,11/0;0/4,1/7,2/6,3/6,4/6,5/4;0/7,1/7,2/8,3/8,4/5,5/8,6/5,7/4,8/9,9/9,10/9,11/7
179.98;11;0;6;12;0/100.36,1/70.59,2/77.45,3/107.17,4/120.2,5/92.57;0/54.09,1/59.84,2/50.94,3/45.01,4/77.61,5/43.92,6/78.2,7/86.82,8/33.3,9/35.76,10/37.81,11/54.89;0/179.98,1/179.98,2/179.98,3/179.98,4/179.98,5/179.98;0/179.98,1/179.98,2/179.98,3/179.98,4/179.98,5/179.98,6/179.98,7/179.98,8/179.98,9/179.98,10/179.98,11/179.98;0/21,1/19,2/20,3/21,4/21,5/16;0/0,1/4,2/0,3/0,4/0,5/0,6/0,7/3,8/0,9/0,10/0,11/0;0/26,1/23,2/23,3/23,4/25,5/22;0/8,1/13,2/8,3/7,4/13,5/9,6/14,7/11,8/5,9/14,10/10,11/10;0/3,1/3,2/2,3/2,4/2,5/3;0/3,1/2,2/2,3/2,4/3,5/3,6/3,7/2,8/2,9/2,10/3,11/3;0/2,1/2,2/2,3/2,4/1,5/2;0/0,1/0,2/0,3/0,4/0,5/0,6/0,7/0,8/0,9/0,10/0,11/0;0/8,1/11,2/11,3/8,4/6,5/9;0/13,1/13,2/13,3/14,4/11,5/14,6/11,7/10,8/15,9/15,10/15,11/13
239.98;20;6;6;12;0/118.02,1/91.03,2/105.8,3/140.85,4/140.46,5/110.47;0/55.47,1/60.78,2/51.58,3/45.97,4/77.99,5/45.05,6/79,7/88.11,8/63.62,9/36.93,10/38.57,11/55.87;0/239.98,1/239.98,2/239.98,3/239.98,4/239.98,5/239.98;0/239.98,1/239.98,2/239.98,3/239.98,4/239.98,5/239.98,6/239.98,7/239.98,8/239.98,9/239.98,10/239.98,11/239.98;0/26,1/19,2/20,3/20,4/22,5/18;0/0,1/0,2/0,3/0,4/0,5/0,6/0,7/0,8/0,9/0,10/0,11/0;0/28,1/23,2/23,3/24,4/24,5/22;0/9,1/9,2/7,3/10,4/10,5/8,6/13,7/10,8/8,9/12,10/14,11/13;0/3,1/3,2/2,3/2,4/2,5/3;0/3,1/2,2/2,3/2,4/3,5/3,6/3,7/2,8/2,9/2,10/3,11/3;0/4,1/4,2/3,3/3,4/3,5/3;0/0,1/0,2/0,3/0,4/1,5/1,6/0,7/0,8/1,9/1,10/1,11/1;0/13,1/15,2/14,3/10,4/10,5/13;0/19,1/19,2/19,3/20,4/17,5/20,6/17,7/16,8/18,9/21,10/21,11/19
299.99;27;11;6;12;0/150.82,1/131.11,2/131.23,3/162.76,4/200.46,5/146.89;0/56.5,1/61.8,2/52.31,3/46.77,4/78.91,5/45.66,6/79.49,7/88.65,8/64.78,9/37.75,10/38.99,11/56.41;0/299.99,1/299.99,2/299.99,3/299.99,4/299.99,5/299.99;0/299.99,1/299.99,2/299.99,3/299.99,4/299.99,5/299.99,6/299.99,7/299.99,8/299.99,9/299.99,10/299.99,11/299.99;0/20,1/20,2/19,3/21,4/20,5/16;0/0,1/0,2/0,3/0,4/0,5/4,6/0,7/0,8/0,9/0,10/0,11/0;0/27,1/24,2/22,3/23,4/24,5/21;0/6,1/6,2/9,3/11,4/12,5/9,6/9,7/8,8/9,9/8,10/12,11/9;0/3,1/3,2/2,3/2,4/2,5/3;0/3,1/2,2/2,3/2,4/3,5/3,6/3,7/2,8/2,9/2,10/3,11/3;0/5,1/5,2/4,3/5,4/3,5/5;0/1,1/1,2/1,3/1,4/1,5/1,6/0,7/1,8/1,9/1,10/1,11/1;0/15,1/17,2/17,3/14,4/10,5/16;0/25,1/25,2/25,3/26,4/23,5/26,6/23,7/22,8/24,9/27,10/27,11/25
359.98;35;12;6;12;0/191.07,1/151.67,2/161.34,3/201.2,4/220.82,5/176.16;0/57.71,1/62.29,2/53.14,3/47.67,4/80.01,5/52.38,6/79.96,7/89.5,8/65.74,9/38.49,10/39.64,11/56.9;0/359.98,1/359.98,2/359.98,3/359.98,4/359.98,5/359.98;0/359.98,1/359.98,2/359.98,3/359.98,4/359.98,5/359.98,6/359.98,7/359.98,8/359.98,9/359.98,10/359.98,11/359.98;0/22,1/19,2/19,3/21,4/22,5/17;0/1,1/0,2/0,3/0,4/0,5/0,6/0,7/0,8/0,9/0,10/0,11/0;0/27,1/24,2/21,3/23,4/24,5/21;0/8,1/9,2/9,3/12,4/10,5/9,6/10,7/8,8/7,9/12,10/11,11/10;0/3,1/3,2/2,3/2,4/2,5/3;0/3,1/2,2/2,3/2,4/3,5/3,6/3,7/2,8/2,9/2,10/3,11/3;0/6,1/7,2/5,3/6,4/5,5/6;0/1,1/1,2/1,3/1,4/1,5/1,6/1,7/1,8/1,9/1,10/1,11/1;0/17,1/21,2/20,3/16,4/14,5/19;0/31,1/31,2/31,3/32,4/29,5/31,6/29,7/28,8/30,9/33,10/33,11/31
419.97;42;23;6;12;0/201.29,1/211.65,2/201.81,3/241.32,4/270.92,5/191.29;0/58.58,1/62.91,2/53.82,3/48.45,4/80.74,5/60.57,6/81.2,7/90.69,8/66.4,9/39.04,10/40,11/58.02;0/419.97,1/419.97,2/419.97,3/419.97,4/419.97,5/419.97;0/419.97,1/419.97,2/419.97,3/419.97,4/419.97,5/419.97,6/419.97,7/419.97,8/419.97,9/419.97,10/419.97,11/419.97;0/21,1/17,2/20,3/20,4/20,5/16;0/2,1/0,2/0,3/0,4/0,5/0,6/0,7/0,8/0,9/0,10/0,11/2;0/25,1/24,2/22,3/22,4/23,5/21;0/10,1/13,2/9,3/7,4/10,5/9,6/7,7/8,8/9,9/8,10/8,11/10;0/3,1/3,2/2,3/2,4/2,5/3;0/3,1/2,2/2,3/2,4/3,5/3,6/3,7/2,8/2,9/2,10/3,11/3;0/8,1/7,2/6,3/7,4/6,5/8;0/2,1/2,2/2,3/2,4/2,5/2,6/1,7/2,8/2,9/2,10/2,11/2;0/22,1/21,2/22,3/18,4/15,5/23;0/37,1/36,2/37,3/38,4/35,5/37,6/35,7/34,8/36,9/39,10/39,11/37
479.96;50;27;6;12;0/241.53,1/224.43,2/247.67,3/281.45,4/301,5/230.18;0/59.54,1/63.53,2/55.01,3/49.56,4/81.54,5/61.11,6/82.02,7/94.04,8/67.3,9/40.08,10/40.69,11/58.69;0/479.96,1/479.96,2/479.96,3/479.96,4/479.96,5/479.96;0/479.96,1/479.96,2/479.96,3/479.96,4/479.96,5/479.96,6/479.96,7/479.96,8/479.96,9/479.96,10/479.96,11/479.96;0/22,1/20,2/19,3/19,4/19,5/16;0/0,1/0,2/0,3/0,4/0,5/0,6/0,7/0,8/0,9/0,10/0,11/0;0/26,1/24,2/22,3/23,4/23,5/20;0/11,1/13,2/9,3/12,4/13,5/9,6/6,7/12,8/9,9/7,10/9,11/9;0/3,1/3,2/2,3/2,4/2,5/3;0/3,1/2,2/2,3/2,4/3,5/3,6/3,7/2,8/2,9/2,10/3,11/3;0/9,1/10,2/7,3/8,4/7,5/9;0/2,1/2,2/3,3/2,4/2,5/2,6/3,7/2,8/3,9/2,10/2,11/2;0/24,1/26,2/24,3/20,4/18,5/26;0/43,1/42,2/43,3/44,4/41,5/43,6/41,7/39,8/42,9/45,10/45,11/43
539.97;57;31;6;12;0/281.92,1/242.86,2/301.54,3/317.74,4/344.04,5/252.35;0/60.36,1/64.09,2/56.07,3/50.02,4/82.03,5/113.44,6/82.54,7/98.9,8/67.81,9/40.65,10/61.74,11/59.31;0/539.97,1/539.97,2/539.97,3/539.97,4/539.97,5/539.97;0/539.97,1/539.97,2/539.97,3/539.97,4/539.97,5/539.97,6/539.97,7/539.97,8/539.97,9/539.97,10/539.97,11/539.97;0/20,1/18,2/18,3/21,4/21,5/16;0/1,1/0,2/0,3/0,4/0,5/0,6/0,7/1,8/0,9/0,10/4,11/2;0/26,1/22,2/23,3/22,4/23,5/19;0/11,1/11,2/9,3/12,4/12,5/12,6/9,7/9,8/8,9/10,10/11,11/10;0/3,1/3,2/2,3/2,4/2,5/3;0/3,1/2,2/2,3/2,4/3,5/3,6/3,7/2,8/2,9/2,10/3,11/3;0/10,1/11,2/7,3/10,4/8,5/11;0/3,1/2,2/3,3/2,4/2,5/2,6/3,7/3,8/3,9/2,10/3,11/3;0/26,1/30,2/24,3/23,4/20,5/29;0/49,1/48,2/49,3/50,4/47,5/43,6/47,7/45,8/48,9/51,10/49,11/49
600;64;35;6;12;0/302.42,1/302.89,2/312.26,3/352.14,4/381.39,5/282.1;0/60.95,1/64.71,2/56.91,3/50.88,4/83.67,5/125.57,6/83.05,7/99.32,8/68.34,9/41.56,10/62.17,11/60.23;0/600,1/600,2/600,3/600,4/600,5/600;0/600,1/600,2/600,3/600,4/600,5/600,6/600,7/600,8/600,9/600,10/600,11/600;0/20,1/17,2/18,3/18,4/19,5/15;0/2,1/3,2/0,3/0,4/0,5/0,6/0,7/0,8/0,9/3,10/0,11/0;0/24,1/22,2/20,3/21,4/23,5/18;0/12,1/14,2/5,3/11,4/11,5/13,6/9,7/8,8/9,9/14,10/14,11/6;0/3,1/3,2/2,3/2,4/2,5/3;0/3,1/2,2/2,3/2,4/3,5/3,6/3,7/2,8/2,9/2,10/3,11/3;0/12,1/11,2/9,3/11,4/9,5/12;0/3,1/3,2/3,3/3,4/2,5/3,6/3,7/3,8/3,9/3,10/3,11/3;0/30,1/30,2/29,3/25,4/22,5/32;0/55,1/54,2/55,3/56,4/53,5/48,6/53,7/51,8/54,9/57,10/55,11/55
