#TimeStamp;PodsHandledAtIStations;PodsHandledAtOStations;ActiveIStations;ActiveOStations;IStationIdleTimes;OStationIdleTimes;IStationActiveTimes;OStationActiveTimes;IStationRequests;OStationRequests;IStationBundleBacklog;OStationItemBacklog;IStationAssignedBots;OStationAssignedBots;IStationPodsHandled;OStationPodsHandled;IStationBundlesStored;OStationItemsPicked
0;0;0;2;2;0/0,1/0;0/0,1/0;0/0,1/0;0/0,1/0;0/0,1/0;0/12,1/11;0/0,1/0;0/12,1/11;0/3,1/2;0/5,1/5;0/0,1/0;0/0,1/0;0/0,1/0;0/0,1/0
60;1;0;2;2;0/35.96,1/52.84;0/32.22,1/35.51;0/60,1/60;0/60,1/60;0/0,1/9;0/0,1/0;0/1,1/15;0/9,1/13;0/3,1/2;0/5,1/5;0/1,1/0;0/0,1/0;0/3,1/1;0/3,1/3
119.96;3;0;2;2;0/80.04,1/57.29;0/32.4,1/35.64;0/119.96,1/119.96;0/119.96,1/119.96;0/1,1/7;0/0,1/0;0/1,1/9;0/7,1/12;0/3,1/2;0/5,1/5;0/2,1/1;0/0,1/0;0/4,1/7;0/9,1/9
179.96;4;1;2;2;0/140.04,1/90.31;0/32.62,1/35.73;0/179.96,1/179.96;0/179.96,1/179.96;0/1,1/4;0/0,1/0;0/1,1/8;0/7,1/9;0/3,1/2;0/5,1/5;0/2,1/2;0/1,1/0;0/4,1/9;0/15,1/15
239.96;7;2;2;2;0/190.09,1/110.49;0/32.8,1/35.87;0/239.96,1/239.96;0/239.96,1/239.96;0/0,1/3;0/0,1/1;0/0,1/4;0/8,1/7;0/3,1/2;0/5,1/5;0/3,1/4;0/1,1/1;0/5,1/13;0/21,1/21
299.96;9;2;2;2;0/250.09,1/154.36;0/33.16,1/36.27;0/299.96,1/299.96;0/299.96,1/299.96;0/1,1/1;0/0,1/0;0/1,1/2;0/6,1/7;0/3,1/2;0/5,1/5;0/3,1/6;0/1,1/1;0/5,1/15;0/27,1/27
360;12;4;2;2;0/300.13,1/190.53;0/33.64,1/36.71;0/360,1/360;0/360,1/360;0/0,1/0;0/0,1/0;0/0,1/0;0/11,1/9;0/3,1/2;0/5,1/5;0/4,1/8;0/2,1/2;0/6,1/17;0/33,1/33
420;12;6;2;2;0/360.13,1/250.53;0/34.04,1/37.11;0/420,1/420;0/420,1/420;0/0,1/0;0/0,1/0;0/1,1/0;0/10,1/7;0/3,1/2;0/5,1/5;0/4,1/8;0/3,1/3;0/6,1/17;0/39,1/39
480;13;6;2;2;0/410.13,1/310.53;0/34.44,1/37.6;0/480,1/480;0/480,1/480;0/0,1/0;0/0,1/0;0/0,1/0;0/7,1/9;0/3,1/2;0/5,1/5;0/5,1/8;0/3,1/3;0/7,1/17;0/45,1/45
540;13;7;2;2;0/470.13,1/370.53;0/34.76,1/37.82;0/540,1/540;0/540,1/540;0/0,1/0;0/0,1/0;0/0,1/0;0/6,1/7;0/3,1/2;0/5,1/5;0/5,1/8;0/4,1/3;0/7,1/17;0/51,1/51
600;13;9;2;2;0/530.13,1/430.53;0/34.98,1/38.04;0/600,1/600;0/600,1/600;0/0,1/0;0/0,1/0;0/0,1/0;0/10,1/10;0/3,1/2;0/5,1/5;0/5,1/8;0/5,1/4;0/7,1/17;0/57,1/57
659.96;13;10;2;2;0/590.09,1/490.49;0/35.11,1/38.13;0/659.96,1/659.96;0/659.96,1/659.96;0/0,1/0;0/0,1/0;0/0,1/0;0/8,1/6;0/3,1/2;0/5,1/5;0/5,1/8;0/6,1/4;0/7,1/17;0/63,1/63
719.96;13;12;2;2;0/650.09,1/550.49;0/35.29,1/38.36;0/719.96,1/719.96;0/719.96,1/719.96;0/0,1/0;0/0,1/0;0/0,1/0;0/8,1/8;0/3,1/2;0/5,1/5;0/5,1/8;0/7,1/5;0/7,1/17;0/69,1/69
779.96;13;12;2;2;0/710.09,1/610.49;0/35.47,1/38.49;0/779.96,1/779.96;0/779.96,1/779.96;0/0,1/0;0/0,1/0;0/0,1/0;0/7,1/5;0/3,1/2;0/5,1/5;0/5,1/8;0/7,1/5;0/7,1/17;0/75,1/75
839.96;13;14;2;2;0/770.09,1/670.49;0/35.69,1/38.76;0/839.96,1/839.96;0/839.96,1/839.96;0/0,1/0;0/0,1/0;0/0,1/0;0/10,1/8;0/3,1/2;0/5,1/5;0/5,1/8;0/8,1/6;0/7,1/17;0/81,1/81
899.96;13;15;2;2;0/830.09,1/730.49;0/35.91,1/38.89;0/899.96,1/899.96;0/899.96,1/899.96;0/0,1/0;0/0,1/0;0/0,1/0;0/14,1/6;0/3,1/2;0/5,1/5;0/5,1/8;0/9,1/6;0/7,1/17;0/87,1/87
959.96;13;16;2;2;0/890.09,1/790.49;0/36,1/39.07;0/959.96,1/959.96;0/959.96,1/959.96;0/0,1/0;0/0,1/6;0/0,1/0;0/13,1/6;0/3,1/2;0/5,1/5;0/5,1/8;0/9,1/7;0/7,1/17;0/93,1/93
1019.96;13;17;2;2;0/950.09,1/850.49;0/36.13,1/62.09;0/1019.96,1/1019.96;0/1019.96,1/1019.96;0/0,1/0;0/0,1/0;0/0,1/0;0/12,1/10;0/3,1/2;0/5,1/5;0/5,1/8;0/9,1/8;0/7,1/17;0/99,1/96
1079.96;13;17;2;2;0/1010.09,1/910.49;0/36.18,1/62.27;0/1079.96,1/1079.96;0/1079.96,1/1079.96;0/0,1/0;0/0,1/0;0/0,1/0;0/7,1/9;0/3,1/2;0/5,1/5;0/5,1/8;0/9,1/8;0/7,1/17;0/105,1/102
1139.96;13;18;2;2;0/1070.09,1/970.49;0/36.36,1/62.4;0/1139.96,1/1139.96;0/1139.96,1/1139.96;0/0,1/0;0/0,1/0;0/0,1/0;0/2,1/9;0/3,1/2;0/5,1/5;0/5,1/8;0/9,1/9;0/7,1/17;0/111,1/108
1199.96;13;20;2;2;0/1130.09,1/1030.49;0/50.22,1/62.62;0/1199.96,1/1199.96;0/1199.96,1/1199.96;0/0,1/0;0/0,1/0;0/0,1/0;0/8,1/13;0/3,1/2;0/5,1/5;0/5,1/8;0/11,1/9;0/7,1/17;0/115,1/114
1259.96;16;21;2;2;0/1165.56,1/1070.58;0/50.4,1/62.71;0/1259.96,1/1259.96;0/1259.96,1/1259.96;0/0,1/6;0/0,1/0;0/2,1/8;0/6,1/14;0/3,1/2;0/5,1/5;0/7,1/9;0/11,1/10;0/10,1/19;0/121,1/120
1319.96;18;22;2;2;0/1200.31,1/1110.67;0/50.62,1/62.8;0/1319.96,1/1319.96;0/1319.96,1/1319.96;0/0,1/3;0/0,1/0;0/0,1/6;0/8,1/10;0/3,1/2;0/5,1/5;0/8,1/10;0/12,1/10;0/12,1/21;0/127,1/126
1379.96;20;24;2;2;0/1260.31,1/1140.8;0/50.8,1/62.89;0/1379.96,1/1379.96;0/1379.96,1/1379.96;0/0,1/1;0/0,1/0;0/0,1/3;0/11,1/9;0/3,1/2;0/5,1/5;0/8,1/12;0/13,1/11;0/12,1/24;0/133,1/132
1439.96;22;25;2;2;0/1320.31,1/1180.89;0/50.93,1/63.11;0/1439.96,1/1439.96;0/1439.96,1/1439.96;0/0,1/0;0/0,1/0;0/0,1/1;0/10,1/9;0/3,1/2;0/5,1/5;0/8,1/14;0/14,1/11;0/12,1/26;0/139,1/138
1499.96;23;26;2;2;0/1380.31,1/1230.93;0/51.07,1/63.24;0/1499.96,1/1499.96;0/1499.96,1/1499.96;0/0,1/0;0/0,1/0;0/0,1/0;0/9,1/12;0/3,1/2;0/5,1/5;0/8,1/15;0/14,1/12;0/12,1/27;0/145,1/144
1559.96;23;27;2;2;0/1440.31,1/1290.93;0/51.24,1/63.38;0/1559.96,1/1559.96;0/1559.96,1/1559.96;0/0,1/0;0/0,1/0;0/0,1/0;0/9,1/11;0/3,1/2;0/5,1/5;0/8,1/15;0/15,1/12;0/12,1/27;0/151,1/150
1619.96;23;29;2;2;0/1500.31,1/1350.93;0/51.38,1/63.47;0/1619.96,1/1619.96;0/1619.96,1/1619.96;0/0,1/0;0/0,1/0;0/0,1/0;0/9,1/11;0/3,1/2;0/5,1/5;0/8,1/15;0/16,1/13;0/12,1/27;0/157,1/156
1679.96;23;29;2;2;0/1560.31,1/1410.93;0/51.56,1/63.64;0/1679.96,1/1679.96;0/1679.96,1/1679.96;0/0,1/0;0/0,1/0;0/0,1/0;0/9,1/13;0/3,1/2;0/5,1/5;0/8,1/15;0/16,1/13;0/12,1/27;0/163,1/162
1739.96;23;29;2;2;0/1620.31,1/1470.93;0/51.73,1/63.69;0/1739.96,1/1739.96;0/1739.96,1/1739.96;0/0,1/0;0/0,1/0;0/0,1/0;0/9,1/9;0/3,1/2;0/5,1/5;0/8,1/15;0/16,1/13;0/12,1/27;0/169,1/168
1799.96;23;31;2;2;0/1680.31,1/1530.93;0/51.91,1/63.87;0/1799.96,1/1799.96;0/1799.96,1/1799.96;0/0,1/0;0/0,1/0;0/0,1/0;0/9,1/11;0/3,1/2;0/5,1/5;0/8,1/15;0/17,1/14;0/12,1/27;0/175,1/174
1859.96;23;32;2;2;0/1740.31,1/1590.93;0/52.09,1/64;0/1859.96,1/1859.96;0/1859.96,1/1859.96;0/0,1/0;0/0,1/0;0/0,1/0;0/8,1/5;0/3,1/2;0/5,1/5;0/8,1/15;0/18,1/14;0/12,1/27;0/181,1/180
1919.96;23;35;2;2;0/1800.31,1/1650.93;0/52.22,1/64.13;0/1919.96,1/1919.96;0/1919.96,1/1919.96;0/0,1/0;0/0,1/0;0/0,1/0;0/7,1/8;0/3,1/2;0/5,1/5;0/8,1/15;0/19,1/16;0/12,1/27;0/187,1/186
1979.96;23;36;2;2;0/1860.31,1/1710.93;0/52.36,1/64.36;0/1979.96,1/1979.96;0/1979.96,1/1979.96;0/0,1/0;0/0,1/0;0/0,1/0;0/9,1/10;0/3,1/2;0/5,1/5;0/8,1/15;0/20,1/16;0/12,1/27;0/193,1/192
2039.96;23;37;2;2;0/1920.31,1/1770.93;0/52.49,1/64.49;0/2039.96,1/2039.96;0/2039.96,1/2039.96;0/0,1/0;0/0,1/0;0/0,1/0;0/7,1/11;0/3,1/2;0/5,1/5;0/8,1/15;0/20,1/17;0/12,1/27;0/199,1/198
