parent,units,children,firstChildDone,lastChildDone,consolidated,consolidationWait,placed,submitted
35,2,2,303.200000000007,464.31111111104,464.31111111104,161.111111111033,0,242.800000000028
26,4,2,484.488888888808,514.666666666575,514.666666666575,30.1777777777666,0,363.688888888867
10,5,2,517.733333333244,544.755555555488,544.755555555488,27.0222222222437,0,437.199999999942
43,2,2,172.577777777795,567.911111111062,567.911111111062,395.333333333267,0,142.444444444456
24,2,2,376.844444444416,715.244444444512,715.244444444512,338.400000000096,0,296.222222222233
59,2,2,353.599999999983,908.888888889111,908.888888889111,555.288888889128,0,283.022222222239
21,3,2,343.511111111099,969.066666666936,969.066666666936,625.555555555838,0,252.844444444474
177,4,2,815.600000000148,996.044444444736,996.044444444736,180.444444444588,557.866666666609,785.46666666679
223,3,2,1052.17777777811,1086.17777777814,1086.17777777814,34.0000000000271,875.777777777973,955.955555555815
64,3,2,403.955555555514,1162.44444444487,1162.44444444487,758.488888889354,0,353.599999999983
42,2,2,286.133333333349,1280.44444444496,1280.44444444496,994.311111111614,0,205.733333333355
71,5,2,276.044444444465,1322.80000000055,1322.80000000055,1046.75555555609,0,125.644444444454
215,2,2,959.022222222484,1402.93333333395,1402.93333333395,443.911111111464,825.6444444446,878.800000000198
168,5,2,1270.40000000051,1420.84444444507,1420.84444444507,150.444444444564,484.488888888808,1156.40000000042
87,2,2,554.79999999994,1460.97777777844,1460.97777777844,906.177777778499,0,464.31111111104
83,5,2,805.555555555695,1483.15555555623,1483.15555555623,677.600000000539,0,765.42222222233
111,5,3,296.222222222233,1521.11111111182,1521.11111111182,1224.88888888959,0,215.777777777801
97,3,2,1320.62222222277,1523.2888888896,1523.2888888896,202.666666666828,0,1240.35555555604
285,2,2,1463.11111111177,1531.15555555627,1531.15555555627,68.0444444444986,1350.71111111168,1402.93333333395
191,5,2,948.977777778032,1551.20000000073,1551.20000000073,602.222222222701,678.133333333372,848.75555555573
235,3,2,1533.33333333405,1631.37777777857,1631.37777777857,98.0444444445225,966.000000000267,1433.06666666731
49,3,2,1611.33333333411,1643.51111111192,1643.51111111192,32.1777777778034,0,1493.20000000069
319,3,2,1731.68888888977,1763.73333333424,1763.73333333424,32.0444444444699,1611.33333333411,1653.55555555637
251,4,2,1330.66666666722,1783.7777777787,1783.7777777787,453.111111111472,1146.35555555597,1300.53333333387
315,3,2,1853.95555555653,1892.13333333434,1892.13333333434,38.1777777778082,1573.37777777853,1743.68888888978
32,3,2,182.622222222241,1912.1777777788,1912.1777777788,1729.55555555656,0,152.488888888902
25,2,2,1006.08888888919,1922.22222222325,1922.22222222325,916.133333334062,0,885.822222222426
96,2,2,1192.57777777823,1934.17777777882,1934.17777777882,741.60000000059,0,1122.3111111115
67,3,2,1924.13333333436,1942.26666666771,1942.26666666771,18.1333333333478,0,1852.04444444542
143,3,2,1511.06666666737,1964.26666666773,1964.26666666773,453.200000000361,316.355555555556,1460.97777777844
75,2,2,363.688888888867,1992.40000000108,1992.40000000108,1628.71111111222,0,293.111111111123
101,4,3,1136.31111111151,2064.62222222328,2064.62222222328,928.311111111765,0,1006.08888888919
57,2,2,895.866666666878,2082.80000000098,2082.80000000098,1186.9333333341,0,815.600000000148
62,2,2,1146.35555555597,2223.86666666704,2223.86666666704,1077.51111111107,0,1066.13333333368
267,2,2,2133.20000000076,2235.77777777809,2235.77777777809,102.577777777335,1232.6222222227,2113.02222222307
219,2,2,1852.04444444542,2266.04444444463,2266.04444444463,413.999999999214,845.688888889061,1771.77777777869
40,3,2,685.155555555599,2306.31111111112,2306.31111111112,1621.15555555552,0,584.888888888853
93,3,2,1591.28888888965,2336.48888888877,2336.48888888877,745.199999999117,0,1491.02222222291
244,2,2,1332.844444445,2344.71111111096,2344.71111111096,1011.86666666595,1052.17777777811,1192.57777777823
321,3,2,1833.91111111207,2354.7999999998,2354.7999999998,520.888888887734,1633.46666666747,1723.64444444531
363,4,2,2264.17777777797,2515.86666666577,2515.86666666577,251.688888887802,1934.17777777882,2183.5555555561
385,3,2,2183.5555555561,2547.95555555452,2547.95555555452,364.399999998426,2092.88888888982,2153.33333333401
293,3,2,2024.44444444555,2598.35555555431,2598.35555555431,573.911111108752,1420.84444444507,1992.40000000108
280,3,2,2153.33333333401,2737.46666666482,2737.46666666482,584.13333333081,1330.66666666722,2123.11111111191
360,4,3,2386.84444444411,2818.08888888669,2818.08888888669,431.244444442581,1914.08888888991,2306.31111111112
106,3,3,1864.00000000098,2828.17777777554,2828.17777777554,964.177777774554,0,1793.82222222315
403,3,2,2568.13333333221,2858.39999999763,2858.39999999763,290.266666665413,2223.86666666704,2477.46666666594
462,4,2,2777.8222222202,2870.2222222198,2870.2222222198,92.3999999996008,2666.97777777623,2707.24444444272
450,4,2,2727.37777777597,2878.53333333087,2878.53333333087,151.155555554903,2558.04444444337,2616.57777777645
148,4,3,1122.3111111115,2890.39999999749,2890.39999999749,1768.08888888599,336.533333333324,1072.22222222257
357,6,2,2556.17777777671,2930.66666666398,2930.66666666398,374.488888887271,1894.04444444545,2415.24444444399
464,5,2,2729.28888888707,2969.11111110826,2969.11111110826,239.822222221186,2666.97777777623,2668.88888888733
186,5,2,1066.13333333368,3132.04444444089,3132.04444444089,2065.91111110721,655.066666666687,945.911111111363
82,4,2,3142.13333332973,3202.48888888503,3202.48888888503,60.3555555552948,0,3051.46666666346
