decision,time,solved,pendingOrders,stationsWithCap,podsInModel,xps,children,fastPath,units,sumUs,objective,solveSec,partialOrders,partialOnlyNewTrips,odCount,odFired,sunkOrdersStar,sunkItemsStar,sunkUnitsFinal,newTripsFinal,solve1Sec,solve2Sec,icWhole,icPackOcc,icPackBudget,icProcUnits,icEpSum,icShortfall,icSgOpen,icGateForegone
12,152.488888888902,1,100,1,87,2,1,0,1,0,-30.0078125,0.0040024,1,0,0,0,0,0,1,0,0,0.0040024,0,3,-1,1,0,0,0,0
13,162.533333333349,1,100,1,87,2,1,0,1,0,-29.0555555555556,0.0040007,1,0,0,0,0,0,1,0,0,0.0040007,0,4,-1,0,0,0,0,0
14,172.577777777795,1,100,1,88,2,1,0,1,0,-29.0394736842105,0.0039997,1,0,0,0,0,0,1,0,0,0.0039997,0,5,-1,0,0,0,0,0
15,182.622222222241,1,100,1,87,2,0,1,3,0,-84.3723958333333,0.2480217,0,0,0,0,0,0,1,1,0,0.2480217,0,6,-1,1,0,0,1,0
16,202.666666666688,1,100,1,87,2,0,1,1,0,-67.1428571428571,0.002999,0,0,0,0,0,0,1,0,0,0.002999,0,6,-1,0,0,0,1,0
17,205.733333333355,1,100,1,87,2,1,0,1,0,-29.0744680851064,0.0029998,1,0,0,0,0,0,1,0,0,0.0029998,0,6,-1,0,0,0,0,0
18,212.711111111134,1,100,1,87,2,1,0,2,0,-30.0793650793651,0.0029964,1,0,0,0,0,0,2,0,0,0.0029964,0,7,-1,2,0,0,0,0
19,215.777777777801,1,100,1,88,2,1,0,1,0,-29.0652173913043,0.0020007,1,0,0,0,0,0,1,0,0,0.0020007,0,8,-1,0,0,0,0,0
20,232.755555555582,1,100,1,88,2,1,0,1,0,-30.0245901639344,0.0039989,1,0,0,0,0,0,1,0,0,0.0039989,0,9,-1,1,0,0,0,0
21,235.822222222249,1,100,1,87,2,0,1,2,0,-87.0808608058608,0.1470286,0,0,0,0,0,0,1,1,0,0.1470286,0,10,-1,1,0,0,1,0
22,242.800000000028,1,100,1,87,2,1,0,1,0,-30.0083333333333,0.0050008,1,0,0,0,0,0,1,0,0,0.0050008,0,10,-1,1,0,0,0,0
23,245.866666666695,1,100,1,87,2,0,1,1,0,-67.0602409638554,0.0030019,0,0,0,0,0,0,1,0,0,0.0030019,0,11,-1,0,0,0,1,0
24,252.844444444474,1,100,1,89,2,1,0,1,0,-29.1296296296296,0.0040002,1,0,0,0,0,0,1,0,0,0.0040002,0,11,-1,0,0,0,0,0
25,265.955555555581,1,100,1,89,2,0,1,1,0,-69.0548780487805,0.0030008,0,0,0,0,0,0,1,0,0,0.0030008,0,12,-1,0,0,0,0,0
26,276.044444444465,1,100,1,89,2,0,1,1,0,-69.0227272727273,0.003001,0,0,0,0,0,0,1,0,0,0.003001,0,12,-1,0,0,0,0,0
