timeSec,inboundPods,freeCapacity,state,chosenT
0.044444444444444446,2,0,3,1
120.04444444445299,4,2,3,2
240.04444444447174,4,0,3,3
360.08888888886838,6,0,6,1
480.13333333325482,4,2,3,4
600.13333333330957,7,0,6,3
720.13333333340506,6,0,6,2
840.13333333350056,4,0,3,4
960.133333333596,6,0,6,4
1080.1333333336916,9,0,6,3
1200.133333333787,6,0,6,4
1320.1333333338825,9,0,6,1
1440.133333333978,3,0,3,1
1560.1333333340735,4,1,3,4
1680.133333334169,9,1,6,3
1800.1333333342645,7,0,6,2
1920.13333333436,4,0,3,3
2040.1333333344555,7,0,6,2
2160.1777777784214,5,1,6,3
2280.2222222223472,7,0,6,2
2400.2666666662731,5,3,6,4
2520.3111111101989,9,0,6,1
2640.3555555541247,4,0,3,2
2760.3999999980506,5,0,6,2
2880.4444444419764,6,0,6,1
3000.4888888859023,4,3,3,3
3120.5333333298281,7,0,6,4
3240.577777773754,9,0,6,2
3360.62222221768,4,1,3,1
3480.6666666616056,4,1,3,3
3600.7111111055315,7,0,6,1
3720.7555555494573,4,4,3,2
3840.7999999933832,6,4,6,3
3960.844444437309,7,0,6,2
4080.8888888812348,5,3,6,1
4200.8888888817892,4,0,3,4
4320.8888888824986,8,0,6,4
4440.888888883208,7,0,6,1
4560.8888888839174,2,5,3,1
4680.8888888846268,4,0,3,2
4800.8888888853362,5,0,6,2
4920.8888888860456,6,0,6,3
5040.888888886755,7,0,6,4
5160.8888888874644,9,0,6,3
5280.8888888881738,6,1,6,1
5400.8888888888832,4,1,3,4
5520.8888888895926,9,1,6,1
5640.888888890302,2,3,3,3
5760.8888888910114,6,1,6,2
5880.8888888917209,5,0,6,4
6000.88888889243,8,1,6,1
6120.88888889314,4,0,3,1
6240.8888888938491,4,3,3,2
6360.8888888945585,6,0,6,4
6480.8888888952679,7,0,6,4
6600.8888888959773,7,0,6,1
6720.8888888966867,3,4,3,1
6840.8888888973961,4,0,3,4
6960.8888888981055,7,0,6,3
7080.8888888988149,7,0,6,2
7200.8888888995243,6,2,6,3
7320.8888889002337,7,0,6,1
7440.8888889009431,4,1,3,2
7560.8888889016525,6,2,6,1
7680.8888889023619,4,2,3,1
7800.8888889030713,4,1,3,1
7920.8888889037808,4,2,3,3
8040.88888890449,8,1,6,2
8160.8888889052,6,2,6,1
8280.9333333485338,4,0,3,2
8400.9777777912313,5,1,6,1
8521.0222222339289,4,2,3,4
8641.0666666766265,7,0,6,4
8761.1111111193241,7,2,6,2
8881.1555555620216,6,1,6,1
9001.20000000472,3,4,3,4
9121.2444444474168,6,1,6,3
9241.2888888901143,8,1,6,1
9361.3333333328119,4,1,3,2
9481.37777777551,5,0,6,1
9601.422222218207,3,3,3,2
9721.4666666609046,6,1,6,3
9841.5111111036022,8,0,6,1
9961.5555555463,4,0,3,3
10081.599999988997,7,0,6,3
10201.644444431695,6,1,6,4
10321.688888874392,8,0,6,4
10441.73333331709,9,0,6,1
10561.777777759788,4,1,3,1
10681.822222202485,4,3,3,1
10801.866666645183,4,2,3,4
10921.91111108788,7,0,6,2
11041.955555530578,5,0,6,3
11161.999999973275,8,1,6,1
11282.044444415973,4,1,3,1
