timeSec,inboundPods,freeCapacity,state,chosenT
0.044444444444444446,2,0,0,1
120.04444444445299,4,2,1,1
240.04444444447174,3,0,0,2
360.08888888886838,5,0,3,1
480.13333333325482,4,0,0,3
600.13333333330957,5,0,3,3
720.13333333340506,6,0,3,3
840.13333333350056,6,0,3,3
960.133333333596,6,0,3,3
1080.1333333336916,7,0,6,1
1200.133333333787,4,1,1,2
1320.1333333338825,5,0,3,1
1440.133333333978,4,3,2,1
1560.1333333340735,4,2,1,4
1680.133333334169,7,0,6,1
1800.1333333342645,3,6,2,1
1920.13333333436,3,2,1,3
2040.1333333344555,7,0,6,1
2160.1777777784214,3,2,1,3
2280.2222222223472,8,0,6,1
2400.2666666662731,4,0,0,3
2520.3111111101989,7,0,6,1
2640.3555555541247,3,0,0,4
2760.3999999980506,7,0,6,1
2880.4444444419764,4,2,1,3
3000.4888888859023,7,0,6,1
3120.5333333298281,4,2,1,3
3240.577777773754,7,0,6,1
3360.62222221768,3,0,0,2
3480.6666666616056,6,2,4,1
3600.7111111055315,4,0,0,1
3720.7555555494573,4,0,0,2
3840.7999999933832,6,0,3,3
3960.844444437309,8,1,7,1
4080.8888888812348,4,0,0,2
4200.8888888817892,5,0,3,3
4320.8888888824986,8,2,7,1
4440.888888883208,4,0,0,2
4560.8888888839174,5,0,3,3
4680.8888888846268,6,0,3,3
4800.8888888853362,7,0,6,1
4920.8888888860456,6,0,3,3
5040.888888886755,5,0,3,4
5160.8888888874644,10,0,6,1
5280.8888888881738,3,7,2,1
5400.8888888888832,3,2,1,3
5520.8888888895926,6,2,4,2
5640.888888890302,5,2,4,3
5760.8888888910114,8,0,6,1
5880.8888888917209,3,4,2,4
6000.88888889243,9,1,7,1
6120.88888889314,4,4,2,1
6240.8888888938491,4,4,2,1
6360.8888888945585,4,1,1,4
6480.8888888952679,9,0,6,4
6600.8888888959773,9,0,6,1
6720.8888888966867,4,1,1,3
6840.8888888973961,8,1,7,1
6960.8888888981055,3,4,2,1
7080.8888888988149,4,1,1,3
7200.8888888995243,8,0,6,1
7320.8888889002337,3,4,2,1
7440.8888889009431,4,0,0,2
7560.8888889016525,5,3,5,1
7680.8888889023619,3,1,1,3
7800.8888889030713,6,1,4,1
7920.8888889037808,4,4,2,1
8040.88888890449,3,1,1,3
8160.8888889052,8,0,6,1
8280.9333333485338,4,1,1,3
8400.9777777912313,5,1,4,3
8521.0222222339289,7,0,6,1
8641.0666666766265,4,2,1,4
8761.1111111193241,9,0,6,2
8881.1555555620216,6,2,4,3
9001.20000000472,8,0,6,4
9121.2444444474168,8,0,6,1
9241.2888888901143,4,2,1,3
9361.3333333328119,5,0,3,3
9481.37777777551,8,0,6,1
9601.422222218207,4,0,0,2
9721.4666666609046,6,2,4,3
9841.5111111036022,8,0,6,1
9961.5555555463,4,5,2,1
10081.599999988997,4,0,0,2
10201.644444431695,6,1,4,4
10321.688888874392,8,0,6,4
10441.73333331709,8,0,6,1
10561.777777759788,3,0,0,2
10681.822222202485,6,0,3,3
10801.866666645183,7,1,7,1
10921.91111108788,4,3,2,1
11041.955555530578,3,2,1,3
11161.999999973275,7,0,6,1
11282.044444415973,4,0,0,2
11402.088888858671,6,0,3,3
11522.133333301368,7,0,6,1
11642.177777744066,5,2,4,3
11762.222222186763,4,1,1,3
11882.266666629461,8,0,6,1
12002.311111072158,3,1,1,3
12122.355555514856,6,0,3,3
12242.399999957554,6,0,3,3
12362.444444400251,6,0,3,2
12482.488888842949,6,1,4,3
12602.533333285646,7,0,6,1
12722.577777728344,4,0,0,2
12842.622222171041,6,2,4,3
12962.666666613739,6,0,3,3
13082.711111056436,8,0,6,3
13202.755555499134,5,0,3,3
