Policy,Reference,Bots,Bound,Items,Lines,Orders,Pile-on,Trips,Trips/order,m/line,EOR (kJ/order),Turnover (s),Station idle (%)
HGS-M5 N=2,HGS-M5,45,CI low,+0.56,+0.29,+2.08,−35.18,+51.12,+46.76,+21.84,+18.41,−11.30,−21.19
HGS-M5 N=2,HGS-M5,45,CI high,+0.84,+1.09,+3.30,−31.97,+58.45,+54.73,+26.25,+23.67,−7.33,−13.94
HGS-M5 N=3,HGS-M5,45,CI low,−0.58,−0.72,−0.72,−9.74,+7.35,+7.68,+3.43,+2.19,−1.91,−1.48
HGS-M5 N=3,HGS-M5,45,CI high,+0.06,+0.18,+0.81,−7.01,+11.02,+10.58,+5.27,+4.72,+3.54,+14.91
HGS-M5 N=4,HGS-M5,45,CI low,−0.12,−0.09,−0.15,−1.30,−0.83,−0.85,−1.26,−0.93,−0.89,−2.58
HGS-M5 N=4,HGS-M5,45,CI high,+0.10,+0.20,+0.14,+0.86,+1.24,+1.28,+0.09,+0.17,+0.45,+3.47
