Policy,Bots,Items,Lines,Orders,Pile-on,Trips,Trips/order,m/line,EOR (kJ/order),Turnover (s),Station idle (%)
HGS-M5,45,17.5,35.9,42.4,0.129,9.4,0.0022,0.29,0.066,15.1,0.21
HGS-M5 N=4,45,23.6,37.1,43.0,0.108,7.6,0.0019,0.31,0.067,15.5,0.28
HGS-M5 N=3,45,31.8,40.5,46.2,0.095,10.2,0.0019,0.25,0.055,12.6,0.37
HGS-M5 N=2,45,10.7,31.5,35.6,0.212,27.7,0.0083,0.65,0.121,9.3,0.13
