Policy,Bots,Items,Lines,Orders,Pile-on,Trips,Trips/order,m/line,EOR (kJ/order),Turnover (s),Station idle (%)
HGS-M5,45,8151.3,5289.6,3323.4,8.362,397.5,0.1196,21.57,3.938,399.0,5.71
HGS-M5-λ,45,8318.2,5396.9,3385.3,7.625,444.1,0.1312,20.45,3.601,395.2,3.79
HADGS,45,6340.9,4100.2,2788.6,2.275,1225.8,0.4398,41.28,7.738,176.5,26.68
