Policy,Bots,Seed,Items,Lines,Orders,Pile-on,Trips,Trips/order,m/line,EOR (kJ/order),Turnover (s),Station idle (%)
HGS-M5,45,0,8061.0,5265.0,3343.0,8.316,402.0,0.1203,21.98,3.965,396.5,6.74
HGS-M5,45,1,8216.0,5301.0,3330.0,8.452,394.0,0.1183,21.55,3.896,406.1,4.98
HGS-M5,45,2,8140.0,5253.0,3247.0,8.456,384.0,0.1183,21.39,3.955,412.1,5.86
HGS-M5,45,3,8161.0,5314.0,3339.0,8.244,405.0,0.1213,21.38,3.900,404.7,5.61
HGS-M5,45,4,8147.0,5256.0,3279.0,8.157,402.0,0.1226,21.92,4.013,394.6,5.78
HGS-M5,45,5,8150.0,5392.0,3393.0,8.255,411.0,0.1211,21.27,3.905,375.5,5.72
HGS-M5,45,6,8174.0,5295.0,3343.0,8.528,392.0,0.1173,21.36,3.889,407.5,5.43
HGS-M5,45,7,8165.0,5250.0,3269.0,8.255,396.0,0.1211,21.44,3.980,402.0,5.55
HGS-M5,45,8,8143.0,5277.0,3331.0,8.412,396.0,0.1189,21.62,3.924,402.7,5.81
HGS-M5,45,9,8156.0,5293.0,3360.0,8.550,393.0,0.1170,21.80,3.950,388.6,5.66
HGS-M5-λ,45,0,8328.0,5381.0,3409.0,7.476,456.0,0.1338,20.78,3.623,381.9,3.69
HGS-M5-λ,45,1,8316.0,5405.0,3324.0,7.606,437.0,0.1315,20.25,3.647,412.0,3.83
HGS-M5-λ,45,2,8324.0,5371.0,3380.0,7.717,438.0,0.1296,20.71,3.646,402.1,3.70
HGS-M5-λ,45,3,8332.0,5397.0,3441.0,7.664,449.0,0.1305,20.26,3.492,376.9,3.61
HGS-M5-λ,45,4,8298.0,5357.0,3340.0,7.523,444.0,0.1329,20.39,3.578,415.0,4.02
HGS-M5-λ,45,5,8329.0,5479.0,3451.0,7.635,452.0,0.1310,20.33,3.553,386.3,3.67
HGS-M5-λ,45,6,8289.0,5420.0,3405.0,7.686,443.0,0.1301,20.34,3.573,403.6,4.14
HGS-M5-λ,45,7,8325.0,5409.0,3369.0,7.437,453.0,0.1345,20.99,3.727,395.9,3.69
HGS-M5-λ,45,8,8298.0,5357.0,3344.0,7.887,424.0,0.1268,20.03,3.549,406.2,4.04
HGS-M5-λ,45,9,8343.0,5393.0,3390.0,7.618,445.0,0.1313,20.41,3.621,372.0,3.50
HADGS,45,0,6528.0,4276.0,2917.0,2.383,1224.0,0.4196,39.27,7.395,173.4,24.50
HADGS,45,1,6378.0,4116.0,2745.0,2.254,1218.0,0.4437,41.30,7.921,184.3,26.25
HADGS,45,2,6302.0,4083.0,2750.0,2.218,1240.0,0.4509,42.02,7.959,176.6,27.12
HADGS,45,3,6219.0,4020.0,2745.0,2.241,1225.0,0.4463,42.18,7.875,173.4,28.09
HADGS,45,4,6250.0,3998.0,2714.0,2.254,1204.0,0.4436,41.71,7.820,178.6,27.73
HADGS,45,5,6547.0,4265.0,2921.0,2.394,1220.0,0.4177,40.04,7.408,174.1,24.30
HADGS,45,6,6291.0,4085.0,2770.0,2.232,1241.0,0.4480,41.14,7.744,173.0,27.26
HADGS,45,7,6336.0,4081.0,2805.0,2.284,1228.0,0.4378,41.25,7.642,173.1,26.72
HADGS,45,8,6237.0,4024.0,2730.0,2.230,1224.0,0.4484,42.00,7.827,179.7,27.88
HADGS,45,9,6321.0,4054.0,2789.0,2.260,1234.0,0.4425,41.93,7.790,178.6,26.91
