Policy,Bots,Items,Lines,Orders,Pile-on,Trips,Trips/order,m/line,EOR (kJ/order),Turnover (s),Station idle (%)
HGS-M5,45,8318.2,5396.9,3385.3,7.625,444.1,0.1312,20.45,3.601,395.2,3.79
HGS-M5 N=2,45,8376.2,5434.1,3476.4,5.065,687.4,0.1978,25.37,4.359,358.4,3.12
HGS-M5 N=3,45,8296.6,5382.4,3386.9,6.986,484.9,0.1432,21.34,3.725,398.4,4.04
HGS-M5 N=4,45,8317.1,5399.7,3385.0,7.608,445.0,0.1315,20.33,3.587,394.3,3.80
