Policy,Bots,Seed,Order batching time per decision (s),Order batching time total (s),Decisions
HGS-M5,45,0,0.0495,264.1,5332
HGS-M5,45,1,0.0816,474.8,5819
HGS-M5,45,2,0.0639,354.0,5536
HGS-M5,45,3,0.0830,431.7,5202
HGS-M5,45,4,0.0573,337.9,5900
HGS-M5,45,5,0.0581,305.6,5257
HGS-M5,45,6,0.0608,317.5,5223
HGS-M5,45,7,0.0520,271.7,5229
HGS-M5,45,8,0.0801,478.0,5965
HGS-M5,45,9,0.0687,357.5,5204
HGS-M5 N=2,45,0,0.0630,319.7,5077
HGS-M5 N=2,45,1,0.0623,315.7,5068
HGS-M5 N=2,45,2,0.0601,296.4,4929
HGS-M5 N=2,45,3,0.0620,332.3,5364
HGS-M5 N=2,45,4,0.0623,326.4,5240
HGS-M5 N=2,45,5,0.0602,300.6,4997
HGS-M5 N=2,45,6,0.0618,307.9,4983
HGS-M5 N=2,45,7,0.0649,327.2,5043
HGS-M5 N=2,45,8,0.0622,332.3,5344
HGS-M5 N=2,45,9,0.0582,296.3,5089
HGS-M5 N=3,45,0,0.0563,302.2,5364
HGS-M5 N=3,45,1,0.0574,397.9,6930
HGS-M5 N=3,45,2,0.0553,281.0,5081
HGS-M5 N=3,45,3,0.0569,350.5,6154
HGS-M5 N=3,45,4,0.0591,400.8,6786
HGS-M5 N=3,45,5,0.0579,298.5,5159
HGS-M5 N=3,45,6,0.0577,297.0,5147
HGS-M5 N=3,45,7,0.0584,303.5,5197
HGS-M5 N=3,45,8,0.0580,326.3,5627
HGS-M5 N=3,45,9,0.0586,302.0,5156
HGS-M5 N=4,45,0,0.0579,310.4,5360
HGS-M5 N=4,45,1,0.0585,340.3,5819
HGS-M5 N=4,45,2,0.0593,326.7,5510
HGS-M5 N=4,45,3,0.0587,305.0,5198
HGS-M5 N=4,45,4,0.0622,365.6,5875
HGS-M5 N=4,45,5,0.0617,323.9,5249
HGS-M5 N=4,45,6,0.0628,328.3,5224
HGS-M5 N=4,45,7,0.0625,326.7,5231
HGS-M5 N=4,45,8,0.0573,331.5,5788
HGS-M5 N=4,45,9,0.0562,292.3,5204
