Policy,Reference,Bots,Items,Lines,Orders,Pile-on,Trips,Trips/order,m/line,EOR (kJ/order),Turnover (s),Station idle (%)
HGS-M5 N=2,HGS-M5,45,+0.70***,+0.69**,+2.69***,−33.57***,+54.78***,+50.75***,+24.05***,+21.04***,−9.31***,−17.56***
HGS-M5 N=3,HGS-M5,45,−0.26,−0.27,+0.05,−8.38***,+9.19***,+9.13***,+4.35***,+3.46***,+0.81,+6.72
HGS-M5 N=4,HGS-M5,45,−0.01,+0.05,−0.01,−0.22,+0.20,+0.22,−0.58,−0.38,−0.22,+0.44
