Ident;X;Y;Transfers;InjectedTransfers;PodsHandled;PodHandlingTimeAvg;PodHandlingTimeVar;PodHandlingTimeMin;PodHandlingTimeMax;PileOn;IdleTime;UpTime
InputStation0;13.50;0.50;82;0;59;13.8593161580103;41.5745786123821;10.0444444444443;40.3805555555556;1.38983050847458;6388.95512284654;7200
InputStation1;23.50;0.50;75;0;53;14.1092798563637;36.431202619907;10.0444444444443;30.2777777777776;1.41509433962264;6459.29952328313;7200
InputStation2;33.50;0.50;77;0;48;15.980037131673;76.7463960517054;10.0444444444443;50.390093791413;1.60416666666667;6439.21682604472;7200
InputStation3;43.50;0.50;80;0;53;15.0488225922243;49.0531822909769;10.0444444444443;30.4555555555555;1.50943396226415;6410.23983371248;7200
InputStation4;53.50;0.50;81;0;58;13.9782091794211;34.8374478899186;10.0444444444443;30.2477777777777;1.39655172413793;6398.85224351757;7200
InputStation5;63.50;0.50;135;0;100;13.5238979774778;41.1715519106136;10.0444444444443;40.4333333333334;1.35;5866.49670623419;7200
OutputStation0;81.50;11.50;690;426;100;70.4731181080851;916.428641061773;10.0444444444445;133.597316013635;6.9;385.567448426742;7200
OutputStation1;81.50;17.50;703;436;101;72.0474112992282;1110.00167297583;11.4294444444431;171.666298693937;6.96039603960396;265.925764981077;7200
OutputStation2;81.50;23.50;626;328;88;72.8526108821191;1238.21965761547;10.0444444444443;193.636024512616;7.11363636363636;1022.24545046914;7200
OutputStation3;81.50;29.50;480;265;65;75.9125269512154;934.78434927585;20.1321356237349;152.630743138385;7.38461538461539;2457.11308016359;7200
OutputStation4;81.50;35.50;400;189;68;60.1804235061367;1433.03598642865;11.8661111111105;201.930187582826;5.88235294117647;3250.39128630101;7200
OutputStation5;81.50;41.50;274;111;42;65.9151350287889;1808.4473827868;12.5088888888895;213.667409805042;6.52380952380952;4491.96130629302;7200
OutputStation6;0.50;14.50;130;59;17;71.7866777009501;836.947904113938;20.0444444444447;121.211760458079;7.64705882352941;5915.05932159781;7200
OutputStation7;0.50;20.50;26;10;3;71.1011111111103;1881.99472895743;40.2104617641403;120.697871569191;8.66666666666667;6943.0631457505;7200
OutputStation8;0.50;26.50;10;0;1;50.732409805048;0;50.732409805048;50.732409805048;10;7101.56028137424;7200
OutputStation9;0.50;32.50;0;0;0;0;0;0;0;0;7200;7200
OutputStation10;0.50;38.50;0;0;0;0;0;0;0;0;7200;7200
OutputStation11;0.50;44.50;0;0;0;0;0;0;0;0;7200;7200
